t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,i_roll_erpm,i_pitch_erpm,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,0.6055,-3.1829,0.0081,-0.0056,0.000,0.000,-0.090,0.000,0.0,-0.0,0.0,0.0,0.0,0.0,-363.3,-954.9,0,0,0.000,0.000,0.01,
0.0050,0.6024,-3.1483,0.0081,-0.0056,0.000,0.000,-0.143,0.000,0.1,-0.3,0.0,0.0,0.0,0.0,-361.5,-944.7,0,0,0.000,0.000,39.97,
0.0100,0.6024,-3.1483,-0.5602,-1.8145,0.000,0.000,-0.175,0.000,0.1,-0.3,0.0,0.0,0.0,0.0,-361.5,-944.8,-59,-92,0.560,1.420,5.76,
0.0150,0.6024,-3.1483,-0.5602,-1.8145,0.000,0.000,-0.195,0.000,0.1,-0.3,0.0,0.0,0.0,0.0,-361.5,-944.8,-255,-907,0.390,1.080,8.93,
0.0200,0.6024,-3.1483,-0.5602,-1.8145,0.000,0.000,-0.206,0.000,0.1,-0.4,0.0,0.0,0.0,0.0,-361.5,-944.9,-228,-900,0.440,0.500,5.06,
0.0250,0.6024,-3.1483,-0.5602,-1.8145,0.000,0.000,0.010,-0.090,0.1,-0.4,0.0,0.0,0.0,0.0,-361.5,-944.9,-181,-793,0.680,0.220,5.06,
0.0300,0.6024,-3.1483,-0.5602,-1.8145,0.000,0.000,0.141,-0.143,0.1,-0.5,0.0,0.0,0.0,0.0,-361.5,-944.9,-177,-722,0.910,0.040,7.76,
0.0350,0.6024,-3.1483,-0.5602,-1.8145,0.000,0.000,0.219,-0.175,0.1,-0.5,0.0,0.0,0.0,0.0,-361.6,-945.0,-190,-740,0.980,0.010,5.06,
0.0400,0.6011,-3.1343,-0.5602,-1.8145,0.000,0.000,0.265,-0.195,0.1,-0.5,0.0,0.0,0.0,0.0,-360.8,-940.8,-204,-780,1.020,0.020,5.06,
0.0450,0.6011,-3.1343,-0.5602,-1.8145,0.000,0.000,0.294,-0.206,0.2,-0.6,0.0,0.0,0.0,0.0,-360.8,-940.8,-222,-795,1.110,0.090,5.57,
