t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,dt_ms
1.220,0.1269,-0.0,0.4191,0.0,-0.2184,5.3349,-1,0,0.00,0.00,20.08
1.240,0.1269,-0.0,0.4191,0.0,-0.2184,5.3349,0,0,0.00,0.00,20.07
1.260,0.1245,-0.0,0.4329,0.0,-0.2184,5.3349,0,0,0.00,0.00,20.09
1.280,0.1245,-0.0,0.4329,0.0,-0.2184,5.3349,0,0,0.00,0.00,20.08
1.300,0.1245,-0.0,0.4329,0.0,-0.2184,5.3349,0,0,0.00,0.00,20.09
1.320,0.1245,-0.0,0.4329,0.0,-0.2174,5.3281,0,0,0.00,0.00,20.07
1.340,0.1245,-0.0,0.4329,0.0,-0.2174,5.3281,0,0,0.00,0.00,20.07
1.360,0.1338,-0.0,0.4203,0.0,-0.2240,5.3267,0,0,0.00,0.00,20.11
1.380,0.1338,-0.0,0.4203,0.0,-0.2240,5.3267,0,0,0.00,0.00,20.07
1.400,0.1338,-0.0,0.4203,0.0,-0.2240,5.3267,0,0,0.00,0.00,20.07
1.420,0.1383,-0.0,0.4353,0.0,-0.2240,5.3267,0,0,0.00,0.00,20.07
1.440,0.1383,-0.0,0.4353,0.0,-0.2240,5.3267,0,0,0.00,0.00,20.08
1.460,0.1246,-0.0,0.4329,0.0,-0.2378,5.3241,0,0,0.00,0.00,20.07
1.480,0.1246,-0.0,0.4329,0.0,-0.2378,5.3241,0,0,0.00,0.00,20.08
1.500,0.1246,-0.0,0.4329,0.0,-0.2378,5.3241,-1,0,0.00,0.00,20.07
1.520,0.0958,-0.0,0.4351,0.0,-0.2460,5.3297,0,0,0.00,0.00,20.07
1.540,0.0958,-0.0,0.4351,0.0,-0.2460,5.3297,0,0,0.00,0.00,20.07
1.560,0.0808,-0.0,0.4396,0.0,-0.2463,5.3294,0,0,0.00,0.00,20.07
1.580,0.0808,-0.0,0.4396,0.0,-0.2463,5.3294,0,0,0.00,0.00,20.08
1.600,0.0808,-0.0,0.4396,0.0,-0.2463,5.3294,0,0,0.00,0.00,20.07
1.620,0.0751,-0.0,0.4315,0.0,-0.2325,5.3320,0,0,0.00,0.00,20.07
1.640,0.0751,-0.0,0.4315,0.0,-0.2325,5.3320,0,0,0.00,0.00,20.06
1.660,0.0970,-0.0,0.4282,0.0,-0.2171,5.3280,0,0,0.00,0.00,20.07
1.680,0.0970,-0.0,0.4282,0.0,-0.2171,5.3280,0,0,0.00,0.00,20.07
1.700,0.0970,-0.0,0.4282,0.0,-0.2171,5.3280,0,0,0.00,0.00,20.07
1.720,0.1177,-0.0,0.4317,0.0,-0.2243,5.3268,1,0,0.00,0.00,20.07
1.740,0.1177,-0.0,0.4317,0.0,-0.2243,5.3268,2,0,0.00,0.00,20.06
1.760,0.1326,-0.0,0.4272,0.0,-0.2187,5.3347,0,0,0.00,0.00,20.09
1.780,0.1326,-0.0,0.4272,0.0,-0.2187,5.3347,0,0,0.00,0.00,20.07
1.800,0.1326,-0.0,0.4272,0.0,-0.2187,5.3347,0,0,0.00,0.00,20.09
1.820,0.1119,-0.0,0.4237,0.0,-0.2256,5.3333,-2,0,0.00,0.00,20.08
1.840,0.1119,-0.0,0.4237,0.0,-0.2256,5.3333,-2,0,0.00,0.00,20.06
1.860,0.0670,-0.0,0.4372,0.0,-0.2325,5.3320,-1,0,0.00,0.00,20.09
1.880,0.0670,-0.0,0.4372,0.0,-0.2325,5.3320,0,0,0.00,0.00,20.08
1.900,0.0670,-0.0,0.4372,0.0,-0.2325,5.3320,0,0,0.00,0.00,20.09
1.920,0.0452,-0.0,0.4406,0.0,-0.2325,5.3320,0,0,0.00,0.00,20.06
1.940,0.0452,-0.0,0.4406,0.0,-0.2325,5.3320,0,0,0.00,0.00,20.06
1.960,0.0475,-0.0,0.4268,0.0,-0.2329,5.3321,0,0,0.00,0.00,20.09
1.980,0.0475,-0.0,0.4268,0.0,-0.2329,5.3321,0,0,0.00,0.00,20.08
2.000,0.0475,-0.0,0.4268,0.0,-0.2329,5.3321,0,0,0.00,0.00,20.07
2.020,0.0601,-0.0,0.4361,0.0,-0.2329,5.3321,0,0,0.00,0.00,20.06
2.040,0.0601,-0.0,0.4361,0.0,-0.2329,5.3321,0,0,0.00,0.00,20.07
2.060,0.0946,-0.0,0.4420,0.0,-0.2260,5.3334,2,0,0.00,0.00,20.08
2.080,0.0946,-0.0,0.4420,0.0,-0.2260,5.3334,0,0,0.00,0.00,20.07
2.100,0.0946,-0.0,0.4420,0.0,-0.2260,5.3334,0,0,0.00,0.00,20.09
2.120,0.1050,-0.0,0.4225,0.0,-0.2247,5.3265,0,0,0.00,0.00,20.18
2.140,0.1050,-0.0,0.4225,0.0,-0.2247,5.3265,0,0,0.00,0.00,20.07
2.160,0.0913,-0.0,0.4201,0.0,-0.2230,5.3196,0,0,0.00,0.00,20.08
2.180,0.0913,-0.0,0.4201,0.0,-0.2230,5.3196,0,0,0.00,0.00,20.09
2.200,0.0913,-0.0,0.4201,0.0,-0.2230,5.3196,0,0,0.00,0.00,20.09
2.220,0.0808,-0.0,0.4396,0.0,-0.2302,5.3183,0,0,0.00,0.00,20.18
2.240,0.0808,-0.0,0.4396,0.0,-0.2302,5.3183,0,0,0.00,0.00,20.07
2.260,0.0682,-0.0,0.4304,0.0,-0.2371,5.3170,0,0,0.00,0.00,20.09
2.280,0.0682,-0.0,0.4304,0.0,-0.2371,5.3170,0,0,0.00,0.00,20.07
2.300,0.0682,-0.0,0.4304,0.0,-0.2371,5.3170,0,0,0.00,0.00,20.08
2.320,0.0694,-0.0,0.4235,0.0,-0.2384,5.3239,0,0,0.00,0.00,20.07
2.340,0.0694,-0.0,0.4235,0.0,-0.2384,5.3239,0,0,0.00,0.00,20.07
2.360,0.0806,-0.0,0.4822,0.0,-0.2269,5.3761,0,0,0.00,0.00,20.09
2.380,0.0806,-0.0,0.4822,0.0,-0.2269,5.3761,0,0,0.00,0.00,20.07
2.400,0.0806,-0.0,0.4822,0.0,-0.2269,5.3761,0,0,0.00,0.00,20.07
2.420,0.0883,-0.0,0.5615,224.6,-0.2213,5.4198,1,0,0.00,0.00,20.07
2.440,0.0883,-0.0,0.5615,224.6,-0.2213,5.4198,0,0,0.00,0.00,20.07
2.460,0.1114,-0.0,0.5513,220.5,-0.2144,5.4211,0,115,0.00,0.00,20.07
2.480,0.1114,-0.0,0.5513,220.5,-0.2144,5.4211,0,129,0.00,0.00,20.08
2.500,0.1114,-0.0,0.5513,220.5,-0.2144,5.4211,0,143,0.00,2.86,20.07
2.520,0.1219,-0.0,0.4892,0.0,-0.2098,5.4720,0,215,0.00,2.86,20.07
2.540,0.1219,-0.0,0.4892,0.0,-0.2098,5.4720,4,177,0.00,2.86,20.07
2.560,0.1165,-0.0,0.4386,0.0,-0.2206,5.5272,4,23,0.00,5.71,20.07
2.580,0.1165,-0.0,0.4386,0.0,-0.2206,5.5272,3,6,0.00,5.71,20.07
2.600,0.1165,-0.0,0.4386,0.0,-0.2206,5.5272,0,6,0.00,5.71,20.07
2.620,0.0554,-0.0,0.4637,0.0,-0.2532,5.5424,0,0,0.00,5.71,20.07
2.640,0.0554,-0.0,0.4637,0.0,-0.2532,5.5424,-1,0,0.00,5.71,20.07
2.660,-0.0404,-0.0,0.4827,0.0,-0.3394,5.5265,1,0,0.00,5.71,20.07
2.680,-0.0404,-0.0,0.4827,0.0,-0.3394,5.5265,11,0,0.00,5.71,20.07
2.700,-0.0404,-0.0,0.4827,0.0,-0.3394,5.5265,19,0,0.00,5.71,20.08
2.720,-0.1945,-0.0,0.4278,0.0,-0.5182,5.4930,20,0,0.00,5.71,20.21
2.740,-0.1945,-0.0,0.4278,0.0,-0.5182,5.4930,2,0,0.00,5.71,20.07
2.760,-0.4624,-0.0,0.3311,0.0,-0.7974,5.3334,-4,0,0.00,5.71,20.07
2.780,-0.4624,-0.0,0.3311,0.0,-0.7974,5.3334,-20,0,0.00,5.71,20.07
2.800,-0.4624,-0.0,0.3311,0.0,-0.7974,5.3334,-14,0,0.00,5.71,20.08
