t_s,imu_roll_deg,imu_pitch_deg,motor_roll_pos_deg,motor_pitch_pos_deg
2.820,8.9234,27.3799,2.86,-331.43
2.840,8.9234,27.3799,2.86,-348.57
2.860,9.2538,28.8699,2.86,-362.86
2.880,9.2538,28.8699,2.86,-377.14
2.900,9.2538,28.8699,2.86,-391.43
2.920,9.5629,30.1764,2.86,-405.71
2.940,9.5629,30.1764,2.86,-420.00
2.960,9.8598,31.3618,2.86,-434.29
2.980,9.8598,31.3618,2.86,-445.71
3.000,9.8598,31.3618,2.86,-457.14
3.020,10.1589,32.5339,2.86,-468.57
3.040,10.1589,32.5339,2.86,-480.00
3.060,10.4446,33.6083,2.86,-491.43
3.080,10.4446,33.6083,2.86,-505.71
3.100,10.4446,33.6083,2.86,-517.14
3.120,10.7336,34.6952,2.86,-528.57
3.140,10.7336,34.6952,2.86,-542.86
3.160,11.0421,35.7978,2.86,-554.29
3.180,11.0421,35.7978,2.86,-565.71
3.200,11.0421,35.7978,2.86,-577.14
3.220,11.3436,36.8612,2.86,-588.57
3.240,11.3436,36.8612,2.86,-602.86
3.260,11.6488,37.9066,2.86,-611.43
3.280,11.6488,37.9066,2.86,-622.86
3.300,11.6488,37.9066,2.86,-634.29
3.320,11.9534,38.9321,2.86,-645.71
3.340,11.9534,38.9321,2.86,-657.14
3.360,12.2508,39.9029,2.86,-668.57
3.380,12.2508,39.9029,2.86,-680.00
3.400,12.5530,40.8265,2.86,-688.57
3.420,12.5530,40.8265,2.86,-700.00
3.440,12.5530,40.8265,2.86,-708.57
3.460,12.8592,41.7201,2.86,-720.00
3.480,12.8592,41.7201,2.86,-731.43
3.500,13.1548,42.5705,2.86,-737.14
3.520,13.1548,42.5705,2.86,-745.71
3.540,13.1548,42.5705,2.86,-754.29
3.560,13.4713,43.4012,2.86,-765.71
3.580,13.4713,43.4012,2.86,-777.14
3.600,13.8099,44.2798,2.86,-782.86
3.620,13.8099,44.2798,2.86,-794.29
3.640,13.8099,44.2798,2.86,-802.86
3.660,14.2093,45.2321,2.86,-814.29
3.680,14.2093,45.2321,2.86,-825.71
3.700,14.6493,46.2452,2.86,-837.14
3.720,14.6493,46.2452,2.86,-851.43
3.740,14.6493,46.2452,2.86,-860.00
3.760,15.1019,47.2372,2.86,-871.43
3.780,15.1019,47.2372,2.86,-885.71
3.800,15.5405,48.2118,2.86,-894.29
3.820,15.5405,48.2118,2.86,-908.57
3.840,15.5405,48.2118,2.86,-914.29
3.860,15.9380,49.1585,2.86,-925.71
3.880,15.9380,49.1585,2.86,-937.14
3.900,16.2926,49.9959,2.86,-942.86
3.920,16.2926,49.9959,2.86,-962.86
3.940,16.2926,49.9959,2.86,-962.86
3.960,16.5902,50.7191,2.86,-968.57
3.980,16.5902,50.7191,2.86,-977.14
4.000,16.8231,51.2965,2.86,-982.86
4.020,16.8231,51.2965,2.86,-988.57
4.040,16.8231,51.2965,2.86,-991.43
4.060,16.9994,51.7100,2.86,-997.14
4.080,16.9994,51.7100,2.86,-1000.00
4.100,17.0702,51.9261,2.86,-1002.86
4.120,17.0702,51.9261,2.86,-1002.86
4.140,17.0702,51.9261,2.86,-1002.86
4.160,17.0072,51.8862,2.86,-1002.86
4.180,17.0072,51.8862,2.86,-1002.86
4.200,16.8900,51.7473,2.86,-1002.86
4.220,16.8900,51.7473,2.86,-1002.86
4.240,16.8900,51.7473,2.86,-1002.86
4.260,16.7827,51.6048,2.86,-1002.86
4.280,16.7827,51.6048,2.86,-1002.86
4.300,16.6601,51.4332,2.86,-1002.86
4.320,16.6601,51.4332,2.86,-1002.86
4.340,16.6601,51.4332,2.86,-1002.86
4.360,16.5802,51.3082,2.86,-1002.86
4.380,16.5802,51.3082,2.86,-1002.86
4.400,16.4555,51.1532,2.86,-1002.86
4.420,16.4555,51.1532,2.86,-1002.86
4.440,16.4555,51.1532,2.86,-1002.86
4.460,16.2275,50.8477,2.86,-1002.86
4.480,16.2275,50.8477,0.00,-1002.86
4.500,15.9352,50.8692,0.00,-1002.86
4.520,15.9352,50.8692,0.00,-1002.86
