t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu2_roll_rate_dps,imu2_pitch_rate_dps,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms
0.0000,0.3682,-1.4000,0.0105,8.0048,-0.090,0.000,-6.3,0.0,6.3,-420.0,0,0,0.000,0.000,0.01
0.0050,0.3901,-1.4035,0.0105,8.0048,-0.143,0.000,-10.0,0.0,10.0,-421.1,0,0,0.000,0.000,39.59
0.0100,0.3901,-1.4035,0.0105,8.0048,-0.175,0.000,-12.3,0.0,12.3,-421.1,-1,-76,0.150,0.420,6.99
0.0150,0.3901,-1.4035,0.0105,8.0048,-0.195,0.000,-13.6,0.0,13.6,-421.1,1,-227,0.140,0.210,5.08
0.0200,0.3901,-1.4035,0.0105,8.0048,-0.206,0.000,-14.4,0.0,14.4,-421.1,2,-315,0.120,0.050,5.08
0.0250,0.3901,-1.4035,0.0105,8.0048,-0.213,0.000,-14.9,0.0,14.9,-421.1,1,-317,0.110,0.000,5.19
0.0300,0.3901,-1.4035,0.0105,8.0048,-0.218,0.000,-15.2,0.0,15.2,-421.1,1,-310,0.100,0.160,5.95
0.0350,0.3901,-1.4035,0.0105,8.0048,-0.131,0.000,-9.1,0.0,9.1,-421.1,3,-347,0.090,0.290,8.83
0.0400,0.3901,-1.4035,0.0105,8.0048,-0.078,0.000,-5.5,0.0,5.5,-421.1,2,-371,0.080,0.380,10.13
0.0450,0.3901,-1.4035,0.0105,8.0048,-0.047,0.000,-3.3,0.0,3.3,-421.1,1,-366,0.090,0.530,5.08
0.0500,0.3901,-1.4035,0.0105,8.0048,-0.028,0.000,-2.0,0.0,2.0,-421.1,0,-365,0.090,0.630,5.07
0.0550,0.3901,-1.4035,0.0105,8.0048,-0.017,0.000,-1.2,0.0,1.2,-421.1,0,-384,0.090,0.670,5.08
0.0600,0.3901,-1.4035,0.0105,8.0048,-0.010,0.000,-0.7,0.0,0.7,-421.1,0,-409,0.100,0.640,5.07
0.0650,0.3889,-1.3966,0.0105,8.0048,-0.006,0.000,-0.4,0.0,0.4,-419.0,0,-399,0.100,0.690,5.07
0.0700,0.3889,-1.3966,0.0105,8.0048,-0.004,0.000,-0.3,0.0,0.3,-419.0,0,-361,0.090,0.780,5.05
0.0750,0.3889,-1.3966,0.0105,8.0048,-0.002,0.045,-0.2,1.8,0.2,-417.2,0,-348,0.100,0.840,5.07
0.0800,0.3889,-1.3966,0.0105,8.0048,-0.001,0.072,-0.1,2.9,0.1,-416.1,0,-384,0.110,0.770,13.44
0.0850,0.3889,-1.3966,0.0105,8.0048,-0.001,0.088,-0.1,3.5,0.1,-415.5,0,-381,0.090,0.620,5.07
0.0900,0.3889,-1.3966,0.0105,8.0048,-0.000,0.097,-0.0,3.9,0.0,-415.1,0,-366,0.100,0.590,5.07
0.0950,0.3889,-1.3966,0.0105,8.0048,-0.000,0.103,-0.0,4.1,0.0,-414.9,0,-352,0.110,0.580,5.07
0.1000,0.3889,-1.3966,0.0105,8.0048,-0.000,0.107,-0.0,4.3,0.0,-414.7,0,-362,0.110,0.540,5.08
0.1050,0.3889,-1.3966,0.0105,8.0048,-0.000,0.109,-0.0,4.4,0.0,-414.6,0,-387,0.110,0.370,5.08
0.1100,0.3787,-1.3771,0.0105,8.0048,-0.000,0.110,-0.0,4.4,0.0,-408.7,0,-411,0.100,0.190,5.08
0.1150,0.3787,-1.3771,0.0105,8.0048,-0.000,-0.024,-0.0,-0.9,0.0,-414.1,0,-426,0.110,0.030,11.95
0.1200,0.3787,-1.3771,0.0105,8.0048,-0.000,-0.104,-0.0,-4.1,0.0,-417.3,0,-399,0.110,0.090,10.32
0.1250,0.3787,-1.3771,0.0105,8.0048,-0.000,-0.152,-0.0,-6.1,0.0,-419.2,0,-405,0.120,0.170,5.07
0.1300,0.3787,-1.3771,0.0105,8.0048,-0.000,-0.181,-0.0,-7.2,0.0,-420.3,0,-423,0.100,0.150,5.07
0.1350,0.3787,-1.3771,0.0105,8.0048,-0.000,-0.198,-0.0,-7.9,0.0,-421.0,0,-414,0.100,0.120,5.07
0.1400,0.3787,-1.3771,0.0105,8.0048,-0.000,-0.208,-0.0,-8.3,0.0,-421.5,0,-380,0.110,0.020,5.08
0.1450,0.3811,-1.3483,0.0105,8.0048,-0.000,-0.214,-0.0,-8.6,0.0,-413.1,0,-363,0.120,0.190,5.07
0.1500,0.3811,-1.3483,0.0105,8.0048,-0.000,-0.218,-0.0,-8.7,0.0,-413.2,0,-389,0.110,0.300,6.20
0.1550,0.3811,-1.3483,0.0105,8.0048,0.090,-0.131,6.3,-5.2,-6.3,-409.7,0,-416,0.120,0.330,9.53
0.1600,0.3811,-1.3483,0.0105,8.0048,0.143,-0.079,10.0,-3.1,-10.0,-407.6,0,-388,0.110,0.580,10.49
0.1650,0.3811,-1.3483,0.0105,8.0048,0.175,-0.047,12.3,-1.9,-12.3,-406.4,0,-391,0.110,0.740,5.08
0.1700,0.3811,-1.3483,0.0105,8.0048,0.195,-0.028,13.6,-1.1,-13.6,-405.6,-1,-408,0.130,0.770,5.07
0.1750,0.3811,-1.3483,0.0105,8.0048,0.206,-0.017,14.4,-0.7,-14.4,-405.2,0,-423,0.150,0.800,5.07
0.1800,0.3811,-1.3483,0.0105,8.0048,0.213,-0.010,14.9,-0.4,-14.9,-404.9,-1,-436,0.090,0.760,5.07
0.1850,0.3812,-1.3058,0.0105,8.0048,0.218,-0.006,15.2,-0.2,-15.2,-392.0,0,-431,0.170,0.770,5.07
0.1900,0.3812,-1.3058,0.0105,8.0048,0.220,-0.004,15.4,-0.1,-15.4,-391.9,0,-396,0.160,0.820,6.48
0.1950,0.3812,-1.3058,0.0105,8.0048,0.222,-0.002,15.5,-0.1,-15.5,-391.8,-1,-376,0.180,0.800,8.45
0.2000,0.3812,-1.3058,0.0105,8.0048,0.222,-0.001,15.6,-0.1,-15.6,-391.8,0,-377,0.200,0.730,9.74
0.2050,0.3812,-1.3058,0.0105,8.0048,0.223,-0.001,15.6,-0.0,-15.6,-391.8,-1,-358,0.210,0.690,5.08
0.2100,0.3812,-1.3058,0.0105,8.0048,0.223,-0.000,15.6,-0.0,-15.6,-391.8,-2,-342,0.210,0.710,5.07
0.2150,0.3812,-1.3058,0.0105,8.0048,0.224,-0.000,15.6,-0.0,-15.6,-391.8,-1,-345,0.230,0.680,5.09
0.2200,0.3812,-1.3058,0.0105,8.0048,0.224,-0.000,15.7,-0.0,-15.7,-391.7,-2,-372,0.230,0.540,5.07
0.2250,0.3839,-1.2345,0.0105,8.0048,0.224,-0.000,15.7,-0.0,-15.7,-370.4,-2,-401,0.230,0.300,5.06
0.2300,0.3839,-1.2345,0.0105,8.0048,0.224,-0.000,15.7,-0.0,-15.7,-370.4,0,-401,0.230,0.120,5.77
0.2350,0.3839,-1.2345,0.0105,8.0048,0.045,-0.000,3.1,-0.0,-3.1,-370.4,-2,-360,0.250,0.080,9.30
0.2400,0.3839,-1.2345,0.0105,8.0048,-0.063,-0.000,-4.4,-0.0,4.4,-370.4,-1,-382,0.250,0.040,9.71
0.2450,0.3839,-1.2345,0.0105,8.0048,-0.127,-0.000,-8.9,-0.0,8.9,-370.4,-1,-397,0.230,0.140,5.06
0.2500,0.3839,-1.2345,0.0105,8.0048,-0.166,-0.000,-11.6,-0.0,11.6,-370.4,1,-408,0.230,0.180,5.06
0.2550,0.3839,-1.2345,0.0105,8.0048,-0.189,-0.000,-13.2,-0.0,13.2,-370.4,1,-400,0.210,0.150,5.07
0.2600,0.3839,-1.2345,0.0105,8.0048,-0.203,-0.000,-14.2,-0.0,14.2,-370.4,0,-377,0.180,0.070,5.07
0.2650,0.3796,-1.1643,0.0105,8.0048,-0.211,-0.000,-14.8,-0.0,14.8,-349.3,1,-354,0.190,0.060,5.07
0.2700,0.3796,-1.1643,0.0037,8.0032,-0.127,0.045,-8.9,1.8,8.9,-347.5,2,-386,0.030,0.180,11.04
0.2750,0.3796,-1.1643,0.0037,8.0032,-0.076,0.072,-5.3,2.9,5.3,-346.4,0,-354,0.160,0.320,9.62
0.2800,0.3796,-1.1643,0.0037,8.0032,-0.046,0.088,-3.2,3.5,3.2,-345.8,0,-339,0.150,0.530,5.07
0.2850,0.3796,-1.1643,0.0037,8.0032,-0.027,0.097,-1.9,3.9,1.9,-345.4,0,-332,0.150,0.630,5.07
0.2900,0.3796,-1.1643,0.0037,8.0032,-0.016,0.103,-1.2,4.1,1.2,-345.2,0,-352,0.180,0.660,5.07
0.2950,0.3796,-1.1643,0.0037,8.0032,-0.010,0.107,-0.7,4.3,0.7,-345.0,0,-382,0.180,0.630,5.06
0.3000,0.3796,-1.1643,0.0037,8.0032,-0.006,0.109,-0.4,4.4,0.4,-345.0,0,-384,0.170,0.660,5.07
0.3050,0.3799,-1.0793,0.0037,8.0032,-0.004,0.110,-0.2,4.4,0.2,-319.4,0,-366,0.180,0.740,5.06
0.3100,0.3799,-1.0793,0.0032,8.0033,-0.002,0.111,-0.1,4.4,0.1,-319.3,0,-338,0.180,0.860,5.06
0.3150,0.3799,-1.0793,0.0032,8.0033,0.088,0.066,6.2,2.7,-6.2,-321.1,0,-328,0.180,0.850,8.49
0.3200,0.3799,-1.0793,0.0032,8.0033,0.142,0.040,10.0,1.6,-10.0,-322.2,0,-331,0.180,0.780,9.97
0.3250,0.3799,-1.0793,0.0032,8.0033,0.175,0.024,12.3,1.0,-12.3,-322.8,0,-336,0.200,0.740,5.08
0.3300,0.3799,-1.0793,0.0032,8.0033,0.195,0.014,13.6,0.6,-13.6,-323.2,-1,-333,0.210,0.690,5.08
0.3350,0.3799,-1.0793,0.0032,8.0033,0.206,0.009,14.4,0.3,-14.4,-323.4,-1,-320,0.210,0.660,5.07
0.3400,0.3799,-1.0793,0.0032,8.0033,0.213,0.005,14.9,0.2,-14.9,-323.6,-1,-307,0.230,0.660,5.07
0.3450,0.3804,-0.9942,0.0032,8.0033,0.217,0.003,15.2,0.1,-15.2,0.1,-1,-303,0.250,0.620,5.07
0.3500,0.3804,-0.9942,0.0032,8.0033,0.220,0.002,15.4,0.1,-15.4,0.1,-1,-314,0.260,0.520,5.47
0.3550,0.3804,-0.9942,0.0032,8.0033,0.222,0.001,15.5,0.0,-15.5,0.0,-1,-187,0.260,0.160,9.33
0.3600,0.3804,-0.9942,0.0032,8.0033,0.222,0.001,15.6,0.0,-15.6,0.0,0,-53,0.280,0.180,10.55
0.3650,0.3804,-0.9942,0.0032,8.0033,0.223,0.000,15.6,0.0,-15.6,0.0,-1,-62,0.300,0.200,5.08
0.3700,0.3804,-0.9942,0.0032,8.0033,0.223,0.000,15.6,0.0,-15.6,0.0,-2,-68,0.280,0.140,5.07
0.3750,0.3804,-0.9942,0.0032,8.0033,0.224,0.000,15.6,0.0,-15.6,0.0,-1,-61,0.280,0.100,5.08
0.3800,0.3804,-0.9942,0.0032,8.0033,0.224,0.000,15.7,0.0,-15.7,0.0,-1,-49,0.300,0.120,5.07
0.3850,0.3739,-0.9102,0.0032,8.0033,0.224,0.000,15.7,0.0,-15.7,0.0,-1,-36,0.310,0.140,5.07
0.3900,0.3739,-0.9102,0.0016,8.0102,0.179,0.045,12.5,1.8,-12.5,1.8,-1,-26,0.310,0.140,11.34
0.3950,0.3739,-0.9102,0.0016,8.0102,0.152,0.072,10.7,2.9,-10.7,2.9,-2,-20,0.330,0.130,9.73
0.4000,0.3739,-0.9102,0.0016,8.0102,0.136,0.088,9.5,3.5,-9.5,3.5,-2,-18,0.320,0.120,5.08
0.4050,0.3739,-0.9102,0.0016,8.0102,0.126,0.097,8.8,3.9,-8.8,3.9,-1,-14,0.320,0.120,5.08
0.4100,0.3739,-0.9102,0.0016,8.0102,0.121,0.103,8.4,4.1,-8.4,4.1,0,-11,0.320,0.120,5.07
0.4150,0.3739,-0.9102,0.0016,8.0102,0.117,0.107,8.2,4.3,-8.2,4.3,-1,-9,0.320,0.120,5.08
0.4200,0.3799,-0.8597,0.0016,8.0102,0.115,0.109,8.1,4.4,-8.1,4.4,-1,-8,0.320,0.110,5.07
0.4250,0.3799,-0.8597,0.0016,8.0102,0.114,0.110,8.0,4.4,-8.0,4.4,-2,-5,0.340,0.110,5.04
0.4300,0.3799,-0.8597,-0.0036,8.0017,0.068,0.066,4.8,2.6,-4.8,2.6,-2,-4,0.350,0.120,5.08
0.4350,0.3799,-0.8597,-0.0036,8.0017,0.041,0.040,2.9,1.6,-2.9,1.6,-3,-3,0.330,0.120,13.70
0.4400,0.3799,-0.8597,-0.0036,8.0017,0.025,0.024,1.7,1.0,-1.7,1.0,-3,-2,0.340,0.110,5.08
0.4450,0.3799,-0.8597,-0.0036,8.0017,0.015,0.014,1.0,0.6,-1.0,0.6,-1,-2,0.330,0.110,5.08
0.4500,0.3799,-0.8597,-0.0036,8.0017,0.009,0.009,0.6,0.3,-0.6,0.3,0,-3,0.320,0.120,5.06
0.4550,0.3799,-0.8597,-0.0036,8.0017,0.005,0.005,0.4,0.2,-0.4,0.2,0,-1,0.320,0.110,5.07
0.4600,0.3799,-0.8597,-0.0036,8.0017,0.003,0.003,0.2,0.1,-0.2,0.1,0,-2,0.320,0.110,5.07
0.4650,0.3787,-0.8528,-0.0036,8.0017,0.002,0.002,0.1,0.1,-0.1,0.1,0,0,0.330,0.120,5.06
0.4700,0.3787,-0.8528,-0.0005,7.9915,0.001,0.001,0.1,0.0,-0.1,0.0,0,0,0.320,0.120,9.74
0.4750,0.3787,-0.8528,-0.0005,7.9915,0.001,0.045,0.0,1.8,-0.0,1.8,0,0,0.330,0.120,5.06
0.4800,0.3787,-0.8528,-0.0005,7.9915,0.000,0.072,0.0,2.9,-0.0,2.9,0,-1,0.310,0.110,8.79
0.4850,0.3787,-0.8528,-0.0005,7.9915,0.000,0.088,0.0,3.5,-0.0,3.5,0,0,0.330,0.110,5.07
0.4900,0.3787,-0.8528,-0.0005,7.9915,0.000,0.098,0.0,3.9,-0.0,3.9,0,0,0.320,0.110,5.06
0.4950,0.3787,-0.8528,-0.0005,7.9915,0.000,0.103,0.0,4.1,-0.0,4.1,0,0,0.330,0.100,5.07
0.5000,0.3787,-0.8528,-0.0005,7.9915,0.000,0.107,0.0,4.3,-0.0,4.3,0,0,0.310,0.100,5.07
0.5050,0.3831,-0.8804,-0.0005,7.9915,0.000,0.109,0.0,4.4,-0.0,4.4,0,0,0.310,0.100,5.08
0.5100,0.3831,-0.8804,-0.0005,7.9915,0.000,0.110,0.0,4.4,-0.0,4.4,0,0,0.320,0.110,6.49
0.5150,0.3831,-0.8804,-0.0005,7.9915,-0.045,0.111,-3.1,4.4,3.1,4.4,0,0,0.330,0.090,8.41
0.5200,0.3831,-0.8804,-0.0005,7.9915,-0.072,0.111,-5.0,4.4,5.0,4.4,0,0,0.330,0.090,10.37
0.5250,0.3831,-0.8804,-0.0005,7.9915,-0.088,0.112,-6.1,4.5,6.1,4.5,0,0,0.310,0.090,5.07
0.5300,0.3831,-0.8804,-0.0005,7.9915,-0.097,0.112,-6.8,4.5,6.8,4.5,0,0,0.310,0.090,5.08
0.5350,0.3831,-0.8804,-0.0005,7.9915,-0.103,0.112,-7.2,4.5,7.2,4.5,0,0,0.310,0.090,5.07
0.5400,0.3831,-0.8804,-0.0005,7.9915,-0.107,0.112,-7.5,4.5,7.5,4.5,0,0,0.310,0.100,5.09
0.5450,0.3842,-0.8873,-0.0005,7.9915,-0.109,0.112,-7.6,4.5,7.6,4.5,0,0,0.300,0.090,5.07
0.5500,0.3842,-0.8873,-0.0017,7.9983,-0.110,0.112,-7.7,4.5,7.7,4.5,0,0,0.290,0.090,5.06
0.5550,0.3842,-0.8873,-0.0017,7.9983,-0.021,0.067,-1.5,2.7,1.5,2.7,1,0,0.290,0.090,9.29
0.5600,0.3842,-0.8873,-0.0017,7.9983,0.032,0.040,2.2,1.6,-2.2,1.6,0,1,0.290,0.080,9.67
0.5650,0.3842,-0.8873,-0.0017,7.9983,0.064,0.024,4.5,1.0,-4.5,1.0,0,0,0.300,0.080,5.07
0.5700,0.3842,-0.8873,-0.0017,7.9983,0.083,0.014,5.8,0.6,-5.8,0.6,0,0,0.300,0.090,5.06
0.5750,0.3842,-0.8873,-0.0017,7.9983,0.095,0.009,6.6,0.3,-6.6,0.3,0,0,0.310,0.090,5.09
0.5800,0.3842,-0.8873,-0.0017,7.9983,0.102,0.005,7.1,0.2,-7.1,0.2,0,0,0.310,0.090,5.07
0.5850,0.3842,-0.8873,-0.0017,7.9983,0.106,0.003,7.4,0.1,-7.4,0.1,0,0,0.320,0.090,5.07
0.5900,0.3842,-0.8873,-0.0466,8.0023,0.108,0.002,7.6,0.1,-7.6,0.1,0,0,0.330,0.090,10.98
0.5950,0.3842,-0.8873,-0.0466,8.0023,-0.069,0.001,-4.9,0.0,4.9,0.0,0,0,0.330,0.080,5.06
0.6000,0.3842,-0.8873,-0.0466,8.0023,-0.176,0.001,-12.3,0.0,12.3,0.0,0,0,0.330,0.090,8.65
0.6050,0.3842,-0.8873,-0.0466,8.0023,-0.240,0.000,-16.8,0.0,16.8,0.0,-1,0,0.320,0.090,5.08
0.6100,0.3842,-0.8873,-0.0466,8.0023,-0.278,0.000,-19.5,0.0,19.5,0.0,2,0,0.290,0.090,5.07
0.6150,0.3842,-0.8873,-0.0466,8.0023,-0.301,0.000,-21.1,0.0,21.1,0.0,1,0,0.270,0.080,5.08
0.6200,0.3842,-0.8873,-0.0466,8.0023,-0.315,0.000,-22.1,0.0,22.1,0.0,1,0,0.250,0.090,5.08
0.6250,0.3820,-0.8735,-0.0466,8.0023,-0.323,0.000,-22.6,0.0,22.6,0.0,1,0,0.250,0.090,5.06
0.6300,0.3820,-0.8735,-0.0449,7.9955,-0.328,0.000,-23.0,0.0,23.0,0.0,2,0,0.230,0.100,5.47
0.6350,0.3820,-0.8735,-0.0449,7.9955,-0.107,0.000,-7.5,0.0,7.5,0.0,2,0,0.220,0.080,8.16
0.6400,0.3820,-0.8735,-0.0449,7.9955,0.025,0.000,1.8,0.0,-1.8,0.0,2,0,0.190,0.100,9.76
0.6450,0.3820,-0.8735,-0.0449,7.9955,0.105,0.000,7.3,0.0,-7.3,0.0,1,0,0.220,0.090,5.07
0.6500,0.3820,-0.8735,-0.0449,7.9955,0.152,0.000,10.7,0.0,-10.7,0.0,-1,0,0.250,0.100,5.06
0.6550,0.3820,-0.8735,-0.0449,7.9955,0.181,0.000,12.7,0.0,-12.7,0.0,-2,0,0.250,0.090,5.08
0.6600,0.3820,-0.8735,-0.0449,7.9955,0.198,0.000,13.9,0.0,-13.9,0.0,0,0,0.270,0.090,5.08
0.6650,0.3820,-0.8735,-0.0449,7.9955,0.208,0.000,14.6,0.0,-14.6,0.0,-1,0,0.290,0.090,5.07
0.6700,0.3820,-0.8735,-0.0381,7.9971,0.215,0.000,15.0,0.0,-15.0,0.0,-1,0,0.290,0.090,6.69
0.6750,0.3820,-0.8735,-0.0381,7.9971,0.129,0.045,9.0,1.8,-9.0,1.8,-2,0,0.310,0.090,9.16
0.6800,0.3820,-0.8735,-0.0381,7.9971,0.077,0.072,5.4,2.9,-5.4,2.9,-2,0,0.320,0.090,10.47
0.6850,0.3820,-0.8735,-0.0381,7.9971,0.046,0.088,3.2,3.5,-3.2,3.5,-1,0,0.330,0.090,5.07
0.6900,0.3820,-0.8735,-0.0381,7.9971,0.028,0.097,1.9,3.9,-1.9,3.9,0,0,0.310,0.090,5.07
0.6950,0.3820,-0.8735,-0.0381,7.9971,0.017,0.103,1.2,4.1,-1.2,4.1,0,0,0.300,0.080,5.08
0.7000,0.3820,-0.8735,-0.0381,7.9971,0.010,0.107,0.7,4.3,-0.7,4.3,0,0,0.290,0.080,5.07
0.7050,0.3820,-0.8735,-0.0381,7.9971,0.006,0.109,0.4,4.4,-0.4,4.4,0,0,0.300,0.070,5.07
0.7100,0.3820,-0.8735,-0.0466,8.0023,0.048,0.065,3.4,2.6,-3.4,2.6,0,0,0.290,0.070,11.74
0.7150,0.3820,-0.8735,-0.0466,8.0023,0.074,0.039,5.2,1.6,-5.2,1.6,0,0,0.300,0.080,10.45
0.7200,0.3820,-0.8735,-0.0466,8.0023,0.089,0.023,6.2,0.9,-6.2,0.9,0,0,0.300,0.070,5.08
0.7250,0.3820,-0.8735,-0.0466,8.0023,0.098,0.014,6.9,0.6,-6.9,0.6,0,0,0.310,0.070,5.07
0.7300,0.3820,-0.8735,-0.0466,8.0023,0.104,0.008,7.3,0.3,-7.3,0.3,0,0,0.310,0.070,5.07
0.7350,0.3820,-0.8735,-0.0466,8.0023,0.107,0.005,7.5,0.2,-7.5,0.2,0,0,0.320,0.080,5.15
0.7400,0.3809,-0.8666,-0.0466,8.0023,0.109,0.003,7.6,0.1,-7.6,0.1,0,0,0.330,0.080,5.07
