t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms
0.0000,-1.3757,3.2153,-1.2430,7.9432,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,825.4,803.8,0,0,0.000,0.000,0.01
0.0050,-1.3987,3.2262,-0.8765,8.0007,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,839.2,806.5,0,0,0.000,0.000,37.73
0.0100,-1.3987,3.2262,-0.8765,8.0007,0.000,-0.017,0.000,0.000,0.0,0.1,0.0,0.0,839.2,806.6,606,558,1.340,1.710,10.83
0.0150,-1.3987,3.2262,-0.8765,8.0007,0.000,-0.031,0.000,0.000,0.0,0.2,0.0,0.0,839.2,806.7,797,732,0.340,0.310,6.75
0.0200,-1.3987,3.2262,-0.8765,8.0007,0.000,-0.043,0.000,0.000,0.0,0.2,0.0,0.0,839.2,806.8,710,645,0.390,0.410,5.65
0.0250,-1.3987,3.2262,-0.8765,8.0007,0.000,-0.053,0.000,0.000,0.0,0.3,0.0,0.0,839.2,806.8,599,570,0.080,0.790,10.30
0.0300,-1.3987,3.2262,-0.8765,8.0007,0.000,-0.062,0.000,0.000,0.0,0.3,0.0,0.0,839.2,806.9,615,610,0.220,0.740,5.08
0.0350,-1.3987,3.2262,-0.8765,8.0007,0.000,-0.070,0.000,0.000,0.0,0.3,0.0,0.0,839.2,806.9,593,671,0.530,0.410,5.07
0.0400,-1.4014,3.1975,-0.8827,8.0032,0.000,-0.076,0.000,0.000,0.0,0.4,0.0,0.0,840.9,799.8,596,691,0.920,0.190,5.09
0.0450,-1.4014,3.1975,-0.8827,8.0032,0.084,-0.484,0.000,0.000,0.8,2.4,0.0,0.0,840.0,801.8,643,677,1.310,0.260,12.35
0.0500,-1.4014,3.1975,-0.8827,8.0032,0.155,-0.831,0.000,0.000,1.6,4.2,0.0,0.0,839.3,803.5,638,684,1.640,0.380,6.52
0.0550,-1.4014,3.1975,-0.8827,8.0032,0.216,-1.126,-0.269,0.000,2.2,5.6,-18.8,0.0,857.5,805.0,656,704,2.010,0.490,5.08
0.0600,-1.4014,3.1975,-0.8827,8.0032,0.267,-1.377,-0.430,0.000,2.7,6.9,-30.1,0.0,868.3,806.3,650,755,2.260,0.540,10.30
0.0650,-1.4014,3.1975,-0.8827,8.0032,0.311,-1.590,-0.526,0.000,3.1,8.0,-36.8,0.0,874.6,807.3,724,755,2.320,0.720,5.24
0.0700,-1.4014,3.1975,-0.8827,8.0032,0.349,-1.771,-0.584,0.000,3.5,8.9,-40.9,0.0,878.3,808.2,736,775,1.960,0.790,5.61
0.0750,-1.2751,3.0109,-0.8827,8.0032,0.380,-1.925,-0.619,0.000,3.8,9.6,-43.3,0.0,804.6,762.4,721,769,2.190,0.880,5.07
0.0800,-1.2751,3.0109,-0.8985,8.0026,0.407,-2.056,-0.640,0.000,4.1,10.3,-44.8,0.0,805.8,763.0,787,746,1.990,1.010,5.87
0.0850,-1.2751,3.0109,-0.8985,8.0026,1.471,-2.620,-0.653,0.000,14.7,13.1,-45.7,0.0,796.1,765.8,715,724,1.620,0.870,9.49
0.0900,-1.2751,3.0109,-0.8985,8.0026,2.375,-3.100,-0.660,0.000,23.7,15.5,-46.2,0.0,787.6,768.2,757,731,1.520,0.710,6.05
0.0950,-1.2751,3.0109,-0.8985,8.0026,3.143,-3.508,-0.307,0.000,31.4,17.5,-21.5,0.0,755.1,770.3,736,763,1.440,0.440,5.07
0.1000,-1.2751,3.0109,-0.8985,8.0026,3.796,-3.855,-0.094,0.000,38.0,19.3,-6.6,0.0,733.7,772.0,773,768,1.550,0.150,7.49
0.1050,-1.2751,3.0109,-0.8985,8.0026,4.352,-4.149,0.033,0.000,43.5,20.7,2.3,0.0,719.3,773.5,762,761,1.350,0.100,5.08
0.1100,-1.2751,3.0109,-0.8985,8.0026,4.823,-4.400,0.109,0.000,48.2,22.0,7.6,0.0,709.2,774.7,726,754,1.750,0.130,5.57
0.1150,-0.7962,2.6768,-0.8985,8.0026,5.225,-4.613,0.155,0.000,52.2,23.1,10.9,0.0,414.6,692.3,743,737,1.650,0.280,5.08
0.1200,-0.7962,2.6768,-0.8923,8.0001,6.405,-5.113,0.183,0.000,64.0,25.6,12.8,0.0,400.9,694.8,747,755,1.580,0.500,11.81
0.1250,-0.7962,2.6768,-0.8923,8.0001,7.408,-5.538,0.199,0.000,74.1,27.7,13.9,0.0,389.7,696.9,702,748,0.860,0.520,5.06
0.1300,-0.7962,2.6768,-0.8923,8.0001,8.261,-5.899,0.209,0.000,82.6,29.5,14.6,0.0,380.5,698.7,567,725,0.770,0.560,5.06
0.1350,-0.7962,2.6768,-0.8923,8.0001,8.986,-6.206,0.528,-0.045,89.9,31.0,37.0,-1.8,350.9,698.4,502,715,1.040,0.710,5.07
0.1400,-0.7962,2.6768,-0.8923,8.0001,9.602,-6.467,0.720,-0.072,96.0,32.3,50.4,-2.9,331.3,698.7,563,694,0.630,0.840,8.08
0.1450,-0.7962,2.6768,-0.8923,8.0001,10.125,-6.688,0.835,-0.088,101.3,33.4,58.4,-3.5,318.0,699.1,578,703,0.200,0.860,5.06
0.1500,-0.7962,2.6768,-0.8923,8.0001,10.571,-6.877,0.904,-0.097,105.7,34.4,63.3,-3.9,308.7,699.7,557,709,0.000,0.730,5.06
0.1550,-0.1200,2.2442,-0.8484,7.9951,10.949,-7.037,0.945,-0.103,109.5,35.2,66.2,-4.1,-175.6,592.1,512,697,0.050,0.650,5.06
0.1600,-0.1200,2.2442,-0.8484,7.9951,10.985,-7.375,0.970,-0.107,109.9,36.9,67.9,-4.3,-177.7,593.7,428,715,0.010,0.340,13.37
0.1650,-0.1200,2.2442,-0.8484,7.9951,11.016,-7.662,0.985,-0.109,110.2,38.3,68.9,-4.4,-179.1,595.0,353,699,0.710,0.090,5.07
