t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,dt_ms
0.000,0.4878,-0.0,-0.9637,0.0,-0.1722,8.3943,0,0,0.00,0.00,0.000,0.000,0.04
0.020,0.4878,-0.0,-0.9637,0.0,-0.1722,8.3943,0,0,0.00,0.00,0.000,0.000,40.35
0.040,0.5819,-349.1,-0.8749,0.0,-0.1722,8.3943,-8,0,0.00,0.00,0.010,0.090,20.09
0.060,0.5819,-349.1,-0.8749,0.0,-0.1722,8.3943,-1,0,0.00,0.00,0.040,0.070,20.07
0.080,0.5819,-349.1,-0.8749,0.0,-0.1722,8.3943,-169,0,0.00,0.00,0.630,0.070,20.07
0.100,0.5176,-310.5,-0.8573,0.0,-0.1625,8.3967,-209,0,-2.86,0.00,0.670,0.070,20.10
0.120,0.5176,-310.5,-0.8573,0.0,-0.1625,8.3967,-259,0,-2.86,0.00,0.590,0.070,20.08
0.140,0.5331,-319.8,-0.8916,0.0,-0.1625,8.3967,-247,0,-5.71,0.00,0.510,0.070,20.08
0.160,0.5331,-319.8,-0.8916,0.0,-0.1625,8.3967,-270,0,-5.71,0.00,0.480,0.070,20.07
0.180,0.5331,-319.8,-0.8916,0.0,-0.1625,8.3967,-292,0,-8.57,0.00,0.570,0.070,20.07
0.200,0.5539,-332.3,-0.8835,0.0,-0.1625,8.3967,-327,0,-8.57,0.00,0.660,0.080,20.16
0.220,0.5539,-332.3,-0.8835,0.0,-0.1625,8.3967,-327,0,-11.43,0.00,0.810,0.080,20.08
0.240,0.5173,-310.4,-0.8575,0.0,-0.1625,8.3967,-352,0,-14.29,0.00,0.940,0.070,20.07
0.260,0.5173,-310.4,-0.8575,0.0,-0.1625,8.3967,-339,0,-14.29,0.00,0.990,0.070,20.07
0.280,0.5173,-310.4,-0.8575,0.0,-0.1625,8.3967,-308,0,-17.14,0.00,0.810,0.070,20.08
0.300,0.5922,-355.3,-0.8046,0.0,-0.1625,8.3967,-312,0,-20.00,0.00,0.640,0.070,20.07
0.320,0.5922,-355.3,-0.8046,0.0,-0.1625,8.3967,-296,0,-22.86,0.00,0.340,0.070,20.08
0.340,0.5790,-347.4,-0.6792,0.0,-0.1625,8.3967,-349,0,-22.86,0.00,0.310,0.070,20.07
0.360,0.5790,-347.4,-0.6792,0.0,-0.1685,8.4003,-319,0,-25.71,0.00,0.390,0.070,20.06
0.380,0.5790,-347.4,-0.6792,0.0,-0.1685,8.4003,-331,0,-28.57,0.00,0.760,0.080,20.09
0.400,0.5745,-344.7,-0.5813,0.0,-0.1685,8.4003,-304,0,-28.57,0.00,1.130,0.070,20.08
0.420,0.5745,-344.7,-0.5813,0.0,-0.1685,8.4003,-329,0,-31.43,0.00,1.390,0.070,20.08
0.440,0.5894,-353.7,-0.7487,0.0,-0.1685,8.4003,-321,0,-31.43,0.00,1.580,0.080,20.07
0.460,0.5894,-353.7,-0.7487,0.0,-0.1685,8.4003,-306,0,-34.29,0.00,1.570,0.070,20.09
0.480,0.5894,-353.7,-0.7487,0.0,-0.1685,8.4003,-333,0,-37.14,0.00,1.340,0.070,20.08
0.500,0.4348,-0.0,-0.9037,0.0,-0.1685,8.4003,-356,0,-37.14,0.00,1.030,0.080,20.09
0.520,0.4348,-0.0,-0.9037,0.0,-0.1685,8.4003,-368,0,-40.00,0.00,0.780,0.070,20.09
0.540,0.2977,-0.0,-0.8121,0.0,-0.1685,8.4003,-91,0,-40.00,0.00,0.240,0.070,20.08
0.560,0.2977,-0.0,-0.8121,0.0,-0.1685,8.4003,-76,0,-42.86,0.00,0.250,0.080,20.09
0.580,0.2977,-0.0,-0.8121,0.0,-0.1685,8.4003,-58,0,-42.86,0.00,0.180,0.080,20.08
0.600,0.3610,-0.0,-0.6619,0.0,-0.1685,8.4003,-48,0,-42.86,0.00,0.190,0.070,20.09
0.620,0.3610,-0.0,-0.6619,0.0,-0.1685,8.4003,-15,0,-42.86,0.00,0.210,0.070,20.07
0.640,0.3900,-0.0,-0.5343,0.0,-0.1685,8.4003,-2,0,-42.86,0.00,0.300,0.070,20.07
0.660,0.3900,-0.0,-0.5343,0.0,-0.1746,8.4040,11,0,-42.86,0.00,0.360,0.070,20.08
0.680,0.3900,-0.0,-0.5343,0.0,-0.1746,8.4040,21,0,-42.86,0.00,0.430,0.080,20.08
0.700,0.3281,-0.0,-0.5583,0.0,-0.1746,8.4040,26,1,-42.86,0.00,0.510,0.060,20.08
0.720,0.3281,-0.0,-0.5583,0.0,-0.1746,8.4040,20,1,-42.86,0.00,0.580,0.000,20.08
0.740,0.2040,-0.0,-0.7393,0.0,-0.1746,8.4040,15,0,-42.86,0.00,0.610,0.070,20.09
0.760,0.2040,-0.0,-0.7393,0.0,-0.1746,8.4040,4,0,-42.86,0.00,0.560,0.080,20.07
0.780,0.2040,-0.0,-0.7393,0.0,-0.1746,8.4040,-2,0,-42.86,0.00,0.520,0.080,20.09
0.800,0.2006,-0.0,-0.9636,0.0,-0.1746,8.4040,-4,0,-42.86,0.00,0.470,0.070,20.06
0.820,0.2006,-0.0,-0.9636,0.0,-0.1746,8.4040,-11,0,-42.86,0.00,0.430,0.070,20.07
0.840,0.2852,-0.0,-0.9594,0.0,-0.1746,8.4040,-11,0,-42.86,0.00,0.380,0.070,20.07
0.860,0.2852,-0.0,-0.9594,0.0,-0.1746,8.4040,-13,0,-42.86,0.00,0.360,0.050,20.08
0.880,0.2852,-0.0,-0.9594,0.0,-0.1746,8.4040,-9,0,-42.86,0.00,0.340,0.070,20.09
0.900,0.2791,-0.0,-0.8336,0.0,-0.1746,8.4040,-5,0,-42.86,0.00,0.350,0.070,20.07
0.920,0.2791,-0.0,-0.8336,0.0,-0.1746,8.4040,2,0,-42.86,0.00,0.360,0.070,20.08
0.940,0.2371,-0.0,-0.6886,0.0,-0.1746,8.4040,4,0,-42.86,0.00,0.390,0.070,20.07
0.960,0.2371,-0.0,-0.6886,0.0,-0.1746,8.4040,6,0,-42.86,0.00,0.420,0.070,20.07
0.980,0.2371,-0.0,-0.6886,0.0,-0.1746,8.4040,7,0,-42.86,0.00,0.450,0.080,20.08
1.000,0.2652,-0.0,-0.6871,0.0,-0.1746,8.4040,6,0,-42.86,0.00,0.460,0.070,20.06
1.020,0.2652,-0.0,-0.6871,0.0,-0.1746,8.4040,1,0,-42.86,0.00,0.450,0.070,20.08
1.040,0.2429,-0.0,-0.8074,0.0,-0.1746,8.4040,0,0,-42.86,0.00,0.440,0.070,20.07
1.060,0.2429,-0.0,-0.8074,0.0,-0.1746,8.4040,0,0,-42.86,0.00,0.440,0.070,20.08
1.080,0.1751,-0.0,-0.8527,0.0,-0.1746,8.4040,-2,0,-42.86,0.00,0.440,0.070,20.08
1.100,0.1751,-0.0,-0.8527,0.0,-0.1746,8.4040,-2,0,-42.86,0.00,0.430,0.070,20.06
1.120,0.1751,-0.0,-0.8527,0.0,-0.1746,8.4040,-2,0,-42.86,0.00,0.400,0.080,20.08
1.140,0.2535,-0.0,-0.8768,0.0,-0.1746,8.4040,-3,0,-42.86,0.00,0.400,0.070,20.09
1.160,0.2535,-0.0,-0.8768,0.0,-0.1806,8.4076,-1,0,-42.86,0.00,0.400,0.080,20.10
1.180,0.3241,-0.0,-0.8873,0.0,-0.1806,8.4076,-1,0,-42.86,0.00,0.410,0.080,20.08
1.200,0.3241,-0.0,-0.8873,0.0,-0.1806,8.4076,0,0,-42.86,0.00,0.400,0.080,20.06
1.220,0.3241,-0.0,-0.8873,0.0,-0.1806,8.4076,0,0,-42.86,0.00,0.410,0.070,20.08
1.240,0.3487,-0.0,-0.8160,0.0,-0.1806,8.4076,1,0,-42.86,0.00,0.410,0.070,20.09
1.260,0.3487,-0.0,-0.8160,0.0,-0.1842,8.4016,0,0,-42.86,0.00,0.420,0.070,20.09
1.280,0.2841,-0.0,-0.7913,0.0,-0.1842,8.4016,0,0,-42.86,0.00,0.420,0.070,20.08
