t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,-0.6879,2.5600,-0.9348,6.4584,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,275.2,128.0,0,0,0.000,0.000,0.02,
0.0050,-0.7099,2.6964,-0.9348,6.4584,0.034,0.000,0.000,0.000,0.3,0.0,0.0,0.0,283.6,134.8,0,0,0.000,0.000,41.35,
0.0100,-0.7110,2.7033,-0.9348,6.4584,0.057,0.000,0.000,0.000,0.6,0.0,0.0,0.0,283.8,135.2,93,46,0.860,0.600,8.35,
0.0150,-0.7110,2.7036,-0.9348,6.4584,0.074,0.000,0.000,0.000,0.7,0.0,0.0,0.0,283.7,135.2,171,73,0.750,0.530,5.08,
0.0200,-0.7110,2.7036,-0.9348,6.4584,0.085,0.000,0.000,0.000,0.9,0.0,0.0,0.0,283.6,135.2,208,80,0.610,0.500,5.08,
0.0250,-0.7101,2.6970,-0.9326,6.4587,0.093,0.000,0.000,0.000,0.9,0.0,0.0,0.0,283.1,134.9,201,74,0.640,0.540,5.07,
0.0300,-0.7101,2.6967,-0.9326,6.4587,0.132,0.000,0.000,0.000,1.3,0.0,0.0,0.0,282.7,134.8,203,79,0.670,0.550,12.37,
0.0350,-0.7101,2.6967,-0.9326,6.4587,0.160,0.000,0.000,0.000,1.6,0.0,0.0,0.0,282.4,134.8,230,86,0.570,0.530,11.62,
0.0400,-0.7101,2.6967,-0.9326,6.4587,0.179,0.000,0.000,0.000,1.8,0.0,0.0,0.0,282.2,134.8,235,86,0.470,0.510,5.07,
0.0450,-0.7101,2.6967,-0.9326,6.4587,0.192,0.000,0.000,0.000,1.9,0.0,0.0,0.0,282.1,134.8,235,89,0.420,0.510,5.03,
0.0500,-0.7101,2.6967,-0.9326,6.4587,0.202,0.000,0.000,0.000,2.0,0.0,0.0,0.0,282.0,134.8,240,94,0.380,0.490,5.06,
0.0550,-0.7101,2.6967,-0.9326,6.4587,0.208,0.000,0.000,0.000,2.1,0.0,0.0,0.0,281.9,134.8,261,101,0.280,0.460,5.11,
0.0600,-0.7035,2.6976,-0.9326,6.4587,0.213,0.000,0.000,0.000,2.1,0.0,0.0,0.0,279.3,134.9,278,110,0.140,0.420,5.07,
0.0650,-0.7031,2.6977,-0.9326,6.4587,0.216,0.000,0.224,-0.112,2.2,0.0,56.0,0.0,223.1,134.9,253,143,0.070,0.290,11.03,
0.0700,-0.7031,2.6977,-0.9326,6.4587,0.219,0.000,0.224,-0.112,2.2,0.0,56.0,0.0,223.1,134.9,237,151,0.060,0.110,10.26,
0.0750,-0.7031,2.6977,-0.9326,6.4587,0.220,0.000,0.224,-0.112,2.2,0.0,56.0,0.0,223.1,134.9,230,146,0.060,0.070,5.07,
0.0800,-0.7031,2.6977,-0.9326,6.4587,0.221,0.000,0.224,-0.112,2.2,0.0,56.0,0.0,223.1,134.9,206,139,0.060,0.060,5.06,
0.0850,-0.7031,2.6977,-0.9326,6.4587,0.222,0.000,0.224,-0.112,2.2,0.0,56.0,0.0,223.1,134.9,197,133,0.040,0.050,5.06,
0.0900,-0.7031,2.6977,-0.9326,6.4587,0.223,0.000,0.224,-0.112,2.2,0.0,56.0,0.0,223.1,134.9,204,131,0.070,0.030,5.06,
0.0950,-0.7031,2.6977,-0.9326,6.4587,0.223,0.000,0.224,-0.112,2.2,0.0,56.0,0.0,223.1,134.9,204,128,0.080,0.000,5.07,
0.1000,-0.6956,2.6920,-0.9317,6.5029,0.223,0.000,0.224,-0.112,2.2,0.0,56.0,0.0,220.1,134.6,190,124,0.060,0.000,5.06,
0.1050,-0.6952,2.6918,-0.9317,6.5029,0.391,-0.067,-0.224,0.000,3.9,-0.7,-56.0,0.0,330.1,133.9,165,108,0.080,0.000,12.70,
0.1100,-0.6952,2.6917,-0.9317,6.5029,0.509,-0.114,-0.224,0.000,5.1,-1.1,-56.0,0.0,328.9,133.4,155,112,0.230,0.000,11.11,
0.1150,-0.6952,2.6917,-0.9317,6.5029,0.591,-0.147,-0.224,0.000,5.9,-1.5,-56.0,0.0,328.1,133.1,197,121,0.640,0.040,5.07,
