t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,0.5996,0.2273,-0.2046,5.6148,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-359.7,113.7,0,0,0.000,0.000,0.01,
0.0050,0.5996,0.2273,-0.2046,5.6148,-0.006,-0.006,0.000,0.000,-0.1,-0.0,0.0,0.0,-359.7,113.7,0,0,0.000,0.000,46.02,
0.0100,0.5996,0.2273,-0.2046,5.6148,-0.011,-0.011,0.000,0.000,-0.1,-0.0,0.0,0.0,-359.6,113.7,-37,15,0.940,0.080,6.11,
0.0150,0.5996,0.2273,-0.2046,5.6148,-0.016,-0.016,0.000,0.000,-0.2,-0.0,0.0,0.0,-359.6,113.7,-187,53,0.930,0.110,5.07,
0.0200,0.5996,0.2273,-0.2046,5.6148,-0.021,-0.021,0.000,0.000,-0.2,-0.0,0.0,0.0,-359.5,113.7,-265,68,0.500,0.170,6.33,
0.0250,0.5996,0.2273,-0.6967,5.0803,-0.014,-0.014,0.000,0.000,-0.1,-0.0,0.0,0.0,-359.6,113.7,-235,52,0.500,0.100,9.64,
0.0300,0.5996,0.2273,-0.6967,5.0803,-0.008,-0.008,0.000,0.000,-0.1,-0.0,0.0,0.0,-359.7,113.7,-271,55,0.460,0.020,9.26,
0.0350,0.5996,0.2273,-0.6967,5.0803,-0.002,-0.002,0.000,0.000,-0.0,-0.0,0.0,0.0,-359.7,113.7,-296,59,0.280,0.000,5.08,
0.0400,0.5996,0.2273,-0.6967,5.0803,0.004,0.004,0.000,0.000,0.0,0.0,0.0,0.0,-359.8,113.7,-306,62,0.180,0.010,5.07,
0.0450,0.5996,0.2273,-0.6967,5.0803,0.009,0.009,0.000,0.000,0.1,0.0,0.0,0.0,-359.8,113.7,-307,63,0.130,0.050,5.07,
0.0500,0.5996,0.2273,-0.6967,5.0803,0.014,0.014,0.000,0.000,0.1,0.0,0.0,0.0,-359.9,113.7,-306,64,0.060,0.060,5.07,
0.0550,0.5996,0.2273,-0.6967,5.0803,0.019,0.019,0.000,0.000,0.2,0.0,0.0,0.0,-359.9,113.7,-306,67,0.030,0.070,5.08,
0.0600,0.5996,0.2273,-0.6967,5.0803,0.024,0.024,0.000,0.000,0.2,0.0,0.0,0.0,-360.0,113.7,-310,72,0.020,0.100,6.03,
0.0650,0.5996,0.2273,-0.6967,5.0803,0.012,0.023,0.000,0.000,0.1,0.0,0.0,0.0,-359.9,113.7,-283,85,0.010,0.120,9.52,
0.0700,0.5996,0.2273,-0.6967,5.0803,-0.000,0.022,0.000,0.000,-0.0,0.0,0.0,0.0,-359.7,113.7,-279,107,0.100,0.120,10.40,
0.0750,0.5996,0.2273,-0.6967,5.0803,-0.011,0.020,0.000,0.000,-0.1,0.0,0.0,0.0,-359.6,113.7,-273,118,0.160,0.100,5.07,
0.0800,0.5996,0.2273,-0.6967,5.0803,-0.022,0.019,0.000,0.000,-0.2,0.0,0.0,0.0,-359.5,113.7,-252,129,0.280,0.090,5.75,
0.0850,0.5996,0.2273,-0.6967,5.0803,-0.032,0.018,0.000,0.000,-0.3,0.0,0.0,0.0,-359.4,113.7,-251,130,0.450,0.100,5.07,
0.0900,0.5996,0.2273,-0.6967,5.0803,-0.042,0.018,0.000,0.000,-0.4,0.0,0.0,0.0,-359.3,113.7,-261,123,0.520,0.140,5.71,
0.0950,0.5857,0.2257,-0.6967,5.0803,-0.051,0.017,0.000,0.000,-0.5,0.0,0.0,0.0,-350.9,112.8,-267,116,0.590,0.190,5.07,
