t_s,imu1_roll_deg,target_roll_deg,imu1_pitch_deg,target_pitch_deg,imu2_roll_deg,imu2_pitch_deg,motor_roll_pos_deg,motor_pitch_pos_deg,dt_ms
7.720,-5.7073,2.2829,22.7701,9.1081,0.1742,0.5394,-120.0000,-280.0000,20.08
7.740,-5.7073,2.2829,22.7701,9.1081,0.1704,0.5336,-114.2857,-277.1429,20.08
7.760,-5.7073,2.2829,22.7701,9.1081,0.1704,0.5336,-108.5714,-271.4286,20.08
7.780,-5.0029,2.0011,22.7431,9.0972,0.1704,0.5336,-108.5714,-265.7143,20.07
7.800,-5.0029,2.0011,22.7431,9.0972,0.1704,0.5336,-105.7143,-257.1429,20.07
7.820,-4.4367,1.7747,22.3822,8.9529,0.1704,0.5336,-102.8571,-251.4286,20.08
7.840,-4.4367,1.7747,22.3822,8.9529,0.1762,0.5297,-102.8571,-240.0000,20.07
7.860,-4.4367,1.7747,22.3822,8.9529,0.1762,0.5297,-102.8571,-231.4286,20.08
7.880,-4.2342,1.6937,21.5502,8.6201,0.1762,0.5297,-102.8571,-225.7143,20.08
7.900,-4.2342,1.6937,21.5502,8.6201,0.1762,0.5297,-105.7143,-217.1429,20.08
7.920,-4.4331,1.7733,20.4579,8.1832,0.1762,0.5297,-105.7143,-214.2857,20.08
7.940,-4.4331,1.7733,20.4579,8.1832,0.1762,0.5297,-108.5714,-208.5714,20.08
7.960,-4.4331,1.7733,20.4579,8.1832,0.1762,0.5297,-111.4286,-205.7143,20.08
7.980,-4.9758,1.9903,19.3104,7.7242,0.1762,0.5297,-117.1429,-202.8571,20.08
8.000,-4.9758,1.9903,19.3104,7.7242,0.1762,0.5297,-122.8571,-202.8571,20.07
8.020,-5.7651,2.3060,18.0246,7.2098,0.1762,0.5297,-125.7143,-202.8571,20.07
8.040,-5.7651,2.3060,18.0246,7.2098,0.1762,0.5297,-131.4286,-202.8571,20.07
8.060,-5.7651,2.3060,18.0246,7.2098,0.1762,0.5297,-134.2857,-202.8571,20.09
8.080,-6.6085,2.6434,16.7668,6.7067,0.1762,0.5297,-137.1429,-205.7143,20.08
8.100,-6.6085,2.6434,16.7668,6.7067,0.1762,0.5297,-140.0000,-208.5714,20.08
8.120,-7.1403,2.8561,15.8246,6.3298,0.1762,0.5297,-140.0000,-208.5714,20.07
8.140,-7.1403,2.8561,15.8246,6.3298,0.1820,0.5258,-140.0000,-214.2857,20.08
8.160,-7.1403,2.8561,15.8246,6.3298,0.1820,0.5258,-140.0000,-220.0000,20.08
8.180,-7.1853,2.8741,16.2325,6.4930,0.1820,0.5258,-137.1429,-222.8571,20.08
8.200,-7.1853,2.8741,16.2325,6.4930,0.1820,0.5258,-134.2857,-234.2857,20.08
