t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,i_roll_erpm,i_pitch_erpm,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,1.3366,3.1193,0.0126,8.1309,0.034,-0.017,0.045,0.000,0.0,0.0,0.3,0.1,0.0,0.0,-802.3,935.9,0,0,0.000,0.000,0.01,
0.0050,1.3171,3.1664,0.0126,8.1309,0.062,-0.031,0.072,0.000,0.2,0.3,0.6,0.2,0.0,0.0,-791.1,950.4,0,0,0.000,0.000,48.12,
0.0100,1.3171,3.1664,0.0126,8.1309,0.086,-0.043,0.088,0.000,0.2,0.3,0.9,0.2,0.0,0.0,-791.4,950.5,-156,155,1.370,1.170,6.86,
0.0150,1.3171,3.1664,0.0126,8.1309,0.073,-0.037,0.097,0.000,0.2,0.4,0.7,0.2,0.0,0.0,-791.2,950.5,-541,600,1.190,1.600,5.08,
0.0200,1.3171,3.1664,-0.0018,8.0247,0.062,-0.031,-0.076,0.090,0.3,0.5,0.6,0.2,0.0,0.0,-791.2,950.5,-628,685,0.250,0.260,12.33,
0.0250,1.3171,3.1664,-0.0018,8.0247,0.053,-0.027,-0.180,0.143,0.3,0.5,0.5,0.1,0.0,0.0,-791.1,950.6,-581,667,0.790,0.780,8.70,
0.0300,1.3171,3.1664,-0.0018,8.0247,0.045,-0.023,-0.242,0.175,0.3,0.6,0.5,0.1,0.0,0.0,-791.1,950.6,-592,719,0.750,0.830,6.85,
0.0350,1.3171,3.1664,-0.0018,8.0247,0.038,-0.019,-0.280,0.195,0.4,0.6,0.4,0.1,0.0,0.0,-791.0,950.6,-565,797,0.860,0.720,5.07,
0.0400,1.3104,3.1022,-0.0018,8.0247,0.033,-0.016,-0.302,0.206,0.4,0.6,0.3,0.1,0.0,0.0,-786.9,931.4,-577,807,0.930,0.800,5.08,
0.0450,1.3104,3.1022,-0.0018,8.0247,0.028,-0.014,-0.316,0.213,0.4,0.7,0.3,0.1,0.0,0.0,-786.9,931.4,-572,789,0.830,0.980,6.86,
0.0500,1.3104,3.1022,-0.0018,8.0247,0.007,-0.767,-0.324,0.218,0.4,0.7,0.1,3.8,0.0,0.0,-786.7,935.2,-563,799,1.020,1.000,5.09,
0.0550,1.3104,3.1022,0.0072,8.0291,-0.011,-1.407,-0.328,0.220,0.5,0.7,-0.1,7.0,0.0,0.0,-786.6,938.4,-615,810,0.950,0.840,6.49,
0.0600,1.3104,3.1022,0.0072,8.0291,-0.026,-1.952,0.161,0.132,0.5,0.8,-0.3,9.8,0.0,0.0,-786.5,941.2,-601,849,0.890,0.580,8.59,
0.0650,1.3104,3.1022,0.0072,8.0291,-0.039,-2.414,0.455,0.079,0.5,0.8,-0.4,12.1,0.0,0.0,-786.4,943.6,-636,879,1.120,0.210,8.49,
0.0700,1.3104,3.1022,0.0072,8.0291,-0.050,-2.808,0.631,0.048,0.5,0.9,-0.5,14.0,0.0,0.0,-786.3,945.6,-650,888,1.100,0.110,5.07,
0.0750,1.3104,3.1022,0.0072,8.0291,-0.059,-3.142,0.737,0.029,0.6,0.9,-0.6,15.7,0.0,0.0,-786.2,947.3,-643,875,1.300,0.200,5.06,
0.0800,1.2263,2.7265,0.0072,8.0291,-0.067,-3.426,0.800,0.017,0.6,0.9,-0.7,17.1,0.0,0.0,-735.7,836.0,-656,877,1.660,0.450,5.07,
0.0850,1.2263,2.7265,0.0072,8.0291,-0.074,-3.667,0.838,0.010,0.6,1.0,-0.7,18.3,0.0,0.0,-735.7,837.3,-693,899,1.570,0.550,6.52,
0.0900,1.2263,2.7265,0.0494,8.0219,-0.952,-4.930,0.771,0.006,0.6,1.0,-9.5,24.7,0.0,0.0,-726.9,843.6,-764,842,1.220,0.410,6.36,
0.0950,0.8585,2.0711,0.0494,8.0219,-2.270,-6.121,0.239,0.048,0.8,1.3,-22.7,30.6,0.0,0.0,-493.2,653.2,-685,702,0.660,0.450,69.05,
0.1000,0.3282,1.4883,0.0343,8.0200,-3.524,-6.428,-0.036,0.029,0.8,1.4,-35.2,32.1,0.0,0.0,34.4,480.1,-685,702,0.660,0.450,47.93,
0.1050,-0.1638,1.1146,0.0053,8.0226,-4.103,-6.387,-0.200,0.017,0.8,1.5,-41.0,31.9,0.0,0.0,40.2,367.8,-557,651,0.070,0.340,28.72,
0.1100,-0.1638,1.1146,0.0053,8.0226,-4.596,-6.352,-0.613,-0.034,0.8,1.5,-46.0,31.8,0.0,0.0,45.1,367.7,-47,389,0.310,0.750,18.50,
0.1150,-0.1638,1.1146,0.0053,8.0226,-5.014,-6.323,-0.860,-0.065,0.8,1.6,-50.1,31.6,0.0,0.0,49.3,367.6,-51,397,0.010,0.750,19.86,
0.1200,-0.4807,0.8106,-0.0510,8.0119,-4.682,-6.130,-0.785,-0.129,0.8,1.6,-46.8,30.6,0.0,0.0,46.0,32.2,-42,397,0.030,0.750,24.18,
