t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,dt_ms
0.000,0.0760,-0.0,-1.4577,-437.3,-0.6869,5.5254,0,0,0.00,0.00,0.000,0.000,0.02
0.020,0.0760,-0.0,-1.4577,-437.3,-0.6869,5.5254,0,0,0.00,0.00,0.000,0.000,41.84
0.040,0.0760,-0.0,-1.4577,-437.3,-0.6869,5.5254,5,-6,0.00,0.00,0.270,0.470,20.08
0.060,0.0760,-0.0,-1.4577,-437.3,-0.6869,5.5254,1,-360,0.00,-2.86,0.030,0.650,20.07
0.080,0.0760,-0.0,-1.4577,-437.3,-0.6869,5.5254,0,-357,0.00,-5.71,0.200,0.760,20.08
0.100,0.0760,-0.0,-1.4577,-437.3,-0.6869,5.5254,0,-386,0.00,-5.71,0.210,0.640,20.09
0.120,0.0760,-0.0,-1.4577,-437.3,-0.6869,5.5254,0,-438,0.00,-8.57,0.210,0.250,20.07
0.140,0.0760,-0.0,-1.4577,-437.3,-0.6869,5.5254,0,-390,0.00,-11.43,0.210,0.060,20.07
0.160,0.0760,-0.0,-1.4577,-437.3,-0.6857,5.5185,0,-405,0.00,-14.29,0.210,0.110,20.06
0.180,0.0760,-0.0,-1.4577,-437.3,-0.6857,5.5185,0,-458,0.00,-17.14,0.210,0.230,20.08
0.200,0.0802,-0.0,-1.4360,-430.8,-0.6857,5.5185,0,-439,0.00,-17.14,0.210,0.540,20.07
0.220,0.0802,-0.0,-1.4360,-430.8,-0.6857,5.5185,0,-408,0.00,-22.86,0.210,0.760,20.07
0.240,0.1014,-0.0,-1.3837,-415.1,-0.6857,5.5185,0,-415,0.00,-22.86,0.210,0.710,20.08
0.260,0.1014,-0.0,-1.3837,-415.1,-0.6927,5.5173,0,-430,0.00,-25.71,0.210,0.540,20.08
0.280,0.1014,-0.0,-1.3837,-415.1,-0.6927,5.5173,0,-419,0.00,-28.57,0.220,0.000,20.09
0.300,0.1188,-0.0,-1.3037,-391.1,-0.6927,5.5173,0,-422,0.00,-31.43,0.210,0.100,20.07
0.320,0.1188,-0.0,-1.3037,-391.1,-0.6927,5.5173,0,-413,0.00,-34.29,0.210,0.290,20.07
0.340,0.1353,-0.0,-1.2168,-365.0,-0.6927,5.5173,0,-382,0.00,-34.29,0.210,0.660,20.08
0.360,0.1353,-0.0,-1.2168,-365.0,-0.6927,5.5173,0,-422,0.00,-37.14,0.210,0.780,20.08
0.380,0.1353,-0.0,-1.2168,-365.0,-0.6927,5.5173,0,-358,0.00,-40.00,0.210,0.800,20.07
0.400,0.1569,-0.0,-1.1151,-334.5,-0.6927,5.5173,0,-324,0.00,-40.00,0.200,0.730,20.06
0.420,0.1569,-0.0,-1.1151,-334.5,-0.6927,5.5173,0,-349,0.00,-45.71,0.220,0.330,20.07
0.440,0.1776,-0.0,-1.0064,-301.9,-0.6927,5.5173,0,-357,0.00,-45.71,0.210,0.010,20.07
0.460,0.1776,-0.0,-1.0064,-301.9,-0.6927,5.5173,0,-337,0.00,-48.57,0.210,0.090,20.07
0.480,0.1983,-0.0,-0.8979,0.0,-0.6927,5.5173,0,-323,0.00,-48.57,0.210,0.140,20.07
0.500,0.1983,-0.0,-0.8979,0.0,-0.6927,5.5173,0,-287,0.00,-51.43,0.200,0.460,20.06
0.520,0.1983,-0.0,-0.8979,0.0,-0.6927,5.5173,0,-58,0.00,-51.43,0.210,0.350,20.07
0.540,0.2259,-0.0,-0.7883,0.0,-0.6927,5.5173,0,-59,0.00,-51.43,0.210,0.470,20.07
0.560,0.2259,-0.0,-0.7883,0.0,-0.6927,5.5173,0,-41,0.00,-51.43,0.210,0.480,20.07
0.580,0.2373,-0.0,-0.7162,0.0,-0.6927,5.5173,0,-20,0.00,-51.43,0.210,0.510,20.07
0.600,0.2373,-0.0,-0.7162,0.0,-0.6927,5.5173,0,-15,0.00,-51.43,0.220,0.530,20.07
0.620,0.2373,-0.0,-0.7162,0.0,-0.6927,5.5173,0,-7,0.00,-51.43,0.220,0.550,20.07
0.640,0.2484,-0.0,-0.6935,0.0,-0.6927,5.5173,0,-4,0.00,-51.43,0.210,0.560,20.08
0.660,0.2484,-0.0,-0.6935,0.0,-0.6927,5.5173,0,-3,0.00,-51.43,0.210,0.560,20.06
0.680,0.2424,-0.0,-0.7014,0.0,-0.6927,5.5173,0,0,0.00,-51.43,0.210,0.560,20.07
0.700,0.2424,-0.0,-0.7014,0.0,-0.6927,5.5173,0,0,0.00,-51.43,0.210,0.560,20.08
0.720,0.2424,-0.0,-0.7014,0.0,-0.6927,5.5173,0,0,0.00,-51.43,0.210,0.570,20.10
0.740,0.2392,-0.0,-0.7300,0.0,-0.6927,5.5173,0,0,0.00,-51.43,0.210,0.580,20.07
