t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,roll_rate_dps,pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,dt_ms
0.000,0.1071,-0.1,0.1361,1.7,-0.4673,6.0548,0,0,0.00,0.00,0.000,0.000,0.00,0.00,0.0,0.0,0.1,1.7,0.01
0.020,0.1309,-0.1,0.1184,1.7,-0.4673,6.0548,0,0,0.00,0.00,0.000,0.000,0.00,0.00,0.0,0.0,0.1,1.7,20.11
0.040,0.1309,-0.1,0.1184,1.6,-0.4673,6.0544,-1,2,0.00,0.00,0.050,0.280,0.00,0.00,0.0,0.0,0.1,1.6,20.08
0.060,0.1309,-0.1,0.1184,1.6,-0.4673,6.0544,0,0,0.00,0.00,0.360,0.170,0.00,0.00,0.0,0.0,0.1,1.6,20.08
0.080,0.1309,-2.2,0.1184,1.9,-0.4603,6.0559,0,0,0.00,0.00,0.360,0.310,0.00,0.00,0.0,0.0,2.2,1.9,20.07
0.100,0.1309,-2.2,0.1184,1.9,-0.4603,6.0559,0,0,0.00,0.00,0.370,0.340,0.00,0.00,0.0,0.0,2.2,1.9,20.06
0.120,0.1309,-2.2,0.1184,1.9,-0.4603,6.0559,0,0,0.00,0.00,0.330,0.340,0.00,0.00,0.0,0.0,2.2,1.9,20.07
0.140,0.1309,-2.2,0.1184,1.9,-0.4603,6.0559,0,0,0.00,0.00,0.350,0.350,0.00,0.00,0.0,0.0,2.2,1.9,20.08
0.160,0.1309,-2.2,0.1184,1.9,-0.4603,6.0559,0,0,0.00,0.00,0.340,0.350,0.00,0.00,0.0,0.0,2.2,1.9,20.07
0.180,0.1240,-2.5,0.1174,0.8,-0.4592,6.0489,0,0,0.00,0.00,0.330,0.360,0.00,0.00,0.0,0.0,2.5,0.8,20.07
0.200,0.1240,-2.5,0.1174,0.8,-0.4592,6.0489,0,0,0.00,0.00,0.330,0.350,0.00,0.00,0.0,0.0,2.5,0.8,20.06
0.220,0.1240,-2.5,0.1174,0.8,-0.4592,6.0489,0,0,0.00,0.00,0.330,0.340,0.00,0.00,0.0,0.0,2.5,0.8,20.09
0.240,0.1240,-2.5,0.1174,0.8,-0.4592,6.0489,0,0,0.00,0.00,0.330,0.330,0.00,0.00,0.0,0.0,2.5,0.8,20.09
0.260,0.1240,-2.5,0.1174,0.8,-0.4592,6.0489,0,0,0.00,0.00,0.350,0.340,0.00,0.00,0.0,0.0,2.5,0.8,20.07
0.280,0.1240,-2.5,0.1174,0.8,-0.4592,6.0489,0,0,0.00,0.00,0.340,0.360,0.00,0.00,0.0,0.0,2.5,0.8,20.07
0.300,0.1240,-2.5,0.1174,0.8,-0.4592,6.0489,0,0,0.00,0.00,0.350,0.350,0.00,0.00,0.0,0.0,2.5,0.8,20.07
0.320,0.1240,-2.5,0.1174,0.8,-0.4592,6.0489,0,0,0.00,0.00,0.330,0.350,0.00,0.00,0.0,0.0,2.5,0.8,20.07
0.340,0.1240,-0.4,0.1174,0.7,-0.4662,6.0478,0,0,0.00,0.00,0.330,0.320,0.00,0.00,0.0,0.0,0.4,0.7,20.07
0.360,0.1240,-0.4,0.1174,0.7,-0.4662,6.0478,0,0,0.00,0.00,0.310,0.340,0.00,0.00,0.0,0.0,0.4,0.7,20.07
0.380,0.1250,1.6,0.1105,0.5,-0.4731,6.0467,0,0,0.00,0.00,0.330,0.350,0.00,0.00,0.0,0.0,-1.6,0.5,20.07
0.400,0.1250,1.6,0.1105,0.5,-0.4731,6.0467,0,0,0.00,0.00,0.330,0.340,0.00,0.00,0.0,0.0,-1.6,0.5,20.07
0.420,0.1250,1.6,0.1105,0.5,-0.4731,6.0467,0,0,0.00,0.00,0.330,0.350,0.00,0.00,0.0,0.0,-1.6,0.5,20.07
0.440,0.1250,-0.4,0.1105,0.7,-0.4662,6.0478,0,0,0.00,0.00,0.330,0.350,0.00,0.00,0.0,0.0,0.4,0.7,20.07
0.460,0.1250,-0.4,0.1105,0.7,-0.4662,6.0478,0,0,0.00,0.00,0.340,0.340,0.00,0.00,0.0,0.0,0.4,0.7,20.07
0.480,0.1250,-0.8,0.1105,-0.4,-0.4650,6.0409,0,0,0.00,0.00,0.340,0.330,0.00,0.00,0.0,0.0,0.8,-0.4,20.07
0.500,0.1250,-0.8,0.1105,-0.4,-0.4650,6.0409,0,0,0.00,0.00,0.340,0.340,0.00,0.00,0.0,0.0,0.8,-0.4,20.07
0.520,0.1319,-0.8,0.1115,-0.4,-0.4650,6.0409,0,0,0.00,0.00,0.340,0.360,0.00,0.00,0.0,0.0,0.8,-0.4,20.09
0.540,0.1319,-0.8,0.1115,-0.4,-0.4650,6.0409,0,0,0.00,0.00,0.340,0.340,0.00,0.00,0.0,0.0,0.8,-0.4,20.07
0.560,0.1319,-0.8,0.1115,-0.4,-0.4650,6.0409,0,0,0.00,0.00,0.340,0.350,0.00,0.00,0.0,0.0,0.8,-0.4,20.09
0.580,0.1319,-0.8,0.1115,-0.4,-0.4650,6.0409,0,0,0.00,0.00,0.350,0.330,0.00,0.00,0.0,0.0,0.8,-0.4,20.08
0.600,0.1319,-0.8,0.1115,-0.4,-0.4650,6.0409,0,0,0.00,0.00,0.340,0.330,0.00,0.00,0.0,0.0,0.8,-0.4,20.07
0.620,0.1319,-0.8,0.1115,-0.4,-0.4650,6.0409,0,0,0.00,0.00,0.340,0.350,0.00,0.00,0.0,0.0,0.8,-0.4,20.07
0.640,0.1319,-0.9,0.1115,-0.4,-0.4647,6.0409,0,0,0.00,0.00,0.350,0.340,0.00,0.00,0.0,0.0,0.9,-0.4,20.07
0.660,0.1319,-0.9,0.1115,-0.4,-0.4647,6.0409,0,0,0.00,0.00,0.340,0.330,0.00,0.00,0.0,0.0,0.9,-0.4,20.08
0.680,0.1319,-4.7,0.1115,1.0,-0.4519,6.0500,0,0,0.00,0.00,0.350,0.350,0.00,0.00,0.0,0.0,4.7,1.0,20.08
0.700,0.1319,-4.7,0.1115,1.0,-0.4519,6.0500,0,0,0.00,0.00,0.340,0.330,0.00,0.00,0.0,0.0,4.7,1.0,20.08
0.720,0.1319,-4.7,0.1115,1.0,-0.4519,6.0500,0,0,0.00,0.00,0.330,0.340,0.00,0.00,0.0,0.0,4.7,1.0,20.07
0.740,0.1319,-4.8,0.1115,1.0,-0.4515,6.0500,0,0,0.00,0.00,0.310,0.330,0.00,0.00,0.0,0.0,4.8,1.0,20.08
0.760,0.1319,-4.8,0.1115,1.0,-0.4515,6.0500,-1,0,0.00,0.00,0.320,0.350,0.00,0.00,0.0,0.0,4.8,1.0,20.09
0.780,0.1319,-4.8,0.1115,1.0,-0.4515,6.0500,0,0,0.00,0.00,0.310,0.360,0.00,0.00,0.0,0.0,4.8,1.0,20.07
0.800,0.1319,-4.8,0.1115,1.0,-0.4515,6.0500,0,0,0.00,0.00,0.300,0.340,0.00,0.00,0.0,0.0,4.8,1.0,20.07
0.820,0.1319,-4.8,0.1115,1.0,-0.4515,6.0500,0,0,0.00,0.00,0.300,0.350,0.00,0.00,0.0,0.0,4.8,1.0,20.07
0.840,0.1319,-2.7,0.1115,0.8,-0.4585,6.0489,0,0,0.00,0.00,0.290,0.350,0.00,0.00,0.0,0.0,2.7,0.8,20.07
0.860,0.1319,-2.7,0.1115,0.8,-0.4585,6.0489,0,0,0.00,0.00,0.290,0.330,0.00,0.00,0.0,0.0,2.7,0.8,20.11
0.880,0.1309,-2.7,0.1184,0.8,-0.4585,6.0489,0,0,0.00,0.00,0.290,0.350,0.00,0.00,0.0,0.0,2.7,0.8,20.07
0.900,0.1309,-2.7,0.1184,0.8,-0.4585,6.0489,0,0,0.00,0.00,0.280,0.340,0.00,0.00,0.0,0.0,2.7,0.8,20.07
0.920,0.1309,-2.7,0.1184,0.8,-0.4585,6.0489,0,0,0.00,0.00,0.270,0.350,0.00,0.00,0.0,0.0,2.7,0.8,20.07
0.940,0.1309,-0.3,0.1184,1.7,-0.4665,6.0547,-1,0,0.00,0.00,0.280,0.350,0.00,0.00,0.0,0.0,0.3,1.7,20.07
0.960,0.1309,-0.3,0.1184,1.7,-0.4665,6.0547,-1,0,0.00,0.00,0.280,0.340,0.00,0.00,0.0,0.0,0.3,1.7,20.08
0.980,0.1309,-0.2,0.1184,1.7,-0.4669,6.0547,0,0,0.00,0.00,0.270,0.350,0.00,0.00,0.0,0.0,0.2,1.7,20.07
1.000,0.1309,-0.2,0.1184,1.7,-0.4669,6.0547,0,0,0.00,0.00,0.280,0.360,0.00,0.00,0.0,0.0,0.2,1.7,20.08
1.020,0.1378,-0.2,0.1194,1.7,-0.4669,6.0547,0,0,0.00,0.00,0.280,0.350,0.00,0.00,0.0,0.0,0.2,1.7,20.07
