t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,i_roll_erpm,i_pitch_erpm,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,0.7700,-0.1941,0.2559,-2.3233,0.101,0.050,-0.134,-0.045,0.0,0.0,1.0,-0.3,0.0,0.0,-463.0,-0.3,0,0,0.000,0.000,0.01,
0.0050,1.5565,-0.2025,0.2559,-2.3233,0.052,0.060,-0.215,-0.072,0.2,0.0,0.5,-0.3,0.0,0.0,-934.7,-0.3,0,0,0.000,0.000,47.90,
0.0100,1.5565,-0.2025,0.2559,-2.3233,0.011,0.067,-0.263,-0.088,0.3,0.0,0.1,-0.3,0.0,0.0,-934.3,-0.3,-179,0,0.530,0.350,8.46,
0.0150,1.5565,-0.2025,0.2559,-2.3233,-0.025,0.074,-0.292,-0.097,0.3,0.0,-0.2,-0.4,0.0,0.0,-934.0,-0.4,-364,0,0.700,0.210,5.09,
0.0200,1.5565,-0.2025,0.2559,-2.3233,-0.054,0.080,-0.310,-0.103,0.3,0.0,-0.5,-0.4,0.0,0.0,-933.7,-0.4,-779,0,0.110,0.380,5.67,
0.0250,1.5434,-0.1978,0.2559,-2.3233,-0.080,0.085,-0.320,-0.107,0.3,0.0,-0.8,-0.4,0.0,0.0,-925.6,-0.4,-779,0,0.310,0.410,5.11,
0.0300,1.5434,-0.1978,0.2434,-2.3303,-0.101,0.055,-0.326,-0.109,0.4,0.0,-1.0,-0.3,0.0,0.0,-925.4,-0.3,-569,0,0.570,0.390,6.38,
0.0350,1.5434,-0.1978,0.2434,-2.3303,-0.120,0.030,-0.330,-0.110,0.4,0.0,-1.2,-0.2,0.0,0.0,-925.3,-0.2,-669,0,1.270,0.380,9.83,
0.0400,1.5434,-0.1978,0.2434,-2.3303,-0.135,0.009,-0.332,-0.111,0.4,0.0,-1.4,-0.0,0.0,0.0,-925.1,-0.0,-659,-2,1.410,0.380,5.09,
0.0450,1.5434,-0.1978,0.2434,-2.3303,-0.149,-0.009,-0.334,-0.111,0.5,0.0,-1.5,0.0,0.0,0.0,-925.0,0.0,-675,0,2.140,0.380,7.82,
0.0500,1.5434,-0.1978,0.2434,-2.3303,-0.160,-0.025,-0.334,-0.111,0.5,0.0,-1.6,0.1,0.0,0.0,-924.9,0.1,-710,0,2.130,0.380,5.07,
0.0550,1.5434,-0.1978,0.2434,-2.3303,-0.170,-0.038,-0.335,-0.112,0.5,0.0,-1.7,0.2,0.0,0.0,-924.9,0.2,-689,0,2.310,0.360,5.09,
0.0600,1.5434,-0.1978,0.2434,-2.3303,-0.178,-0.049,-0.335,-0.112,0.5,0.0,-1.8,0.2,0.0,0.0,-924.8,0.2,-713,0,2.790,0.380,5.66,
0.0650,1.4626,-0.2355,0.2434,-2.3303,-0.185,-0.058,-0.335,-0.112,0.6,0.0,-1.8,0.3,0.0,0.0,-876.3,0.3,-743,0,2.460,0.400,5.10,
0.0700,1.4626,-0.2355,0.2434,-2.3303,-0.190,-0.066,-0.336,-0.112,0.6,0.0,-1.9,0.3,0.0,0.0,-876.2,0.3,-737,0,2.600,0.390,5.44,
0.0750,1.4626,-0.2355,0.2307,-2.3373,-1.219,-0.342,-0.157,-0.157,0.6,0.0,-12.2,1.7,0.0,0.0,-866.0,1.7,-766,0,2.310,0.370,5.09,
