t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms
0.0000,-1.2102,0.3235,0.2345,8.7351,0.000,0.000,0.045,-0.045,0.0,-0.0,3.1,-1.8,723.0,-1.8,0,0,0.000,0.000,0.02
0.0050,-1.2102,0.3235,0.2345,8.7351,0.000,0.000,0.072,-0.072,0.0,-0.0,5.0,-2.9,721.1,-2.9,0,0,0.000,0.000,43.98
0.0100,-1.2102,0.3235,0.2345,8.7351,0.000,0.000,0.088,-0.088,0.0,-0.0,6.1,-3.5,720.0,-3.5,158,3,0.890,0.370,7.37
0.0150,-1.2102,0.3235,0.2345,8.7351,0.000,0.000,0.097,-0.097,0.0,-0.0,6.8,-3.9,719.3,-3.9,515,0,0.410,0.360,5.08
0.0200,-1.2102,0.3235,0.2345,8.7351,0.000,0.000,0.103,-0.103,0.0,-0.0,7.2,-4.1,718.9,-4.1,650,-1,0.440,0.380,6.37
0.0250,-1.2102,0.3235,0.2345,8.7351,0.000,0.000,0.107,-0.107,0.0,-0.0,7.5,-4.3,718.7,-4.3,571,0,0.020,0.380,5.06
0.0300,-1.2102,0.3235,0.2345,8.7351,0.000,0.000,0.064,-0.064,0.0,-0.0,4.5,-2.6,721.7,-2.6,525,0,0.290,0.360,5.08
0.0350,-1.2102,0.3235,0.2345,8.7351,0.000,0.000,0.038,-0.038,0.0,-0.0,2.7,-1.5,723.5,-1.5,531,0,0.640,0.350,11.76
0.0400,-1.2102,0.3235,0.2345,8.7351,0.000,0.000,0.023,-0.023,0.0,-0.0,1.6,-0.9,724.5,-0.9,522,0,1.000,0.360,5.06
0.0450,-1.2102,0.3235,0.2345,8.7351,0.000,0.000,0.014,-0.014,0.0,-0.0,1.0,-0.6,725.2,-0.6,514,0,1.340,0.330,5.06
