t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,-0.3037,-1.8824,-1.9579,5.9309,0.000,0.000,0.034,0.034,0.0,0.0,2.5,5.0,119.0,-89.1,0,0,0.000,0.000,0.01,
0.0050,-0.3197,-1.9700,-1.9579,5.9309,0.000,0.000,0.057,0.057,0.0,0.0,6.0,12.1,121.8,-86.4,0,0,0.000,0.000,37.51,
0.0100,-0.3205,-1.9743,-1.9579,5.9309,0.000,0.000,0.074,0.074,0.0,0.0,9.7,19.5,118.5,-79.2,18,-10,0.050,0.470,5.22,
0.0150,-0.3206,-1.9746,-1.5365,5.3937,0.000,0.000,0.085,0.085,0.0,0.0,13.2,26.4,115.0,-72.3,75,-35,0.020,0.480,6.50,
0.0200,-0.3206,-1.9746,-1.5365,5.3937,0.000,0.000,0.060,0.060,0.0,0.0,13.7,27.4,114.5,-71.3,77,-20,0.000,0.530,8.06,
0.0250,-0.3206,-1.9746,-1.5365,5.3937,0.000,0.000,0.042,0.042,0.0,0.0,12.7,25.4,115.5,-73.3,65,-10,0.070,0.570,8.38,
0.0300,-0.3206,-1.9746,-1.5365,5.3937,0.000,0.000,0.029,0.029,0.0,0.0,11.1,22.2,117.1,-76.5,69,-14,0.110,0.580,5.08,
0.0350,-0.3206,-1.9746,-1.5365,5.3937,0.000,0.000,0.020,0.020,0.0,0.0,9.3,18.6,118.9,-80.1,79,-20,0.120,0.590,5.22,
0.0400,-0.3272,-1.9754,-1.5365,5.3937,0.000,0.000,0.014,0.014,0.0,0.0,7.6,15.2,123.3,-83.6,87,-24,0.120,0.590,5.07,
0.0450,-0.3275,-1.9755,-1.5365,5.3937,0.000,0.000,0.010,0.010,0.0,0.0,6.1,12.1,124.9,-86.7,95,-29,0.130,0.610,6.06,
0.0500,-0.3275,-1.9755,-1.5365,5.3937,0.000,0.000,0.007,0.007,0.0,0.0,4.8,9.5,126.2,-89.2,95,-31,0.160,0.610,5.06,
0.0550,-0.3275,-1.9755,-1.5365,5.3937,0.000,0.000,0.005,0.005,0.0,0.0,3.7,7.4,127.3,-91.4,95,-41,0.200,0.630,7.44,
0.0600,-0.3275,-1.9755,-1.5365,5.3937,0.000,0.000,0.003,0.003,0.0,0.0,2.8,5.7,128.2,-93.1,91,-51,0.270,0.610,9.77,
