t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,0.5888,-2.9496,-0.0025,8.1320,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-235.5,-295.0,0,0,0.000,0.000,0.02,
0.0050,0.6027,-3.0787,-0.0025,8.1320,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-241.1,-307.9,0,0,0.000,0.000,43.01,
0.0100,0.6034,-3.0852,-0.0025,8.1320,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-241.4,-308.5,-50,-47,0.170,0.890,6.53,
0.0150,0.6034,-3.0855,-0.0025,8.1320,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-241.4,-308.5,-139,-172,0.010,0.840,5.08,
0.0200,0.6034,-3.0855,-0.7008,6.5066,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-241.4,-308.5,-155,-241,0.160,0.530,12.28,
0.0250,0.6034,-3.0855,-0.7008,6.5066,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-241.4,-308.5,-142,-223,0.070,0.610,5.08,
0.0300,0.6034,-3.0855,-0.7008,6.5066,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-241.4,-308.5,-143,-221,0.040,0.630,5.07,
0.0350,0.6034,-3.0855,-0.7008,6.5066,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-241.4,-308.5,-176,-264,0.080,0.500,9.72,
0.0400,0.6034,-3.0855,-0.7008,6.5066,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-241.4,-308.5,-198,-271,0.150,0.350,5.07,
0.0450,0.6012,-3.0657,-0.7008,6.5066,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-240.5,-306.6,-210,-264,0.190,0.320,5.07,
0.0500,0.6011,-3.0647,-0.7008,6.5066,-0.067,0.638,0.000,0.000,-0.7,15.9,0.0,0.0,-239.8,-290.5,-189,-255,0.180,0.300,7.85,
0.0550,0.6011,-3.0646,-0.7008,6.5066,-0.114,1.084,0.000,0.000,-1.1,27.1,0.0,0.0,-239.3,-279.4,-161,-289,0.000,0.170,13.45,
0.0600,0.6011,-3.0646,-0.7008,6.5066,-0.147,1.397,0.000,0.000,-1.5,34.9,0.0,0.0,-239.0,-271.5,-161,-310,0.090,0.110,5.98,
0.0650,0.6011,-3.0646,-0.7008,6.5066,-0.170,1.616,0.000,0.000,-1.7,40.4,0.0,0.0,-238.7,-266.1,-157,-296,0.200,0.200,5.15,
0.0700,0.6011,-3.0646,-0.7008,6.5066,-0.186,1.769,0.000,0.000,-1.9,44.2,0.0,0.0,-238.6,-262.2,-157,-247,0.320,0.160,9.58,
0.0750,0.5728,-2.9339,-0.7008,6.5066,-0.197,1.876,0.000,0.000,-2.0,46.9,0.0,0.0,-227.2,-246.5,-165,-241,0.410,0.130,5.09,
0.0800,0.5714,-2.9274,-0.7008,6.5066,-0.541,2.488,0.000,0.000,-5.4,62.2,0.0,0.0,-223.1,-230.5,-176,-246,0.440,0.150,8.92,
0.0850,0.5713,-2.9271,-0.7008,6.5066,-0.782,2.917,0.000,0.000,-7.8,72.9,0.0,0.0,-220.7,-219.8,-172,-261,0.490,0.240,6.67,
0.0900,0.5713,-2.9271,-0.7008,6.5066,-0.950,3.217,0.000,0.000,-9.5,80.4,0.0,0.0,-219.0,-212.3,-181,-249,0.620,0.320,10.07,
0.0950,0.5713,-2.9271,-0.7008,6.5066,-1.068,3.427,0.000,0.000,-10.7,85.7,0.0,0.0,-217.9,-207.0,-194,-231,0.630,0.260,5.07,
0.1000,0.5713,-2.9271,-0.7008,6.5066,-1.150,3.574,0.000,0.000,-11.5,89.3,0.0,0.0,-217.0,-203.4,-204,-215,0.620,0.230,5.07,
0.1050,0.5713,-2.9271,-0.7008,6.5066,-1.208,3.677,0.000,0.000,-12.1,91.9,0.0,0.0,-216.5,-200.8,-197,-188,0.690,0.140,9.31,
0.1100,0.4848,-2.7563,-0.7008,6.5066,-1.249,3.749,0.000,0.000,-12.5,93.7,0.0,0.0,-181.4,-181.9,-192,-175,0.820,0.030,5.16,
0.1150,0.4805,-2.7478,-0.7008,6.5066,-1.680,3.195,0.000,0.000,-16.8,79.9,0.0,0.0,-175.4,-194.9,-190,-177,0.900,0.020,8.74,
0.1200,0.4803,-2.7473,-0.6993,6.5071,-1.982,2.807,0.000,0.000,-19.8,70.2,0.0,0.0,-172.3,-204.6,-166,-194,0.920,0.000,8.43,
0.1250,0.4803,-2.7473,-0.6993,6.5071,-2.193,2.536,0.000,0.000,-21.9,63.4,0.0,0.0,-170.2,-211.3,-176,-204,1.000,0.060,9.37,
0.1300,0.4803,-2.7473,-0.6993,6.5071,-2.341,2.346,0.000,0.000,-23.4,58.6,0.0,0.0,-168.7,-216.1,-187,-209,0.980,0.130,5.07,
