t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,i_roll_erpm,i_pitch_erpm,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,1.2225,1.4987,0.6044,0.7796,-0.134,-0.739,1.253,2.328,0.0,0.0,-1.3,-7.4,0.0,0.0,-732.1,442.2,0,0,0.000,0.000,0.01,
0.0050,1.2225,1.4987,0.6044,0.7796,0.171,-0.661,2.005,3.724,0.2,0.1,1.7,-6.6,0.0,184.3,-735.4,627.5,9,0,0.000,0.000,42.18,
0.0100,1.2225,1.4987,0.6044,0.7796,0.431,-0.596,2.457,4.562,0.2,0.1,4.3,-6.0,115.1,274.8,-853.1,718.6,-21,31,0.860,0.400,5.07,
0.0150,1.2225,1.4987,0.6044,0.7796,0.652,-0.540,2.727,5.065,0.2,0.2,6.5,-5.4,145.4,347.2,-885.6,791.6,-334,228,2.140,1.290,5.07,
0.0200,1.3453,1.4706,0.6044,0.7796,0.839,-0.493,2.890,5.367,0.2,0.2,8.4,-4.9,168.2,401.5,-984.0,838.0,-614,492,0.720,0.350,5.06,
0.0250,1.3453,1.4706,0.6044,0.7796,0.948,-0.704,2.987,5.548,0.2,0.2,9.5,-7.0,184.5,440.6,-1001.5,875.0,-522,528,1.150,0.190,8.01,
0.0300,1.3453,1.4706,0.6502,0.7119,1.041,-0.884,3.046,5.656,0.3,0.2,10.4,-8.8,196.0,468.0,-1013.9,900.6,-606,561,2.360,0.850,6.58,
0.0350,1.3453,1.4706,0.6502,0.7119,1.120,-1.037,1.962,2.678,0.3,0.2,11.2,-10.4,172.5,377.2,-991.2,808.3,-707,691,1.690,0.810,9.64,
0.0400,1.3453,1.4706,0.6502,0.7119,1.187,-1.166,1.311,0.890,0.3,0.3,11.9,-11.7,140.2,258.4,-959.7,688.2,-789,741,1.790,1.030,9.31,
0.0450,1.3453,1.4706,0.6502,0.7119,1.244,-1.277,0.921,-0.182,0.4,0.3,12.4,-12.8,109.9,148.5,-929.9,577.2,-779,739,1.180,0.880,5.00,
0.0500,1.3453,1.4706,0.6502,0.7119,1.292,-1.371,0.687,-0.825,0.4,0.3,12.9,-13.7,0.0,0.0,-820.5,427.8,-775,621,1.270,0.930,5.66,
0.0550,1.3814,1.2146,0.6502,0.7119,1.333,-1.450,0.546,-1.211,0.4,0.3,13.3,-14.5,0.0,0.0,-842.6,350.2,-782,518,0.960,1.150,5.08,
0.0600,1.3814,1.2146,0.6502,0.7119,0.630,-3.348,0.462,-1.443,0.4,0.3,6.3,-33.5,0.0,0.0,-835.6,331.2,-684,416,0.920,1.040,6.30,
0.0650,1.3814,1.2146,0.6502,0.7119,0.032,-4.961,0.412,-1.582,0.5,0.3,0.3,-49.6,0.0,0.0,-829.6,315.1,-708,377,1.570,0.980,5.06,
0.0700,1.3814,1.2146,0.6928,0.6000,-0.477,-6.332,0.381,-1.665,0.5,0.4,-4.8,-63.3,0.0,0.0,-824.6,301.4,-758,354,1.130,0.940,5.06,
0.0750,1.3814,1.2146,0.6928,0.6000,-0.909,-7.497,0.363,-2.297,0.5,0.4,-9.1,-75.0,0.0,-151.4,-820.3,138.3,-745,350,1.510,0.830,8.97,
