t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,0.5666,2.6046,-0.1938,6.4972,0.017,0.000,0.045,0.000,0.2,0.0,0.0,0.0,-340.1,1562.8,0,0,0.000,0.000,0.01,
0.0050,0.5666,2.6046,-0.1938,6.4972,-0.003,0.000,0.072,0.000,-0.0,0.0,0.0,0.0,-339.9,1562.8,0,0,0.000,0.000,44.58,
0.0100,0.5666,2.6046,-0.1938,6.4972,-0.019,0.000,0.088,0.000,-0.2,0.0,0.0,0.0,-339.8,1562.8,-109,164,0.440,1.680,6.59,
0.0150,0.5673,2.5977,-0.1938,6.4972,-0.033,0.000,0.097,0.000,-0.3,0.0,0.0,0.0,-340.1,1558.6,-213,760,0.220,3.830,5.08,
0.0200,0.5673,2.5977,-0.1938,6.4972,-0.045,0.000,0.103,0.000,-0.4,0.0,0.0,0.0,-339.9,1558.6,-258,1526,0.130,0.050,6.47,
0.0250,0.5673,2.5977,-0.1938,6.4972,-0.055,0.000,0.107,0.000,-0.5,0.0,0.0,0.0,-339.8,1558.6,-233,1409,0.320,0.560,5.08,
0.0300,0.5673,2.5977,-0.1938,6.4972,-0.063,0.000,0.064,0.000,-0.6,0.0,0.0,0.0,-339.7,1558.6,-259,1203,0.470,0.100,10.99,
0.0350,0.5673,2.5977,-0.1938,6.4972,-0.071,0.000,0.038,0.000,-0.7,0.0,0.0,0.0,-339.7,1558.6,-281,1305,0.520,0.240,8.02,
0.0400,0.5673,2.5977,-0.1938,6.4972,-0.077,0.000,0.023,0.000,-0.8,0.0,0.0,0.0,-339.6,1558.6,-266,1337,0.630,0.390,5.07,
0.0450,0.5673,2.5977,-0.1938,6.4972,-0.082,0.000,0.014,0.000,-0.8,0.0,0.0,0.0,-339.6,1558.6,-239,1380,0.750,0.530,5.07,
0.0500,0.5673,2.5977,-0.1938,6.4972,-0.087,0.000,0.008,0.000,-0.9,0.0,0.0,0.0,-339.5,1558.6,-222,1391,0.870,0.680,5.07,
0.0550,0.5681,2.5908,-0.1938,6.4972,-0.090,0.000,0.005,0.000,-0.9,0.0,0.0,0.0,-340.0,1554.5,-220,1375,0.970,0.730,5.07,
0.0600,0.5681,2.5908,-0.1938,6.4972,-0.161,-0.101,0.003,0.000,-1.6,-2.5,0.0,0.0,-339.3,1551.9,-230,1410,1.060,0.520,6.78,
0.0650,0.5681,2.5908,-0.1878,6.4936,-0.221,-0.186,0.002,0.000,-2.2,-4.7,0.0,0.0,-338.7,1549.8,-238,1450,1.090,0.070,5.99,
0.0700,0.5681,2.5908,-0.1878,6.4936,-0.271,-0.259,0.001,0.000,-2.7,-6.5,0.0,0.0,-338.2,1548.0,-228,1430,1.210,0.120,8.85,
0.0750,0.5681,2.5908,-0.1878,6.4936,-0.315,-0.321,0.001,0.000,-3.1,-8.0,0.0,0.0,-337.7,1546.4,-248,1460,1.300,0.590,8.04,
0.0800,0.5681,2.5908,-0.1878,6.4936,-0.351,-0.374,0.000,0.000,-3.5,-9.3,0.0,0.0,-337.4,1545.1,-254,1478,1.260,0.750,5.07,
0.0850,0.5681,2.5908,-0.1878,6.4936,-0.383,-0.418,0.000,0.000,-3.8,-10.5,0.0,0.0,-337.1,1544.0,-246,1479,1.280,0.730,5.07,
0.0900,0.5681,2.5908,-0.1878,6.4936,-0.409,-0.456,0.000,0.000,-4.1,-11.4,0.0,0.0,-336.8,1543.1,-242,1463,1.400,0.660,5.07,
0.0950,0.5191,2.5287,-0.1878,6.4936,-0.432,-0.488,0.000,0.000,-4.3,-12.2,0.0,0.0,-307.2,1505.0,-249,1463,1.360,0.440,5.08,
0.1000,0.5191,2.5287,-0.1878,6.4936,-0.753,-0.818,0.000,0.000,-7.5,-20.5,0.0,0.0,-304.0,1496.8,-265,1492,1.290,0.100,6.85,
0.1050,0.5191,2.5287,-0.1878,6.4936,-1.026,-1.098,0.000,0.000,-10.3,-27.5,0.0,0.0,-301.2,1489.8,-273,1488,1.110,0.180,5.06,
0.1100,0.5191,2.5287,-0.1913,6.4876,-1.258,-1.336,0.000,0.000,-12.6,-33.4,0.0,0.0,-298.9,1483.8,-280,1455,0.970,0.620,8.84,
0.1150,0.5191,2.5287,-0.1913,6.4876,-1.456,-1.539,0.000,0.000,-14.6,-38.5,0.0,0.0,-296.9,1478.7,-284,1460,0.810,0.950,5.07,
0.1200,0.5191,2.5287,-0.1913,6.4876,-1.623,-1.711,0.000,0.000,-16.2,-42.8,0.0,0.0,-295.2,1474.4,-271,1455,0.760,0.870,8.51,
0.1250,0.5191,2.5287,-0.1913,6.4876,-1.766,-1.857,0.000,0.000,-17.7,-46.4,0.0,0.0,-293.8,1470.8,-269,1452,0.720,0.560,5.07,
0.1300,0.5191,2.5287,-0.1913,6.4876,-1.887,-1.981,0.000,0.000,-18.9,-49.5,0.0,0.0,-292.6,1467.7,-270,1449,0.670,0.280,5.07,
0.1350,0.3665,2.3339,-0.1913,6.4876,-1.990,-2.087,0.000,0.000,-19.9,-52.2,0.0,0.0,19.9,1348.2,-279,1441,0.620,0.220,5.08,
0.1400,0.3665,2.3339,-0.1913,6.4876,-2.078,-2.177,0.000,0.000,-20.8,-54.4,0.0,0.0,20.8,1345.9,-302,1439,0.420,0.510,6.27,
0.1450,0.3665,2.3339,-0.1878,6.4936,-2.320,-2.941,0.000,0.000,-23.2,-73.5,0.0,0.0,23.2,1326.8,-285,1431,0.070,0.560,5.06,
0.1500,0.3665,2.3339,-0.1878,6.4936,-2.526,-3.591,0.000,0.000,-25.3,-89.8,0.0,0.0,25.3,1310.6,-69,1313,0.010,1.110,13.21,
0.1550,0.3665,2.3339,-0.1878,6.4936,-2.701,-4.144,0.000,0.000,-27.0,-103.6,0.0,0.0,27.0,1296.8,-111,1350,0.070,0.850,10.09,
0.1600,0.3665,2.3339,-0.1878,6.4936,-2.850,-4.613,0.000,0.000,-28.5,-115.3,0.0,0.0,28.5,1285.0,-113,1338,0.200,0.360,5.01,
0.1650,0.3665,2.3339,-0.1878,6.4936,-2.976,-5.012,0.000,0.000,-29.8,-125.3,0.0,0.0,29.8,1275.1,-109,1297,0.270,0.450,5.04,
0.1700,0.1687,1.8732,-0.1878,6.4936,-3.084,-5.352,0.000,0.000,-30.8,-133.8,0.0,0.0,30.8,990.1,-100,1280,0.300,0.760,5.08,
0.1750,0.1687,1.8732,-0.1878,6.4936,-3.175,-5.640,0.000,0.000,-31.8,-141.0,0.0,0.0,31.8,982.9,-78,1303,0.300,0.920,6.67,
0.1800,0.1687,1.8732,-0.1878,6.4936,-3.051,-6.791,0.000,0.000,-30.5,-169.8,0.0,0.0,30.5,954.1,-63,1276,0.300,0.590,5.08,
0.1850,0.1687,1.8732,-0.1878,6.4936,-2.946,-7.770,0.000,0.000,-29.5,-194.3,0.0,0.0,29.5,929.7,-31,1001,0.250,0.970,12.25,
0.1900,0.1687,1.8732,-0.1878,6.4936,-2.857,-8.602,0.000,0.000,-28.6,-215.1,0.0,0.0,28.6,908.9,-19,1045,0.220,0.630,10.34,
0.1950,0.1687,1.8732,-0.1878,6.4936,-2.781,-9.309,0.000,0.000,-27.8,-232.7,0.0,0.0,27.8,891.2,-16,1031,0.210,0.090,5.63,
0.2000,0.1687,1.8732,-0.1878,6.4936,-2.716,-9.911,0.000,0.000,-27.2,-247.8,0.0,0.0,27.2,876.2,-13,995,0.250,0.000,5.23,
0.2050,0.0656,1.1492,-0.1878,6.4936,-2.661,-10.421,0.000,0.000,-26.6,-260.5,0.0,0.0,26.6,429.0,-9,956,0.260,0.010,5.08,
0.2100,0.0656,1.1492,-0.1878,6.4936,-2.615,-10.856,0.000,0.000,-26.1,-271.4,0.0,0.0,26.1,418.1,-3,909,0.230,0.260,6.97,
0.2150,0.0656,1.1492,-0.1878,6.4936,-2.357,-11.426,0.000,0.000,-23.6,-285.7,0.0,0.0,23.6,403.9,-2,887,0.250,0.030,5.08,
0.2200,0.0656,1.1492,-0.1878,6.4936,-2.137,-11.911,0.000,0.000,-21.4,-297.8,0.0,0.0,21.4,391.7,1,497,0.240,0.190,10.51,
0.2250,0.0656,1.1492,-0.1878,6.4936,-1.951,-12.324,0.000,0.000,-19.5,-308.1,0.0,0.0,19.5,381.4,0,508,0.260,0.690,9.18,
0.2300,0.0656,1.1492,-0.1878,6.4936,-1.793,-12.674,0.000,0.000,-17.9,-316.8,0.0,0.0,17.9,372.7,0,528,0.250,0.590,5.08,
0.2350,0.0656,1.1492,-0.1878,6.4936,-1.658,-12.972,0.000,0.000,-16.6,-324.3,0.0,0.0,16.6,365.2,1,507,0.260,0.600,5.07,
0.2400,0.0656,1.1492,-0.1878,6.4936,-1.544,-13.225,0.000,0.000,-15.4,-330.6,0.0,0.0,15.4,358.9,0,461,0.260,0.700,5.08,
0.2450,0.0687,0.4803,-0.1878,6.4936,-1.446,-13.440,0.000,0.000,-14.5,-336.0,0.0,0.0,14.5,-336.0,0,434,0.260,0.760,5.08,
0.2500,0.0687,0.4803,-0.1878,6.4936,-0.944,-12.851,0.000,0.000,-9.4,-321.3,0.0,0.0,9.4,-321.3,1,438,0.020,0.680,6.70,
0.2550,0.0687,0.4803,-0.1974,6.4912,-0.517,-12.350,0.000,0.000,-5.2,-308.8,0.0,0.0,5.2,-308.8,0,322,0.260,0.720,5.28,
0.2600,0.0687,0.4803,-0.1974,6.4912,-0.154,-11.924,-0.045,0.045,-1.5,-298.1,0.0,0.0,1.5,-298.1,0,-173,0.140,0.050,9.52,
0.2650,0.0687,0.4803,-0.1974,6.4912,0.154,-11.563,-0.072,0.072,1.5,-289.1,0.0,0.0,-1.5,-289.1,0,-63,0.250,0.260,9.15,
0.2700,0.0687,0.4803,-0.1974,6.4912,0.417,-11.255,-0.088,0.088,4.2,-281.4,0.0,0.0,-4.2,-281.4,0,-38,0.250,0.070,5.06,
0.2750,0.0687,0.4803,-0.1974,6.4912,0.639,-10.994,-0.097,0.097,6.4,-274.8,0.0,0.0,-6.4,-274.8,0,-50,0.260,0.040,5.06,
0.2800,0.1730,0.0843,-0.1974,6.4912,0.829,-10.771,-0.103,0.103,8.3,-269.3,0.0,0.0,-8.3,-269.3,-1,-79,0.230,0.050,5.06,
0.2850,0.1730,0.0843,-0.1974,6.4912,0.990,-10.582,-0.107,0.107,9.9,-264.6,0.0,0.0,-9.9,-264.6,-1,-109,0.240,0.090,5.06,
0.2900,0.1730,0.0843,-0.1974,6.4912,1.227,-9.448,-0.109,0.109,12.3,-236.2,0.0,0.0,-12.3,-236.2,0,-119,0.230,0.100,5.06,
0.2950,0.1730,0.0843,-0.1974,6.4912,1.429,-8.484,-0.110,0.110,14.3,-212.1,0.0,0.0,-14.3,-212.1,-1,-137,0.220,0.110,6.48,
0.3000,0.1730,0.0843,-0.1974,6.4912,1.601,-7.665,0.203,-0.024,16.0,-191.6,0.0,0.0,-16.0,-191.6,-3,-161,0.210,0.180,10.03,
