t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,-0.4090,-0.4160,-1.5938,4.8671,-0.017,0.000,0.000,0.000,-0.2,-0.0,0.0,0.0,0.2,0.0,0,0,0.000,0.000,0.01,
0.0050,-0.4090,-0.4160,-1.5938,4.8671,-0.014,0.017,0.000,0.000,-0.1,-0.3,0.0,0.0,0.1,-0.3,0,0,0.000,0.000,42.31,
0.0100,-0.4090,-0.4160,-1.5938,4.8671,-0.012,0.031,0.000,0.000,-0.1,-0.6,0.0,0.0,0.1,-0.6,0,0,0.140,0.210,8.10,
0.0150,-0.3892,-0.4062,-1.5938,4.8671,-0.010,0.043,0.000,0.000,-0.1,-0.9,0.0,0.0,0.1,-0.9,0,0,0.140,0.240,5.08,
0.0200,-0.3892,-0.4062,-1.5938,4.8671,-0.009,0.037,0.000,0.000,-0.1,-0.7,0.0,0.0,0.1,-0.7,0,0,0.140,0.240,7.85,
0.0250,-0.3892,-0.4062,-1.5938,4.8671,-0.007,0.031,0.000,0.000,-0.1,-0.6,0.0,0.0,0.1,-0.6,0,0,0.140,0.240,7.49,
0.0300,-0.3892,-0.4062,-1.5938,4.8671,-0.006,0.027,0.000,0.045,-0.1,-0.5,0.0,0.0,0.1,-0.5,0,0,0.140,0.240,8.96,
0.0350,-0.3892,-0.4062,-1.5938,4.8671,-0.005,0.023,0.000,0.072,-0.1,-0.5,0.0,0.0,0.1,-0.5,0,0,0.140,0.240,8.68,
0.0400,-0.3892,-0.4062,-1.5938,4.8671,-0.005,0.019,0.000,0.088,-0.0,-0.4,0.0,0.0,0.0,-0.4,0,0,0.140,0.250,5.08,
0.0450,-0.3892,-0.4062,-1.5938,4.8671,-0.004,0.016,0.000,0.097,-0.0,-0.3,0.0,0.0,0.0,-0.3,0,0,0.140,0.250,5.19,
0.0500,-0.3882,-0.4131,-1.5938,4.8671,-0.003,0.014,0.000,0.103,-0.0,-0.3,0.0,0.0,0.0,-0.3,0,0,0.130,0.240,5.07,
0.0550,-0.3882,-0.4131,-1.5936,4.8674,-0.003,0.012,0.000,0.107,-0.0,-0.2,0.0,0.0,0.0,-0.2,0,0,0.140,0.250,9.48,
0.0600,-0.3882,-0.4131,-1.5936,4.8674,-0.002,0.010,0.000,0.064,-0.0,-0.2,0.0,0.0,0.0,-0.2,0,0,0.140,0.240,12.76,
0.0650,-0.3882,-0.4131,-1.5936,4.8674,-0.002,0.009,0.000,0.038,-0.0,-0.2,0.0,0.0,0.0,-0.2,0,0,0.130,0.230,9.15,
0.0700,-0.3882,-0.4131,-1.5936,4.8674,-0.002,0.007,0.000,0.023,-0.0,-0.1,0.0,0.0,0.0,-0.1,0,0,0.140,0.240,5.07,
0.0750,-0.3882,-0.4131,-1.5936,4.8674,-0.001,0.006,0.000,0.014,-0.0,-0.1,0.0,0.0,0.0,-0.1,0,0,0.140,0.250,5.07,
0.0800,-0.3882,-0.4131,-1.5936,4.8674,-0.001,0.005,0.000,0.008,-0.0,-0.1,0.0,0.0,0.0,-0.1,0,0,0.140,0.230,5.07,
0.0850,-0.3882,-0.4131,-1.5936,4.8674,-0.001,0.004,0.000,0.005,-0.0,-0.1,0.0,0.0,0.0,-0.1,0,0,0.140,0.230,5.07,
0.0900,-0.3882,-0.4131,-1.5936,4.8674,0.016,-0.013,0.000,0.003,0.2,0.3,0.0,0.0,-0.2,0.3,0,0,0.140,0.240,7.83,
0.0950,-0.3882,-0.4131,-1.5938,4.8671,0.030,-0.028,0.000,0.002,0.3,0.6,0.0,0.0,-0.3,0.6,0,0,0.140,0.250,12.18,
0.1000,-0.3882,-0.4131,-1.5938,4.8671,0.043,-0.040,0.000,0.001,0.4,0.8,0.0,0.0,-0.4,0.8,0,0,0.140,0.250,5.07,
0.1050,-0.3882,-0.4131,-1.5938,4.8671,0.053,-0.051,0.000,0.001,0.5,1.0,0.0,0.0,-0.5,1.0,0,0,0.140,0.240,8.69,
0.1100,-0.3882,-0.4131,-1.5938,4.8671,0.062,-0.060,0.000,0.000,0.6,1.2,0.0,0.0,-0.6,1.2,0,0,0.130,0.240,5.07,
0.1150,-0.3882,-0.4131,-1.5938,4.8671,0.069,-0.068,0.000,0.000,0.7,1.4,0.0,0.0,-0.7,1.4,0,0,0.140,0.210,5.07,
0.1200,-0.3882,-0.4131,-1.5938,4.8671,0.076,-0.075,0.000,0.000,0.8,1.5,0.0,0.0,-0.8,1.5,0,0,0.150,0.240,5.07,
0.1250,-0.3882,-0.4131,-1.5975,4.8612,0.081,-0.063,0.000,0.000,0.8,1.3,0.0,0.0,-0.8,1.3,0,0,0.140,0.220,8.96,
0.1300,-0.3882,-0.4131,-1.5975,4.8612,0.086,-0.054,0.000,0.000,0.9,1.1,0.0,0.0,-0.9,1.1,0,0,0.130,0.220,12.80,
0.1350,-0.3882,-0.4131,-1.5975,4.8612,0.090,-0.046,0.000,0.000,0.9,0.9,0.0,0.0,-0.9,0.9,0,0,0.140,0.220,9.13,
0.1400,-0.3882,-0.4131,-1.5975,4.8612,0.093,-0.039,0.000,0.000,0.9,0.8,0.0,0.0,-0.9,0.8,0,0,0.130,0.200,5.07,
0.1450,-0.3882,-0.4131,-1.5975,4.8612,0.096,-0.033,0.000,0.000,1.0,0.7,0.0,0.0,-1.0,0.7,0,0,0.140,0.220,5.08,
0.1500,-0.3882,-0.4131,-1.5975,4.8612,0.098,-0.028,0.000,0.000,1.0,0.6,0.0,0.0,-1.0,0.6,0,0,0.140,0.220,5.07,
0.1550,-0.3952,-0.4141,-1.5975,4.8612,0.100,-0.024,0.000,0.000,1.0,0.5,0.0,0.0,-1.0,0.5,0,0,0.150,0.230,5.07,
0.1600,-0.3952,-0.4141,-1.5915,4.8575,0.068,-0.020,0.000,0.000,0.7,0.4,0.0,0.0,-0.7,0.4,0,0,0.140,0.230,8.08,
0.1650,-0.3952,-0.4141,-1.5915,4.8575,0.041,-0.017,0.000,0.000,0.4,0.3,0.0,0.0,-0.4,0.3,0,0,0.130,0.230,12.18,
0.1700,-0.3952,-0.4141,-1.5915,4.8575,0.018,-0.015,0.000,0.000,0.2,0.3,0.0,0.0,-0.2,0.3,0,0,0.140,0.230,5.08,
0.1750,-0.3952,-0.4141,-1.5915,4.8575,-0.001,-0.012,0.000,0.000,-0.0,0.2,0.0,0.0,0.0,0.2,0,0,0.140,0.230,8.56,
0.1800,-0.3952,-0.4141,-1.5915,4.8575,-0.018,-0.011,0.000,0.000,-0.2,0.2,0.0,0.0,0.2,0.2,0,0,0.140,0.240,5.07,
0.1850,-0.3952,-0.4141,-1.5915,4.8575,-0.032,-0.009,0.000,0.000,-0.3,0.2,0.0,0.0,0.3,0.2,0,0,0.140,0.230,5.07,
0.1900,-0.3952,-0.4141,-1.5915,4.8575,-0.044,-0.008,0.000,0.000,-0.4,0.2,0.0,0.0,0.4,0.2,0,0,0.130,0.230,5.08,
0.1950,-0.3952,-0.4141,-1.5915,4.8575,-0.021,-0.007,0.000,0.000,-0.2,0.1,0.0,0.0,0.2,0.1,0,0,0.140,0.220,8.54,
0.2000,-0.3952,-0.4141,-1.5915,4.8575,-0.001,-0.006,0.000,0.000,-0.0,0.1,0.0,0.0,0.0,0.1,0,0,0.140,0.230,8.08,
0.2050,-0.3952,-0.4141,-1.5915,4.8575,0.016,-0.005,0.000,0.000,0.2,0.1,0.0,0.0,-0.2,0.1,0,0,0.140,0.220,14.78,
