t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,roll_rate_dps,pitch_rate_dps,d_roll_erpm,d_pitch_erpm,dt_ms
0.000,0.2657,-0.0,0.4672,-0.5,-0.2651,6.0975,0,0,0.00,0.00,0.000,0.000,0.00,-0.07,0.0,-0.5,0.01
0.020,0.2657,-0.0,0.4672,-0.9,-0.2651,6.0975,0,0,0.00,0.00,0.000,0.000,0.00,-0.11,0.0,-0.9,38.05
0.040,0.3058,-0.0,0.4381,-0.6,-0.4670,5.6574,0,0,0.00,0.00,0.060,0.050,0.00,-0.08,0.0,-0.6,20.09
0.060,0.3058,-0.0,0.4381,-0.4,-0.4670,5.6574,0,0,0.00,0.00,0.090,0.080,0.00,-0.06,0.0,-0.4,20.08
0.080,0.3127,-0.0,0.4391,-0.3,-0.4670,5.6574,0,0,0.00,0.00,0.080,0.080,0.00,-0.04,0.0,-0.3,20.10
0.100,0.3127,-0.5,0.4391,-0.2,-0.4670,5.6574,0,0,0.00,0.00,0.090,0.070,0.03,-0.03,0.5,-0.2,20.08
0.120,0.3127,-0.9,0.4391,-0.2,-0.4670,5.6574,0,0,0.00,0.00,0.090,0.080,0.06,-0.02,0.9,-0.2,20.07
0.140,0.3127,-1.1,0.4391,0.2,-0.4670,5.6574,0,0,0.00,0.00,0.080,0.070,0.07,0.02,1.1,0.2,20.08
0.160,0.3127,-1.3,0.4391,0.4,-0.4670,5.6574,0,0,0.00,0.00,0.090,0.070,0.09,0.05,1.3,0.4,20.09
0.180,0.3127,-1.4,0.4391,0.5,-0.4670,5.6574,0,0,0.00,0.00,0.090,0.070,0.09,0.07,1.4,0.5,20.08
0.200,0.3127,-1.0,0.4391,0.4,-0.4670,5.6574,0,0,0.00,0.00,0.090,0.070,0.07,0.05,1.0,0.4,20.08
0.220,0.3127,-0.7,0.4391,0.3,-0.4670,5.6574,0,0,0.00,0.00,0.090,0.070,0.05,0.03,0.7,0.3,20.06
0.240,0.3127,-0.5,0.4392,0.2,-0.4683,5.6644,0,0,0.00,0.00,0.090,0.070,0.03,0.02,0.5,0.2,20.08
0.260,0.3127,-0.3,0.4392,0.1,-0.4683,5.6644,0,0,0.00,0.00,0.090,0.070,0.02,0.02,0.3,0.1,20.07
0.280,0.3207,-0.2,0.4333,0.1,-0.4683,5.6644,0,0,0.00,0.00,0.090,0.080,0.02,0.01,0.2,0.1,20.08
0.300,0.3207,-0.2,0.4333,0.1,-0.4683,5.6644,0,0,0.00,0.00,0.090,0.080,0.01,0.01,0.2,0.1,20.08
0.320,0.3207,-0.1,0.4333,0.0,-0.4683,5.6644,0,0,0.00,0.00,0.090,0.070,0.01,0.01,0.1,0.0,20.07
0.340,0.3207,0.4,0.4333,0.0,-0.4683,5.6644,0,0,0.00,0.00,0.090,0.070,-0.03,0.00,-0.4,0.0,20.07
0.360,0.3207,0.8,0.4333,0.0,-0.4683,5.6644,0,0,0.00,0.00,0.090,0.080,-0.05,0.00,-0.8,0.0,20.07
0.380,0.3276,1.1,0.4344,0.0,-0.4683,5.6644,0,0,0.00,0.00,0.090,0.080,-0.07,0.00,-1.1,0.0,20.07
0.400,0.3276,0.2,0.4344,-0.3,-0.4683,5.6644,0,0,0.00,0.00,0.090,0.080,-0.02,-0.03,-0.2,-0.3,20.09
0.420,0.3276,-0.3,0.4344,-0.4,-0.4683,5.6644,0,0,0.00,0.00,0.060,0.070,0.02,-0.06,0.3,-0.4,20.08
0.440,0.3276,-1.2,0.4344,-0.6,-0.4683,5.6644,0,0,0.00,0.00,0.090,0.080,0.08,-0.07,1.2,-0.6,20.09
0.460,0.3276,-1.9,0.4344,-0.7,-0.4683,5.6644,0,0,0.00,0.00,0.090,0.080,0.13,-0.08,1.9,-0.7,20.04
0.480,0.3345,-0.3,0.4355,-0.7,-0.4683,5.6644,0,0,0.00,0.00,0.090,0.080,0.02,-0.09,0.3,-0.7,20.09
0.500,0.3345,0.8,0.4355,-0.8,-0.4683,5.6644,0,0,0.00,0.00,0.090,0.070,-0.05,-0.10,-0.8,-0.8,20.06
0.520,0.3345,1.6,0.4355,-0.8,-0.4683,5.6644,0,0,0.00,0.00,0.090,0.080,-0.10,-0.10,-1.6,-0.8,20.07
0.540,0.3276,1.1,0.4344,-0.6,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.07,-0.07,-1.1,-0.6,20.14
0.560,0.3276,0.8,0.4344,-0.4,-0.4695,5.6713,0,0,0.00,0.00,0.080,0.080,-0.05,-0.05,-0.8,-0.4,20.07
0.580,0.3276,0.5,0.4344,-0.3,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.04,-0.04,-0.5,-0.3,20.06
0.600,0.3276,0.4,0.4344,-0.2,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.070,-0.03,-0.02,-0.4,-0.2,20.07
0.620,0.3276,0.3,0.4344,-0.1,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.02,-0.02,-0.3,-0.1,20.08
0.640,0.3334,0.2,0.4424,-0.1,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.01,-0.01,-0.2,-0.1,20.07
0.660,0.3334,0.1,0.4424,-0.1,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.01,-0.01,-0.1,-0.1,20.09
0.680,0.3334,0.1,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.01,-0.01,-0.1,-0.0,20.07
0.700,0.3334,0.1,0.4424,-0.0,-0.4625,5.6725,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.1,-0.0,20.08
0.720,0.3334,0.0,0.4424,-0.0,-0.4625,5.6725,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
0.740,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.08
0.760,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.100,0.080,-0.00,-0.00,-0.0,-0.0,20.07
0.780,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
0.800,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
0.820,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.08
0.840,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.090,-0.00,-0.00,-0.0,-0.0,20.07
0.860,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.070,-0.00,-0.00,-0.0,-0.0,20.08
0.880,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.100,0.080,-0.00,-0.00,-0.0,-0.0,20.07
0.900,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.100,0.080,-0.00,-0.00,-0.0,-0.0,20.08
0.920,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.06
0.940,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.09
0.960,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
0.980,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.09
1.000,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.020,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.040,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.060,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.080,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.100,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.08
1.120,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.140,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.100,0.080,-0.00,-0.00,-0.0,-0.0,20.08
1.160,0.3334,0.0,0.4424,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.180,0.3345,0.0,0.4355,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.070,-0.00,-0.00,-0.0,-0.0,20.07
1.200,0.3345,0.0,0.4355,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.070,-0.00,-0.00,-0.0,-0.0,20.05
1.220,0.3265,0.0,0.4413,-0.0,-0.4695,5.6713,0,0,0.00,0.00,0.090,0.070,-0.00,-0.00,-0.0,-0.0,20.09
1.240,0.3265,0.0,0.4413,-0.0,-0.4625,5.6725,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.260,0.3265,0.0,0.4413,-0.0,-0.4625,5.6725,0,0,0.00,0.00,0.090,0.070,-0.00,-0.00,-0.0,-0.0,20.07
1.280,0.3265,0.0,0.4413,-0.0,-0.4625,5.6725,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.300,0.3265,0.0,0.4413,-0.0,-0.4625,5.6725,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.08
1.320,0.3265,0.0,0.4413,-0.0,-0.4625,5.6725,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.340,0.3265,0.0,0.4413,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.070,-0.00,-0.00,-0.0,-0.0,20.08
1.360,0.3265,0.0,0.4413,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.380,0.3265,0.0,0.4413,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.070,-0.00,-0.00,-0.0,-0.0,20.08
1.400,0.3265,0.0,0.4413,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.420,0.3265,0.0,0.4413,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.440,0.3265,0.0,0.4413,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.070,-0.00,-0.00,-0.0,-0.0,20.08
1.460,0.3265,0.0,0.4413,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.09
1.480,0.3265,0.0,0.4413,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.500,0.3265,0.0,0.4413,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.09
1.520,0.3276,0.0,0.4344,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.09
1.540,0.3276,0.0,0.4344,-0.0,-0.4650,5.6863,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.08
1.560,0.3276,0.0,0.4344,-0.0,-0.4650,5.6863,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.580,0.3276,0.0,0.4344,-0.0,-0.4650,5.6863,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.600,0.3276,0.0,0.4344,-0.0,-0.4650,5.6863,0,0,0.00,0.00,0.090,0.070,-0.00,-0.00,-0.0,-0.0,20.07
1.620,0.3276,0.0,0.4344,-0.0,-0.4650,5.6863,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.640,0.3276,0.0,0.4344,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.09
1.660,0.3276,0.0,0.4344,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.08
1.680,0.3276,0.0,0.4344,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.09
1.700,0.3276,0.0,0.4344,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.08
1.720,0.3276,0.0,0.4344,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.09
1.740,0.3276,0.0,0.4344,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.09
1.760,0.3276,0.0,0.4344,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.780,0.3276,0.0,0.4344,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.06
1.800,0.3276,0.0,0.4344,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.07
1.820,0.3276,0.0,0.4344,-0.0,-0.4638,5.6794,0,0,0.00,0.00,0.090,0.080,-0.00,-0.00,-0.0,-0.0,20.09
