t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,roll_rate_dps,pitch_rate_dps,dt_ms
0.000,0.5995,-481.8,-1.4834,-445.6,-0.6957,5.4921,0,0,0.00,0.00,0.000,0.000,0.11,-0.11,0.01
0.020,0.5995,-479.6,-1.4834,-445.0,-0.6957,5.4921,0,0,0.00,0.00,0.000,0.000,0.00,0.00,40.91
0.040,0.5995,-479.6,-1.4834,-445.0,-0.6957,5.4921,-37,-19,0.00,0.00,1.150,0.980,0.00,0.00,20.07
0.060,0.5995,-479.6,-1.4834,-445.0,-0.7016,5.4842,-360,-329,-2.86,-2.86,0.680,0.860,0.00,0.00,20.07
0.080,0.5995,-479.6,-1.4834,-445.0,-0.7016,5.4842,-346,-370,-5.71,-5.71,0.460,0.670,0.00,0.00,20.07
0.100,0.5995,-461.7,-1.4834,-442.2,-0.7016,5.4842,-389,-386,-5.71,-5.71,0.230,0.200,-0.90,0.56,20.08
0.120,0.5995,-461.7,-1.4834,-442.2,-0.7016,5.4842,-403,-430,-11.43,-11.43,0.330,0.000,-0.90,0.56,20.08
0.140,0.5308,-370.9,-1.4520,-430.0,-0.7016,5.4842,-392,-395,-11.43,-11.43,0.520,0.060,-2.69,1.12,20.07
0.160,0.5308,-370.9,-1.4520,-430.0,-0.7016,5.4842,-423,-415,-14.29,-14.29,0.780,0.340,-2.69,1.12,20.07
0.180,0.5308,-370.9,-1.4520,-430.0,-0.7016,5.4842,-378,-414,-17.14,-17.14,1.100,0.740,-2.69,1.12,20.07
0.200,0.3629,89.5,-1.3798,-404.4,-0.7016,5.4842,-347,-428,-17.14,-17.14,1.310,0.880,-4.48,1.90,20.07
