t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,-0.0709,-0.6050,-1.8044,4.8924,0.000,0.000,0.090,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.000,0.000,0.02,
0.0050,-0.0709,-0.6050,-1.8044,4.8924,0.000,0.000,0.143,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.000,0.000,41.72,
0.0100,-0.0709,-0.6050,-1.8044,4.8924,0.000,0.000,0.175,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,1,0.120,0.350,7.17,
0.0150,-0.0640,-0.6039,-1.8044,4.8924,0.000,0.000,0.195,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,5.08,
0.0200,-0.0640,-0.6039,-1.8044,4.8924,0.000,0.000,0.206,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,6.70,
0.0250,-0.0640,-0.6039,-1.8044,4.8924,0.000,0.000,0.213,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.140,0.390,5.08,
0.0300,-0.0640,-0.6039,-1.8086,4.8865,0.000,0.000,0.128,0.045,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,6.65,
0.0350,-0.0640,-0.6039,-1.8086,4.8865,0.000,0.000,0.077,0.072,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,13.51,
0.0400,-0.0640,-0.6039,-1.8086,4.8865,0.000,0.000,0.046,0.088,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.430,5.08,
0.0450,-0.0640,-0.6039,-1.8086,4.8865,0.000,0.000,0.028,0.097,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.390,5.08,
0.0500,-0.0640,-0.6039,-1.8086,4.8865,0.000,0.000,0.017,0.103,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,5.08,
0.0550,-0.0640,-0.6039,-1.8086,4.8865,0.000,0.000,0.010,0.107,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.110,0.430,5.07,
0.0600,-0.0640,-0.6039,-1.8086,4.8865,0.000,0.000,0.006,0.109,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,6.65,
0.0650,-0.0640,-0.6039,-1.8048,4.8923,0.000,0.000,0.004,0.110,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.400,5.35,
0.0700,-0.0640,-0.6039,-1.8048,4.8923,0.000,0.000,0.002,0.111,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.390,9.41,
0.0750,-0.0640,-0.6039,-1.8048,4.8923,0.000,0.000,-0.043,0.066,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.430,5.08,
0.0800,-0.0640,-0.6039,-1.8048,4.8923,0.000,0.000,-0.071,0.040,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,7.49,
0.0850,-0.0640,-0.6039,-1.8048,4.8923,0.000,0.000,-0.087,0.024,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.390,5.07,
0.0900,-0.0640,-0.6039,-1.8048,4.8923,0.000,0.000,-0.097,0.014,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,5.04,
0.0950,-0.0640,-0.6039,-1.8048,4.8923,0.000,0.000,-0.103,0.009,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.400,5.08,
0.1000,-0.0640,-0.6039,-1.8048,4.8923,0.000,0.000,-0.107,0.005,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,6.27,
0.1050,-0.0640,-0.6039,-1.8048,4.8923,0.000,0.000,-0.109,0.003,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,5.06,
0.1100,-0.0640,-0.6039,-1.8086,4.8865,0.000,0.000,-0.110,0.002,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.430,5.07,
0.1150,-0.0640,-0.6039,-1.8086,4.8865,0.000,0.000,-0.021,0.001,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,8.96,
0.1200,-0.0640,-0.6039,-1.8086,4.8865,0.000,0.000,0.032,0.001,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,9.77,
0.1250,-0.0640,-0.6039,-1.8086,4.8865,0.000,0.000,0.064,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.140,0.410,5.08,
0.1300,-0.0640,-0.6039,-1.8086,4.8865,0.000,0.000,0.083,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,5.06,
0.1350,-0.0571,-0.6029,-1.8086,4.8865,0.000,0.000,0.095,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,5.08,
0.1400,-0.0571,-0.6029,-1.8086,4.8865,0.000,0.000,0.102,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.410,6.31,
0.1450,-0.0571,-0.6029,-1.8086,4.8865,0.000,0.000,0.106,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,5.21,
0.1500,-0.0571,-0.6029,-1.8027,4.8826,0.000,0.000,0.108,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,5.07,
0.1550,-0.0571,-0.6029,-1.8027,4.8826,0.000,0.000,0.154,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.410,7.76,
0.1600,-0.0571,-0.6029,-1.8027,4.8826,0.000,0.000,0.182,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.390,9.21,
0.1650,-0.0571,-0.6029,-1.8027,4.8826,0.000,0.000,0.199,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.380,5.07,
0.1700,-0.0571,-0.6029,-1.8027,4.8826,0.000,0.000,0.209,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,5.64,
0.1750,-0.0571,-0.6029,-1.8027,4.8826,0.000,0.000,0.215,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.140,0.420,5.08,
0.1800,-0.0571,-0.6029,-1.8027,4.8826,0.000,0.000,0.218,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,6.31,
0.1850,-0.0571,-0.6029,-1.8027,4.8826,0.000,0.000,0.221,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,5.08,
0.1900,-0.0571,-0.6029,-1.7989,4.8885,0.000,0.000,0.222,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.420,10.72,
0.1950,-0.0571,-0.6029,-1.7989,4.8885,0.000,0.000,0.223,0.045,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.410,5.08,
0.2000,-0.0571,-0.6029,-1.7989,4.8885,0.000,0.000,0.223,0.072,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,7.57,
0.2050,-0.0571,-0.6029,-1.7989,4.8885,0.000,0.000,0.223,0.088,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,5.07,
0.2100,-0.0571,-0.6029,-1.7989,4.8885,0.000,0.000,0.224,0.097,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.410,5.68,
0.2150,-0.0502,-0.6018,-1.7989,4.8885,0.000,0.000,0.224,0.103,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,5.08,
0.2200,-0.0502,-0.6018,-1.7989,4.8885,0.000,0.000,0.224,0.107,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.410,6.30,
0.2250,-0.0502,-0.6018,-1.7989,4.8885,0.000,0.000,0.224,0.109,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.410,5.25,
0.2300,-0.0502,-0.6018,-1.7989,4.8885,0.000,0.000,0.224,0.110,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.400,5.07,
0.2350,-0.0502,-0.6018,-1.7989,4.8885,0.000,0.000,0.179,0.066,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.400,8.36,
0.2400,-0.0502,-0.6018,-1.7989,4.8885,0.000,0.000,0.152,0.040,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.410,8.62,
0.2450,-0.0502,-0.6018,-1.7989,4.8885,0.000,0.000,0.136,0.024,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.110,0.420,5.06,
0.2500,-0.0502,-0.6018,-1.7989,4.8885,0.000,0.000,0.126,0.014,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,5.07,
0.2550,-0.0502,-0.6018,-1.7989,4.8885,0.000,0.000,0.121,0.009,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.410,5.07,
0.2600,-0.0502,-0.6018,-1.7989,4.8885,0.000,0.000,0.117,0.005,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.400,5.61,
0.2650,-0.0502,-0.6018,-1.7989,4.8885,0.000,0.000,0.115,0.003,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.430,5.08,
0.2700,-0.0502,-0.6018,-1.8027,4.8826,0.000,0.000,0.114,0.002,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.440,6.55,
0.2750,-0.0502,-0.6018,-1.8027,4.8826,0.000,0.000,0.158,0.001,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.390,8.99,
0.2800,-0.0502,-0.6018,-1.8027,4.8826,0.000,0.000,0.184,0.001,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.400,9.74,
0.2850,-0.0502,-0.6018,-1.8027,4.8826,0.000,0.000,0.200,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,5.08,
0.2900,-0.0502,-0.6018,-1.8027,4.8826,0.000,0.000,0.210,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.140,0.390,5.02,
0.2950,-0.0512,-0.5949,-1.8027,4.8826,0.000,0.000,0.215,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,5.08,
0.3000,-0.0512,-0.5949,-1.8027,4.8826,0.000,0.000,0.219,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,6.66,
0.3050,-0.0512,-0.5949,-1.8027,4.8826,0.000,0.000,0.221,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,5.76,
0.3100,-0.0512,-0.5949,-1.7930,4.8847,0.000,0.000,0.222,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.410,5.08,
0.3150,-0.0512,-0.5949,-1.7930,4.8847,0.000,0.000,0.178,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,8.59,
0.3200,-0.0512,-0.5949,-1.7930,4.8847,0.000,0.000,0.152,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.410,7.97,
0.3250,-0.0512,-0.5949,-1.7930,4.8847,0.000,0.000,0.136,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.390,5.07,
0.3300,-0.0512,-0.5949,-1.7930,4.8847,0.000,0.000,0.126,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.410,5.08,
0.3350,-0.0512,-0.5949,-1.7930,4.8847,0.000,0.000,0.120,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,5.07,
0.3400,-0.0512,-0.5949,-1.7930,4.8847,0.000,0.000,0.117,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.400,6.31,
0.3450,-0.0512,-0.5949,-1.7930,4.8847,0.000,0.000,0.115,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,5.08,
0.3500,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.114,0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.400,6.52,
0.3550,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.068,-0.045,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.420,7.60,
0.3600,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.041,-0.072,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,8.34,
0.3650,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.025,-0.088,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,5.08,
0.3700,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.015,-0.097,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.390,5.59,
0.3750,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.009,-0.103,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.410,5.07,
0.3800,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.005,-0.107,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.400,6.99,
0.3850,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.003,-0.109,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.430,5.08,
0.3900,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.002,-0.110,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.390,11.32,
0.3950,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.001,-0.066,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,5.08,
0.4000,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.001,-0.040,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.410,7.23,
0.4050,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.000,-0.024,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.140,0.430,5.06,
0.4100,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.000,-0.014,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.140,0.410,5.07,
0.4150,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.000,-0.009,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.390,5.07,
0.4200,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.000,-0.005,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.390,7.37,
0.4250,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.000,-0.003,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,5.44,
0.4300,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.000,-0.002,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.400,5.08,
0.4350,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.000,-0.001,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.420,8.86,
0.4400,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.000,-0.001,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,9.12,
0.4450,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.000,-0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,5.08,
0.4500,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.000,-0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.420,5.17,
0.4550,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.000,-0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,5.08,
0.4600,-0.0512,-0.5949,-1.7969,4.8788,0.000,0.000,0.000,-0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,6.64,
0.4650,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,0.000,-0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.420,6.67,
0.4700,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,0.000,-0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.420,8.63,
0.4750,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,0.000,-0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.410,5.08,
0.4800,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,0.000,-0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.400,9.74,
0.4850,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,0.000,-0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.380,5.20,
0.4900,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,0.000,-0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,5.07,
0.4950,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,0.000,-0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.420,6.11,
0.5000,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,0.000,-0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.430,5.08,
0.5050,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,0.000,-0.000,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.400,7.01,
0.5100,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,-0.134,-0.045,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,9.61,
0.5150,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,-0.215,-0.072,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.420,9.26,
0.5200,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,-0.263,-0.088,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.420,5.08,
0.5250,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,-0.292,-0.097,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.420,5.08,
0.5300,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,-0.310,-0.103,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.420,5.09,
0.5350,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,-0.320,-0.107,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,6.37,
0.5400,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,-0.326,-0.109,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.390,5.06,
0.5450,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,-0.330,-0.110,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.140,0.390,5.07,
0.5500,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,-0.198,-0.021,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,8.55,
0.5550,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,-0.119,0.032,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.400,7.95,
0.5600,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,-0.071,0.064,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,5.08,
0.5650,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,-0.043,0.083,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,5.61,
0.5700,-0.0512,-0.5949,-1.8067,4.8765,0.000,0.000,-0.026,0.095,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.410,5.08,
