t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,roll_rate_dps,pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,dt_ms
0.000,-0.5586,336.1,0.5458,0.1,-0.9347,6.6641,0,0,0.00,0.00,0.000,0.000,0.00,0.00,0.0,0.0,-0.9,0.1,0.02
0.020,-0.5586,336.1,0.5458,0.1,-0.9347,6.6641,0,0,0.00,0.00,0.000,0.000,0.00,0.00,0.0,0.0,-0.9,0.1,20.09
0.040,-0.5525,332.4,0.5536,0.1,-0.9347,6.6641,3,0,0.00,0.00,0.080,0.340,0.00,0.00,0.0,0.0,-0.9,0.1,20.09
0.060,-0.5525,332.4,0.5536,0.1,-0.9347,6.6641,226,0,0.00,0.00,0.010,0.290,0.00,0.00,0.0,0.0,-0.9,0.1,20.06
0.080,-0.5525,332.4,0.5536,0.1,-0.9347,6.6641,270,0,2.86,0.00,0.020,0.370,0.00,0.00,0.0,0.0,-0.9,0.1,20.07
0.100,-0.5525,331.2,0.5536,-0.4,-0.9264,6.6587,244,0,2.86,0.00,0.180,0.380,0.00,0.00,0.0,0.0,0.3,-0.4,20.07
0.120,-0.5525,331.2,0.5536,-0.4,-0.9264,6.6587,237,0,5.71,0.00,0.670,0.380,0.00,0.00,0.0,0.0,0.3,-0.4,20.09
0.140,-0.5456,329.3,0.5544,-0.6,-0.9416,6.6627,236,0,5.71,0.00,1.110,0.370,0.54,-0.07,0.0,-0.5,-2.0,-0.1,20.07
0.160,-0.5456,329.3,0.5544,-1.0,-0.9416,6.6627,283,0,8.57,0.00,1.190,0.370,0.91,-0.11,0.0,-0.9,-2.0,-0.1,20.06
0.180,-0.4225,2.0,0.5269,-3.4,-0.9416,6.6627,300,0,8.57,0.00,1.360,0.360,1.81,-0.42,0.0,-3.3,-2.0,-0.1,20.07
0.200,-0.4225,1.7,0.5269,-5.6,-0.9401,6.6558,317,0,11.43,0.00,1.150,0.380,2.44,-0.63,0.0,-5.0,-1.7,-0.6,20.07
0.220,-0.4225,1.7,0.5269,-6.8,-0.9401,6.6558,106,0,11.43,0.00,0.610,0.340,2.89,-0.77,0.0,-6.2,-1.7,-0.6,20.08
0.240,-0.2027,-0.6,0.4546,-9.0,-0.9249,6.6519,107,-1,11.43,0.00,0.420,0.330,3.23,-1.01,0.0,-8.1,0.6,-0.9,20.07
