t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms
0.0000,0.2214,0.5112,-0.0048,9.1754,0.000,0.017,0.000,0.000,0.0,-0.1,0.0,0.0,-0.0,-0.1,0,0,0.000,0.000,0.01
0.0050,0.2657,0.4870,-0.1580,8.7305,-0.017,0.081,0.000,0.000,-0.2,-0.4,0.0,0.0,0.2,-0.4,0,0,0.000,0.000,37.10
0.0100,0.2657,0.4870,-0.1580,8.7305,-0.031,0.136,0.090,-0.045,-0.3,-0.7,6.3,-1.8,-6.0,-2.5,0,0,0.020,0.180,12.56
0.0150,0.2657,0.4870,-0.1580,8.7305,-0.043,0.183,0.143,-0.072,-0.4,-0.9,10.0,-2.9,-9.6,-3.8,0,0,0.030,0.330,9.05
0.0200,0.2657,0.4870,-0.1580,8.7305,-0.053,0.223,0.175,-0.088,-0.5,-1.1,12.3,-3.5,-11.7,-4.6,-1,0,0.020,0.330,5.08
0.0250,0.2657,0.4870,-0.1580,8.7305,-0.062,0.256,0.195,-0.097,-0.6,-1.3,13.6,-3.9,-13.0,-5.2,-2,0,0.000,0.330,5.03
0.0300,0.2709,0.5085,-0.1580,8.7305,-0.070,0.285,0.206,-0.103,-0.7,-1.4,14.4,-4.1,-13.8,-5.6,-2,0,0.010,0.320,5.07
0.0350,0.2709,0.5085,-0.1580,8.7305,-0.076,0.310,0.213,-0.107,-0.8,-1.5,14.9,-4.3,-14.2,-5.8,-3,0,0.000,0.310,6.25
0.0400,0.2709,0.5085,-0.1580,8.7305,-0.065,0.263,0.218,-0.109,-0.6,-1.3,15.2,-4.4,-14.6,-5.7,-1,0,0.000,0.310,5.08
0.0450,0.2709,0.5085,-0.1580,8.7305,-0.055,0.224,0.220,-0.110,-0.5,-1.1,15.4,-4.4,-14.9,-5.5,-2,0,0.010,0.300,10.82
0.0500,0.2709,0.5085,-0.1580,8.7305,-0.047,0.190,0.087,-0.066,-0.5,-1.0,6.1,-2.6,-5.6,-3.6,-1,0,0.020,0.300,5.07
0.0550,0.2709,0.5085,-0.1580,8.7305,-0.040,0.162,0.008,-0.040,-0.4,-0.8,0.5,-1.6,-0.1,-2.4,-1,0,0.020,0.290,7.45
0.0600,0.2709,0.5085,-0.1580,8.7305,-0.034,0.137,-0.040,-0.024,-0.3,-0.7,-2.8,-1.0,3.2,-1.6,-1,0,0.010,0.300,5.07
0.0650,0.2709,0.5085,-0.1580,8.7305,-0.029,0.117,-0.069,-0.014,-0.3,-0.6,-4.8,-0.6,5.1,-1.2,0,0,0.000,0.310,5.07
0.0700,0.2721,0.4946,-0.1580,8.7305,-0.024,0.099,-0.086,-0.009,-0.2,-0.5,-6.0,-0.3,6.3,-0.8,1,0,0.000,0.300,5.07
0.0750,0.2721,0.4946,-0.1580,8.7305,-0.021,0.084,-0.096,-0.005,-0.2,-0.4,-6.7,-0.2,7.0,-0.6,0,0,0.000,0.300,6.78
0.0800,0.2721,0.4946,-0.1585,8.7303,0.033,-0.029,-0.103,-0.003,0.3,0.1,-7.2,-0.1,6.9,0.0,1,0,0.010,0.330,5.08
0.0850,0.2721,0.4946,-0.1585,8.7303,0.078,-0.125,-0.151,-0.091,0.8,0.6,-10.6,-3.7,9.8,-3.0,0,0,0.010,0.300,11.46
0.0900,0.2721,0.4946,-0.1585,8.7303,0.117,-0.207,-0.180,-0.144,1.2,1.0,-12.6,-5.8,11.4,-4.7,0,0,0.020,0.340,9.66
0.0950,0.2721,0.4946,-0.1585,8.7303,0.150,-0.277,-0.198,-0.176,1.5,1.4,-13.8,-7.0,12.3,-5.7,1,0,0.030,0.300,5.08
0.1000,0.2721,0.4946,-0.1585,8.7303,0.178,-0.336,-0.208,-0.195,1.8,1.7,-14.6,-7.8,12.8,-6.1,1,0,0.010,0.300,5.07
0.1050,0.2721,0.4946,-0.1585,8.7303,0.201,-0.386,-0.214,-0.207,2.0,1.9,-15.0,-8.3,13.0,-6.3,1,0,0.030,0.300,5.08
0.1100,0.2803,0.4813,-0.1585,8.7303,0.221,-0.429,-0.218,-0.214,2.2,2.1,-15.3,-8.5,13.1,-6.4,0,0,0.050,0.300,5.75
0.1150,0.2803,0.4813,-0.1585,8.7303,0.222,-0.298,-0.220,-0.218,2.2,1.5,-15.4,-8.7,13.2,-7.2,2,0,0.040,0.290,5.26
0.1200,0.2803,0.4813,-0.1668,8.7258,0.222,-0.186,-0.222,-0.220,2.2,0.9,-15.5,-8.8,13.3,-7.9,1,0,0.060,0.310,6.18
0.1250,0.2803,0.4813,-0.1668,8.7258,0.222,-0.091,-0.088,-0.132,2.2,0.5,-6.2,-5.3,4.0,-4.8,2,-1,0.060,0.290,9.30
0.1300,0.2803,0.4813,-0.1668,8.7258,0.223,-0.010,-0.008,-0.079,2.2,0.1,-0.6,-3.2,-1.7,-3.1,1,-1,0.070,0.270,10.68
0.1350,0.2803,0.4813,-0.1668,8.7258,0.223,0.059,0.040,-0.048,2.2,-0.3,2.8,-1.9,-5.0,-2.2,0,0,0.060,0.270,5.07
0.1400,0.2803,0.4813,-0.1668,8.7258,0.223,0.117,0.069,-0.029,2.2,-0.6,4.8,-1.1,-7.0,-1.7,-1,0,0.060,0.290,5.08
0.1450,0.2784,0.5022,-0.1668,8.7258,0.223,0.167,0.086,-0.017,2.2,-0.8,6.0,-0.7,-8.2,-1.5,-1,0,0.040,0.280,5.07
0.1500,0.2784,0.5022,-0.1668,8.7258,0.223,0.209,0.096,-0.010,2.2,-1.0,6.7,-0.4,-9.0,-1.5,-1,0,0.010,0.290,6.36
0.1550,0.2784,0.5022,-0.1600,8.7237,0.206,0.245,0.103,-0.006,2.1,-1.2,7.2,-0.2,-9.2,-1.5,0,0,0.030,0.280,5.07
0.1600,0.2784,0.5022,-0.1600,8.7237,0.192,0.275,0.241,-0.004,1.9,-1.4,16.8,-0.1,-18.8,-1.5,0,0,0.020,0.290,12.34
0.1650,0.2784,0.5022,-0.1600,8.7237,0.180,0.301,0.323,-0.002,1.8,-1.5,22.6,-0.1,-24.4,-1.6,-1,0,0.010,0.280,8.50
0.1700,0.2784,0.5022,-0.1600,8.7237,0.170,0.323,0.373,-0.001,1.7,-1.6,26.1,-0.1,-27.8,-1.7,-2,0,0.000,0.290,5.06
0.1750,0.2784,0.5022,-0.1600,8.7237,0.161,0.342,0.403,-0.001,1.6,-1.7,28.2,-0.0,-29.8,-1.7,-6,0,0.010,0.290,5.06
