t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,0.2043,0.7239,-0.7053,6.4951,0.000,0.000,0.034,-0.034,0.0,-0.0,0.0,0.0,-0.0,0.0,0,0,0.000,0.000,0.01,
0.0050,0.2043,0.7239,-0.7053,6.4951,0.000,0.000,0.057,-0.057,0.0,-0.0,0.0,0.0,-0.0,0.0,0,0,0.000,0.350,45.44,
0.0100,0.2043,0.7239,-0.7053,6.4951,0.000,0.000,0.074,-0.074,0.0,-0.0,0.0,0.0,-0.0,0.0,0,0,0.120,0.350,12.73,
0.0150,0.2043,0.7239,-0.7053,6.4951,0.000,0.000,0.085,-0.085,0.0,-0.0,0.0,0.0,-0.0,0.0,0,0,0.130,0.400,5.14,
0.0200,0.2043,0.7239,-0.7053,6.4951,0.017,0.000,0.093,-0.093,0.2,-0.0,0.0,0.0,-0.2,0.0,0,0,0.130,0.430,5.10,
0.0250,0.2043,0.7239,-0.7053,6.4951,0.031,0.000,0.132,-0.032,0.3,-0.0,0.0,0.0,-0.3,0.0,0,0,0.140,0.390,7.38,
0.0300,0.2043,0.7239,-0.7053,6.4951,0.043,-0.017,0.059,0.011,0.4,0.1,0.0,0.0,-0.4,0.1,0,0,0.140,0.390,32.80,
0.0350,0.2043,0.7239,-0.6958,6.4980,0.087,-0.014,0.142,0.008,0.9,0.1,0.0,0.0,-0.9,0.1,0,0,0.150,0.390,69.12,
0.0400,0.2113,0.7247,-0.6958,6.4980,0.074,-0.012,0.066,0.006,0.7,0.1,0.0,0.0,-0.7,0.1,0,0,0.150,0.390,45.68,
0.0450,0.2113,0.7247,-0.6958,6.4980,0.063,-0.010,0.013,0.004,0.6,0.1,0.0,0.0,-0.6,0.1,0,0,0.150,0.400,22.88,
0.0500,0.2113,0.7247,-0.6958,6.4980,0.053,-0.009,-0.025,0.003,0.5,0.0,0.0,0.0,-0.5,0.0,0,0,0.140,0.440,5.07,
0.0550,0.2113,0.7247,-0.6958,6.4980,0.045,-0.007,-0.051,0.002,0.5,0.0,0.0,0.0,-0.5,0.0,0,0,0.150,0.420,5.06,
0.0600,0.2112,0.7248,-0.6958,6.4980,0.039,-0.006,-0.069,0.001,0.4,0.0,0.0,0.0,-0.4,0.0,0,0,0.160,0.440,5.06,
0.0650,0.2112,0.7248,-0.6958,6.4980,0.033,-0.005,-0.082,0.001,0.3,0.0,0.0,0.0,-0.3,0.0,0,0,0.150,0.400,5.04,
0.0700,0.2112,0.7248,-0.6895,6.4946,0.011,-0.005,-0.091,0.001,0.1,0.0,0.0,0.0,-0.1,0.0,0,0,0.160,0.420,5.09,
0.0750,0.2112,0.7248,-0.6895,6.4946,-0.007,-0.004,-0.097,0.000,-0.1,0.0,0.0,0.0,0.1,0.0,0,0,0.150,0.420,12.58,
0.0800,0.2112,0.7248,-0.6895,6.4946,-0.023,-0.003,-0.035,0.034,-0.2,0.0,0.0,0.0,0.2,0.0,0,0,0.140,0.400,5.08,
