t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,0.2715,-0.1157,0.0183,8.1301,-0.112,0.000,0.000,0.000,-1.1,0.0,0.0,0.0,-107.5,-52.1,0,0,0.000,0.000,0.02,
0.0050,0.3001,-0.1327,0.0183,8.1301,-0.112,0.000,0.000,0.000,-1.1,0.0,0.0,0.0,-118.9,-59.7,0,0,0.000,0.000,42.86,
0.0100,0.3016,-0.1336,0.0183,8.1301,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-120.6,-60.1,-25,-9,0.210,0.050,7.18,
0.0150,0.3016,-0.1336,0.0183,8.1301,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-120.7,-60.1,-72,-30,0.130,0.020,6.87,
0.0200,0.3016,-0.1336,-1.3097,6.2763,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-120.7,-60.1,-74,-31,0.090,0.060,5.08,
0.0250,0.3016,-0.1336,-1.3097,6.2763,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-120.7,-60.1,-64,-32,0.120,0.010,9.33,
0.0300,0.3016,-0.1336,-1.3097,6.2763,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-120.7,-60.1,-69,-34,0.130,0.120,5.26,
0.0350,0.3016,-0.1336,-1.3097,6.2763,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-120.7,-60.1,-82,-37,0.100,0.130,6.65,
0.0400,0.3016,-0.1336,-1.3097,6.2763,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-120.7,-60.1,-90,-38,0.060,0.150,5.12,
0.0450,0.3016,-0.1336,-1.3097,6.2763,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-120.7,-60.1,-96,-39,0.030,0.150,5.08,
0.0500,0.3016,-0.1336,-1.3097,6.2763,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-120.7,-60.1,-100,-40,0.000,0.180,6.34,
0.0550,0.3016,-0.1336,-1.3097,6.2763,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-120.7,-60.1,-99,-41,0.030,0.200,5.22,
0.0600,0.3016,-0.1336,-1.3097,6.2763,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-120.7,-60.1,-95,-42,0.030,0.220,5.07,
0.0650,0.3016,-0.1336,-1.3097,6.2763,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-120.7,-60.1,-86,-44,0.000,0.230,7.71,
0.0700,0.3016,-0.1336,-1.3097,6.2763,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-120.7,-60.1,-83,-45,0.020,0.240,5.09,
0.0750,0.3016,-0.1336,-1.3097,6.2763,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-120.7,-60.1,-80,-46,0.010,0.260,5.07,
0.0800,0.3016,-0.1336,-1.3097,6.2763,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-120.7,-60.1,-78,-48,0.030,0.270,7.65,
0.0850,0.2998,-0.1205,-1.3097,6.2763,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-119.9,-54.2,-79,-48,0.040,0.300,5.07,
0.0900,0.2997,-0.1198,-1.3097,6.2763,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,-119.9,-53.9,-80,-49,0.020,0.300,6.13,
0.0950,0.2997,-0.1198,-1.3097,6.2763,0.000,0.671,0.000,0.000,0.0,0.0,0.0,0.0,-119.9,-53.9,-81,-48,0.010,0.320,5.08,
0.1000,0.2997,-0.1198,-1.3097,6.2763,0.000,0.671,0.000,0.000,0.0,0.0,0.0,0.0,-119.9,-53.9,-86,-43,0.000,0.320,6.94,
0.1050,0.2997,-0.1198,-1.3097,6.2763,0.000,0.671,0.000,0.000,0.0,0.0,0.0,0.0,-119.9,-53.9,-98,-41,0.010,0.370,9.72,
0.1100,0.2997,-0.1198,-1.3097,6.2763,0.000,0.671,0.000,0.000,0.0,0.0,0.0,0.0,-119.9,-53.9,-103,-41,0.050,0.380,5.07,
0.1150,0.2997,-0.1198,-1.3097,6.2763,0.000,0.671,0.000,0.000,0.0,0.0,0.0,0.0,-119.9,-53.9,-109,-41,0.050,0.400,5.03,
0.1200,0.2997,-0.1198,-1.3097,6.2763,0.000,0.671,0.000,0.000,0.0,0.0,0.0,0.0,-119.9,-53.9,-126,-39,0.100,0.430,9.80,
0.1250,0.3015,-0.0860,-1.3097,6.2763,0.000,0.671,0.000,0.000,0.0,0.0,0.0,0.0,-120.6,-38.7,-136,-39,0.140,0.450,5.08,
0.1300,0.3016,-0.0843,-1.3097,6.2763,0.112,0.448,0.000,0.000,1.1,0.0,0.0,0.0,-121.8,-37.9,-138,-39,0.190,0.460,6.35,
0.1350,0.3016,-0.0842,-1.3097,6.2763,0.112,0.448,0.000,0.000,1.1,0.0,0.0,0.0,-121.8,-37.9,-127,-36,0.170,0.450,5.23,
