t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms
0.0000,-1.6522,0.5873,-0.0017,8.1293,0.000,0.000,0.000,0.045,0.0,0.0,0.0,2.7,991.3,2.7,0,0,0.000,0.000,0.01
0.0050,-1.6682,0.5562,-0.0017,8.1293,0.000,0.000,0.000,0.072,0.0,0.0,0.0,4.3,1000.9,4.3,0,0,0.000,0.000,44.66
0.0100,-1.6682,0.5562,-0.7524,8.4616,0.000,0.000,0.000,0.088,0.0,0.0,0.0,5.3,1000.9,5.3,206,0,1.660,0.400,7.58
0.0150,-1.6682,0.5562,-0.7524,8.4616,0.000,0.000,0.000,0.097,0.0,0.0,0.0,5.8,1000.9,5.8,838,0,0.010,0.450,13.39
0.0200,-1.6682,0.5562,-0.7524,8.4616,0.000,0.000,0.000,0.103,0.0,0.0,0.0,6.2,1000.9,6.2,608,1,0.500,0.440,5.12
0.0250,-1.6682,0.5562,-0.7524,8.4616,0.000,0.000,-0.090,-0.028,0.0,0.0,-6.3,-1.7,1007.2,-1.7,621,0,1.340,0.470,5.08
0.0300,-1.6682,0.5562,-0.7524,8.4616,0.000,0.000,-0.143,-0.106,0.0,0.0,-10.0,-6.4,1011.0,-6.4,705,0,1.050,0.460,9.63
0.0350,-1.6682,0.5562,-0.7524,8.4616,0.000,0.000,-0.175,-0.153,0.0,0.0,-12.3,-9.2,1013.2,-9.2,704,0,1.700,0.460,5.08
0.0400,-1.6682,0.5562,-0.7524,8.4616,0.386,0.017,-0.195,-0.181,3.9,0.1,-13.6,-10.9,1010.7,-10.8,753,0,1.960,0.420,8.73
0.0450,-1.6682,0.5562,-0.7495,8.4551,0.714,0.031,-0.206,-0.198,7.1,0.2,-14.4,-11.9,1008.2,-11.7,806,-1,2.400,0.410,7.70
0.0500,-1.6682,0.5562,-0.7495,8.4551,0.993,0.043,-0.213,-0.209,9.9,0.3,-14.9,-12.5,1005.9,-12.2,810,0,2.290,0.430,8.94
0.0550,-1.6682,0.5562,-0.7495,8.4551,1.230,0.053,-0.218,-0.215,12.3,0.4,-15.2,-12.9,1003.9,-12.5,855,-1,2.240,0.430,5.04
0.0600,-1.6682,0.5562,-0.7495,8.4551,1.432,0.062,-0.399,-0.218,14.3,0.5,-27.9,-13.1,1014.6,-12.6,846,-2,2.030,0.410,5.07
0.0650,-1.6682,0.5562,-0.7495,8.4551,1.603,0.070,-0.508,-0.221,16.0,0.6,-35.6,-13.2,1020.5,-12.7,875,-1,1.930,0.430,9.50
0.0700,-1.4360,0.5668,-0.7495,8.4551,1.749,0.076,-0.573,-0.222,17.5,0.6,-40.1,-13.3,884.2,-12.7,896,-2,1.850,0.410,5.12
0.0750,-1.4360,0.5668,-0.7495,8.4551,2.896,0.165,-0.613,-0.223,29.0,1.3,-42.9,-13.4,875.5,-12.0,917,-2,1.670,0.400,8.69
0.0800,-1.4360,0.5668,-0.7964,8.4648,3.872,0.241,-0.636,-0.223,38.7,1.9,-44.5,-13.4,867.4,-11.5,849,-1,1.450,0.390,6.46
0.0850,-1.4360,0.5668,-0.7964,8.4648,4.701,0.306,-0.650,-0.223,47.0,2.4,-45.5,-13.4,860.1,-11.0,866,-3,2.130,0.400,10.21
0.0900,-1.4360,0.5668,-0.7964,8.4648,5.406,0.361,-0.659,-0.224,54.1,2.9,-46.1,-13.4,853.6,-10.5,856,-3,1.850,0.410,5.06
0.0950,-1.4360,0.5668,-0.7964,8.4648,6.005,0.407,-0.216,-0.089,60.1,3.3,-15.1,-5.4,816.7,-2.1,861,-1,2.170,0.440,5.07
0.1000,-1.4360,0.5668,-0.7964,8.4648,6.514,0.447,0.049,-0.009,65.1,3.6,3.5,-0.5,793.0,3.0,867,0,2.050,0.390,9.44
0.1050,-0.8294,0.5832,-0.7964,8.4648,6.947,0.481,0.209,0.039,69.5,3.8,14.6,2.4,413.5,6.2,894,0,1.480,0.380,5.16
0.1100,-0.8294,0.5832,-0.7964,8.4648,8.121,0.392,0.304,0.068,81.2,3.1,21.3,4.1,395.1,7.2,849,0,1.320,0.410,8.73
0.1150,-0.8294,0.5832,-0.7434,8.4643,9.118,0.316,0.362,0.086,91.2,2.5,25.3,5.1,381.1,7.7,699,0,0.130,0.420,7.63
0.1200,-0.8294,0.5832,-0.7434,8.4643,9.966,0.252,0.396,0.096,99.7,2.0,27.7,5.8,370.2,7.8,529,0,0.420,0.400,8.96
0.1250,-0.8294,0.5832,-0.7434,8.4643,10.687,0.197,0.417,0.103,106.9,1.6,29.2,6.2,361.6,7.7,593,0,0.080,0.440,5.06
0.1300,-0.8294,0.5832,-0.7434,8.4643,11.300,0.151,0.563,0.151,113.0,1.2,39.4,9.1,345.2,10.3,605,1,0.120,0.400,5.08
0.1350,-0.8294,0.5832,-0.7434,8.4643,11.821,0.112,0.651,0.180,118.2,0.9,45.6,10.8,333.8,11.7,508,1,0.010,0.410,9.47
0.1400,-0.1042,0.5711,-0.7434,8.4643,12.263,0.078,0.704,0.198,122.6,0.6,49.3,11.9,-171.9,12.5,495,2,0.120,0.430,5.11
0.1450,-0.1042,0.5711,-0.7434,8.4643,12.119,-0.034,0.736,0.208,121.2,-0.3,51.5,12.5,-172.7,12.2,495,0,0.120,0.440,7.77
0.1500,-0.1042,0.5711,-0.6920,8.4636,11.997,-0.130,0.755,0.214,120.0,-1.0,52.8,12.9,-172.8,11.8,339,1,0.650,0.400,5.79
0.1550,-0.1042,0.5711,-0.6920,8.4636,11.893,-0.211,0.766,0.218,118.9,-1.7,53.6,13.1,-172.6,11.4,67,1,0.090,0.440,9.39
0.1600,-0.1042,0.5711,-0.6920,8.4636,11.804,-0.280,0.773,0.220,118.0,-2.2,54.1,13.2,-172.2,11.0,105,0,0.000,0.470,5.37
0.1650,-0.1042,0.5711,-0.6920,8.4636,11.729,-0.339,0.911,0.222,117.3,-2.7,63.8,13.3,-181.1,10.6,107,1,0.300,0.450,5.07
0.1700,-0.1042,0.5711,-0.6920,8.4636,11.665,-0.389,0.995,0.223,116.6,-3.1,69.6,13.4,-186.3,10.2,82,2,0.350,0.450,8.38
0.1750,-0.1042,0.5711,-0.6920,8.4636,11.610,-0.431,1.044,0.223,116.1,-3.4,73.1,13.4,-189.2,9.9,77,1,0.440,0.470,5.07
0.1800,0.3764,0.5395,-0.6920,8.4636,11.564,-0.467,1.074,0.223,115.6,-3.7,75.2,13.4,-190.8,9.7,70,0,0.540,0.500,5.07
0.1850,0.3764,0.5395,-0.6944,8.4700,10.165,-0.481,1.092,0.224,101.7,-3.8,76.5,13.4,-178.1,9.6,32,0,0.620,0.480,8.52
0.1900,0.3764,0.5395,-0.6944,8.4700,8.976,-0.493,1.103,0.224,89.8,-3.9,77.2,13.4,-167.0,9.5,-21,2,0.670,0.460,14.46
0.1950,0.3764,0.5395,-0.6944,8.4700,7.966,-0.503,1.109,0.224,79.7,-4.0,77.7,13.4,-157.3,9.4,-37,3,0.660,0.470,5.11
0.2000,0.3764,0.5395,-0.6944,8.4700,7.106,-0.511,0.755,0.089,71.1,-4.1,52.9,5.4,-123.9,1.3,-44,3,0.650,0.490,5.16
0.2050,0.3764,0.5395,-0.6944,8.4700,6.376,-0.519,0.543,0.009,63.8,-4.1,38.0,0.5,-101.7,-3.6,-74,0,0.630,0.480,9.85
0.2100,0.3316,0.5106,-0.6944,8.4700,5.755,-0.525,0.415,-0.039,57.6,-4.2,29.1,-2.4,-86.6,-6.6,-91,0,0.470,0.500,5.07
0.2150,0.3316,0.5106,-0.6944,8.4700,3.818,-0.530,0.339,-0.068,38.2,-4.2,23.7,-4.1,-61.9,-8.3,-121,0,0.360,0.470,8.70
0.2200,0.3316,0.5106,-0.6629,8.4638,2.171,-0.534,0.293,-0.086,21.7,-4.3,20.5,-5.1,-42.2,-9.4,-156,0,0.240,0.450,6.93
0.2250,0.3316,0.5106,-0.6629,8.4638,0.771,-0.538,0.265,-0.096,7.7,-4.3,18.6,-5.8,-26.3,-10.1,-107,-1,0.210,0.040,9.91
0.2300,0.3316,0.5106,-0.6629,8.4638,-0.419,-0.541,0.249,-0.103,-4.2,-4.3,17.4,-6.2,-13.2,-10.5,-78,-1,0.320,0.440,5.07
0.2350,0.3316,0.5106,-0.6629,8.4638,-1.430,-0.544,-0.209,-0.106,-14.3,-4.4,-14.6,-6.4,28.9,-10.7,-60,0,0.340,0.460,5.07
0.2400,0.3316,0.5106,-0.6629,8.4638,-2.290,-0.546,-0.483,-0.109,-22.9,-4.4,-33.8,-6.5,56.7,-10.9,-53,0,0.350,0.410,9.32
0.2450,-0.0968,0.4872,-0.6629,8.4638,-3.021,-0.548,-0.648,-0.110,-30.2,-4.4,-45.4,-6.6,75.6,-11.0,-84,-1,0.110,0.430,5.13
0.2500,-0.0968,0.4872,-0.6629,8.4638,-4.397,-0.483,-0.747,-0.111,-44.0,-3.9,-52.3,-6.6,96.3,-10.5,-121,0,0.070,0.430,8.71
0.2550,-0.0968,0.4872,-0.7143,8.4651,-5.567,-0.427,-0.806,-0.111,-55.7,-3.4,-56.4,-6.7,112.1,-10.1,-135,-1,0.300,0.450,6.50
0.2600,-0.0968,0.4872,-0.7143,8.4651,-6.562,-0.380,-0.842,-0.111,-65.6,-3.0,-58.9,-6.7,124.6,-9.7,-130,-2,0.550,0.410,10.26
0.2650,-0.0968,0.4872,-0.7143,8.4651,-7.407,-0.340,-0.863,-0.112,-74.1,-2.7,-60.4,-6.7,134.5,-9.4,-123,-1,0.820,0.440,5.08
0.2700,-0.0968,0.4872,-0.7143,8.4651,-8.126,-0.306,-0.966,-0.157,-81.3,-2.4,-67.6,-9.4,148.8,-11.8,-95,0,0.960,0.410,5.08
0.2750,-0.0968,0.4872,-0.7143,8.4651,-8.737,-0.277,-1.027,-0.183,-87.4,-2.2,-71.9,-11.0,159.3,-13.2,-39,-1,0.910,0.410,9.37
0.2800,-0.6015,0.4940,-0.7143,8.4651,-9.256,-0.252,-1.064,-0.200,-92.6,-2.0,-74.5,-12.0,528.0,-14.0,-23,0,0.990,0.400,5.06
0.2850,-0.6015,0.4940,-0.7143,8.4651,-8.656,-0.197,-1.086,-0.209,-86.6,-1.6,-76.0,-12.6,523.5,-14.1,-1,-2,1.120,0.400,8.66
0.2900,-0.6015,0.4940,-0.7804,8.4115,-8.147,-0.151,-1.099,-0.215,-81.5,-1.2,-76.9,-12.9,519.3,-14.1,245,-2,2.440,0.400,6.91
0.2950,-0.6015,0.4940,-0.7804,8.4115,-7.714,-0.111,-1.107,-0.219,-77.1,-0.9,-77.5,-13.1,515.6,-14.0,284,-3,1.300,0.360,9.34
0.3000,-0.6015,0.4940,-0.7804,8.4115,-7.346,-0.078,-1.112,-0.221,-73.5,-0.6,-77.8,-13.2,512.2,-13.9,291,-3,2.310,0.380,5.09
0.3050,-0.6015,0.4940,-0.7804,8.4115,-7.033,-0.049,-1.025,-0.132,-70.3,-0.4,-71.8,-7.9,503.0,-8.3,337,-2,2.230,0.380,5.21
0.3100,-0.6015,0.4940,-0.7804,8.4115,-6.767,-0.025,-0.973,-0.079,-67.7,-0.2,-68.1,-4.8,496.7,-5.0,353,-1,2.430,0.350,9.59
0.3150,-0.7659,0.5018,-0.7804,8.4115,-6.541,-0.005,-0.942,-0.048,-65.4,-0.0,-65.9,-2.9,590.9,-2.9,363,-2,2.410,0.360,5.92
0.3200,-0.7659,0.5018,-0.7804,8.4115,-5.157,-0.021,-0.923,-0.029,-51.6,-0.2,-64.6,-1.7,575.7,-1.9,394,0,2.520,0.370,9.12
0.3250,-0.7659,0.5018,-0.8095,8.4113,-3.980,-0.034,-0.912,-0.017,-39.8,-0.3,-63.8,-1.0,563.2,-1.3,472,0,2.690,0.370,12.83
0.3300,-0.7659,0.5018,-0.8095,8.4113,-2.980,-0.046,-0.905,-0.010,-29.8,-0.4,-63.4,-0.6,552.7,-1.0,481,0,2.680,0.380,5.07
0.3350,-0.7659,0.5018,-0.8095,8.4113,-2.131,-0.056,-0.319,0.039,-21.3,-0.4,-22.4,2.3,503.2,1.9,514,0,2.430,0.360,5.09
0.3400,-0.7659,0.5018,-0.8095,8.4113,-1.408,-0.064,0.032,0.068,-14.1,-0.5,2.3,4.1,471.3,3.6,481,0,2.370,0.380,9.90
0.3450,-0.7659,0.5018,-0.8095,8.4113,-0.794,-0.071,0.243,0.086,-7.9,-0.6,17.0,5.1,450.4,4.6,493,0,2.020,0.370,5.08
0.3500,-0.5246,0.4998,-0.8095,8.4113,-0.272,-0.078,0.370,0.096,-2.7,-0.6,25.9,5.8,291.6,5.1,487,0,1.760,0.370,5.07
0.3550,-0.5246,0.4998,-0.7822,8.4184,1.263,-0.099,0.446,0.102,12.6,-0.8,31.2,6.1,270.9,5.3,460,0,1.530,0.370,7.81
0.3600,-0.5246,0.4998,-0.7822,8.4184,2.567,-0.118,0.491,0.106,25.7,-0.9,34.4,6.4,254.7,5.4,361,0,1.190,0.390,13.39
0.3650,-0.5246,0.4998,-0.7822,8.4184,3.676,-0.134,0.519,0.108,36.8,-1.1,36.3,6.5,241.7,5.4,380,0,0.650,0.410,5.66
0.3700,-0.5246,0.4998,-0.7822,8.4184,4.619,-0.147,0.624,0.155,46.2,-1.2,43.7,9.3,224.9,8.1,336,1,0.660,0.420,5.15
0.3750,-0.5246,0.4998,-0.7822,8.4184,5.420,-0.159,0.688,0.182,54.2,-1.3,48.2,10.9,212.4,9.7,308,0,0.740,0.390,10.18
0.3800,-0.0050,0.4887,-0.7822,8.4184,6.101,-0.169,0.726,0.199,61.0,-1.3,50.8,11.9,-111.8,10.6,300,0,0.650,0.410,5.05
0.3850,-0.0050,0.4887,-0.7822,8.4184,6.898,-0.194,0.749,0.209,69.0,-1.5,52.4,12.5,-121.4,11.0,281,3,0.680,0.410,8.90
0.3900,-0.0050,0.4887,-0.7362,8.4376,7.575,-0.215,0.763,0.215,75.8,-1.7,53.4,12.9,-129.1,11.2,112,1,0.060,0.400,7.69
0.3950,-0.0050,0.4887,-0.7362,8.4376,8.151,-0.233,0.771,0.218,81.5,-1.9,54.0,13.1,-135.5,11.2,23,1,0.360,0.410,8.90
0.4000,-0.0050,0.4887,-0.7362,8.4376,8.641,-0.249,0.776,0.221,86.4,-2.0,54.3,13.2,-140.7,11.2,60,0,0.090,0.420,5.07
0.4050,-0.0050,0.4887,-0.7362,8.4376,9.057,-0.262,0.913,0.177,90.6,-2.1,63.9,10.6,-154.5,8.5,64,1,0.020,0.440,5.07
0.4100,-0.0050,0.4887,-0.7362,8.4376,9.410,-0.273,0.996,0.151,94.1,-2.2,69.7,9.1,-163.8,6.9,30,1,0.060,0.400,9.42
0.4150,0.5088,0.4699,-0.7362,8.4376,9.711,-0.282,1.045,0.135,97.1,-2.3,73.1,8.1,-475.5,5.9,5,1,0.080,0.430,5.04
0.4200,0.5088,0.4699,-0.7362,8.4376,9.261,-0.307,1.075,0.126,92.6,-2.5,75.2,7.6,-473.1,5.1,-10,0,0.050,0.440,8.79
0.4250,0.5088,0.4699,-0.7427,8.5138,8.879,-0.328,1.092,0.120,88.8,-2.6,76.5,7.2,-470.5,4.6,-118,1,0.710,0.430,6.61
0.4300,0.5088,0.4699,-0.7427,8.5138,8.555,-0.346,1.103,0.117,85.5,-2.8,77.2,7.0,-468.0,4.3,-199,0,0.650,0.420,10.28
0.4350,0.5088,0.4699,-0.7427,8.5138,8.279,-0.361,1.109,0.115,82.8,-2.9,77.7,6.9,-465.7,4.0,-157,0,0.950,0.460,5.07
0.4400,0.5088,0.4699,-0.7427,8.5138,8.044,-0.374,0.621,0.114,80.4,-3.0,43.5,6.8,-429.2,3.8,-160,0,1.200,0.450,5.07
0.4450,0.5088,0.4699,-0.7427,8.5138,7.845,-0.385,0.328,0.113,78.4,-3.1,22.9,6.8,-406.7,3.7,-202,1,1.200,0.380,9.26
0.4500,0.7594,0.4560,-0.7427,8.5138,7.675,-0.395,0.152,0.113,76.7,-3.2,10.6,6.8,-543.0,3.6,-200,0,1.270,0.450,5.11
0.4550,0.7594,0.4560,-0.7427,8.5138,6.255,-0.403,0.046,0.112,62.6,-3.2,3.2,6.7,-521.5,3.5,-197,0,1.480,0.430,8.68
0.4600,0.7594,0.4560,-0.6536,8.5084,5.048,-0.409,-0.017,0.112,50.5,-3.3,-1.2,6.7,-505.0,3.5,-358,0,1.800,0.430,7.64
0.4650,0.7594,0.4560,-0.6536,8.5084,4.022,-0.415,-0.055,0.112,40.2,-3.3,-3.8,6.7,-492.0,3.4,-351,0,1.170,0.440,8.96
0.4700,0.7594,0.4560,-0.6536,8.5084,3.151,-0.420,-0.078,0.112,31.5,-3.4,-5.4,6.7,-481.7,3.4,-370,0,1.330,0.440,5.07
0.4750,0.7594,0.4560,-0.6536,8.5084,2.409,-0.424,-0.136,0.022,24.1,-3.4,-9.5,1.3,-470.2,-2.0,-395,0,1.070,0.470,5.08
0.4800,0.7594,0.4560,-0.6536,8.5084,1.779,-0.428,-0.171,-0.031,17.8,-3.4,-12.0,-1.9,-461.5,-5.3,-411,0,0.840,0.430,9.46
0.4850,0.5490,0.4414,-0.6536,8.5084,1.244,-0.431,-0.192,-0.064,12.4,-3.4,-13.5,-3.8,-328.4,-7.3,-441,0,0.550,0.410,5.07
0.4900,0.5490,0.4414,-0.6536,8.5084,0.789,-0.433,-0.205,-0.083,7.9,-3.5,-14.3,-5.0,-323.0,-8.4,-454,0,0.320,0.440,7.54
0.4950,0.5490,0.4414,-0.7127,8.5101,-0.740,-0.385,-0.212,-0.094,-7.4,-3.1,-14.9,-5.7,-307.2,-8.7,-442,0,0.000,0.420,5.07
0.5000,0.5490,0.4414,-0.7127,8.5101,-2.039,-0.344,-0.217,-0.101,-20.4,-2.8,-15.2,-6.1,-293.9,-8.8,-414,0,0.080,0.410,12.91
0.5050,0.5490,0.4414,-0.7127,8.5101,-3.143,-0.309,-0.220,-0.106,-31.4,-2.5,-15.4,-6.3,-282.6,-8.8,-407,-1,0.180,0.420,5.00
0.5100,0.5490,0.4414,-0.7127,8.5101,-4.081,-0.280,-0.579,-0.198,-40.8,-2.2,-40.6,-11.9,-248.1,-14.1,-379,0,0.150,0.410,5.07
0.5150,0.5490,0.4414,-0.7127,8.5101,-4.879,-0.254,-0.795,-0.253,-48.8,-2.0,-55.7,-15.2,-225.0,-17.2,-322,0,0.000,0.430,9.41
0.5200,0.0043,0.4335,-0.7127,8.5101,-5.557,-0.233,-0.925,-0.286,-55.6,-1.9,-64.7,-17.2,120.3,-19.0,-337,0,0.000,0.390,5.05
0.5250,0.0043,0.4335,-0.7127,8.5101,-6.704,-0.198,-1.003,-0.306,-67.0,-1.6,-70.2,-18.4,137.2,-19.9,-408,-2,0.200,0.390,8.85
0.5300,0.0043,0.4335,-0.7549,8.5062,-7.680,-0.168,-1.049,-0.318,-76.8,-1.3,-73.4,-19.1,150.2,-20.4,-225,-2,1.230,0.360,7.66
0.5350,0.0043,0.4335,-0.7549,8.5062,-8.508,-0.143,-1.077,-0.325,-85.1,-1.1,-75.4,-19.5,160.5,-20.6,-154,-5,0.670,0.340,8.92
0.5400,0.0043,0.4335,-0.7549,8.5062,-9.213,-0.122,-1.094,-0.329,-92.1,-1.0,-76.6,-19.8,168.7,-20.7,-147,-4,1.100,0.350,5.03
