t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms
0.0000,-0.5692,0.0070,-1.1731,9.0173,0.000,0.000,0.045,0.000,0.0,-0.0,3.1,0.0,338.4,0.0,0,0,0.000,0.000,0.04
0.0050,-0.5563,-0.0262,-1.1731,9.0173,0.000,0.000,0.072,0.000,0.0,-0.0,5.0,0.0,328.8,0.0,0,0,0.000,0.000,41.31
0.0100,-0.5563,-0.0262,-1.1731,9.0173,0.000,0.000,0.088,0.000,0.0,-0.0,6.1,0.0,327.7,0.0,97,0,0.940,0.130,7.71
0.0150,-0.5563,-0.0262,-1.1731,9.0173,0.000,0.000,0.097,0.000,0.0,-0.0,6.8,0.0,327.0,0.0,187,0,0.780,0.150,5.08
0.0200,-0.5563,-0.0262,-1.1731,9.0173,0.000,0.000,0.103,0.000,0.0,-0.0,7.2,0.0,326.6,0.0,152,0,0.840,0.150,5.03
0.0250,-0.5632,-0.0274,-1.1731,9.0173,0.000,0.000,0.107,0.000,0.0,-0.0,7.5,0.0,330.5,0.0,112,0,1.240,0.140,5.07
0.0300,-0.5632,-0.0274,-1.1731,9.0173,0.050,0.000,0.064,0.000,0.5,-0.0,4.5,0.0,332.9,0.0,172,0,1.300,0.140,14.26
0.0350,-0.5632,-0.0274,-1.1731,9.0173,0.093,0.000,0.038,0.000,0.9,-0.0,2.7,0.0,334.3,0.0,188,0,1.370,0.140,10.85
0.0400,-0.5632,-0.0274,-1.1731,9.0173,0.130,0.000,0.023,0.000,1.3,-0.0,1.6,0.0,335.0,0.0,201,0,1.480,0.140,5.08
0.0450,-0.5632,-0.0274,-1.1731,9.0173,0.160,0.000,0.014,0.000,1.6,-0.0,1.0,0.0,335.4,0.0,219,0,1.520,0.150,5.05
0.0500,-0.5632,-0.0274,-1.1731,9.0173,0.187,0.000,0.008,0.000,1.9,-0.0,0.6,0.0,335.5,0.0,232,0,1.490,0.140,5.07
0.0550,-0.5632,-0.0274,-1.1731,9.0173,0.209,0.000,0.005,0.000,2.1,-0.0,0.3,0.0,335.5,0.0,237,0,1.470,0.150,5.07
