t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,dt_ms
0.000,-0.0799,-0.0,1.6726,501.8,-0.3659,6.7349,0,0,0.00,0.00,0.000,0.000,0.05
0.020,-0.0799,-0.0,1.6726,501.8,-0.3659,6.7349,0,0,0.00,0.00,0.000,0.000,40.92
0.040,-0.0870,-0.0,1.6719,501.6,-0.3659,6.7349,-7,11,0.00,0.00,0.180,0.250,20.09
0.060,-0.0870,-0.0,1.6719,501.6,-0.3729,6.7336,-1,394,0.00,2.86,0.140,0.010,20.09
0.080,-0.0870,-0.0,1.6719,501.6,-0.3729,6.7336,0,435,0.00,5.71,0.370,0.060,20.08
0.100,-0.0855,-0.0,1.6580,497.4,-0.3672,6.7418,0,438,0.00,5.71,0.360,0.210,20.08
0.120,-0.0855,-0.0,1.6580,497.4,-0.3672,6.7418,0,453,0.00,11.43,0.370,0.500,20.10
0.140,-0.1027,-0.0,1.6210,486.3,-0.3672,6.7418,1,465,0.00,11.43,0.360,0.710,20.10
0.160,-0.1027,-0.0,1.6210,486.3,-0.3659,6.7349,0,484,0.00,14.29,0.390,0.660,20.08
0.180,-0.1027,-0.0,1.6210,486.3,-0.3659,6.7349,0,507,0.00,20.00,0.380,0.080,20.08
0.200,-0.1293,-0.0,1.5407,462.2,-0.3659,6.7349,0,455,0.00,20.00,0.370,0.070,20.07
0.220,-0.1293,-0.0,1.5407,462.2,-0.3659,6.7349,0,456,0.00,22.86,0.370,0.230,20.08
0.240,-0.1731,-0.0,1.4235,427.0,-0.3659,6.7349,0,487,0.00,25.71,0.380,0.430,20.10
0.260,-0.1731,-0.0,1.4235,427.0,-0.3659,6.7349,0,473,0.00,28.57,0.370,0.640,20.12
0.280,-0.1731,-0.0,1.4235,427.0,-0.3659,6.7349,0,437,0.00,31.43,0.370,0.660,20.09
0.300,-0.2202,-0.0,1.2707,381.2,-0.3590,6.7361,0,417,0.00,34.29,0.370,0.380,20.09
0.320,-0.2202,-0.0,1.2707,381.2,-0.3590,6.7361,0,407,0.00,37.14,0.370,0.010,20.07
0.340,-0.2920,-0.0,1.0872,326.2,-0.3590,6.7361,0,392,0.00,37.14,0.390,0.000,20.08
0.360,-0.2920,-0.0,1.0872,326.2,-0.3664,6.7345,0,355,0.00,40.00,0.370,0.200,20.07
0.380,-0.2920,-0.0,1.0872,326.2,-0.3664,6.7345,0,326,0.00,42.86,0.390,0.440,20.08
0.400,-0.3616,-0.0,0.8828,0.0,-0.3676,6.7414,0,355,0.00,45.71,0.390,0.650,20.07
0.420,-0.3616,-0.0,0.8828,0.0,-0.3676,6.7414,0,306,0.00,48.57,0.380,0.720,20.08
0.440,-0.4258,-0.0,0.6931,0.0,-0.3676,6.7414,0,182,0.00,48.57,0.380,0.150,20.06
0.460,-0.4258,-0.0,0.6931,0.0,-0.3745,6.7402,0,67,0.00,48.57,0.370,0.500,20.07
0.480,-0.4258,-0.0,0.6931,0.0,-0.3745,6.7402,0,32,0.00,48.57,0.380,0.460,20.06
0.500,-0.4859,-0.0,0.5319,0.0,-0.3741,6.7402,0,23,0.00,48.57,0.390,0.470,20.09
0.520,-0.4859,-0.0,0.5319,0.0,-0.3741,6.7402,0,10,0.00,48.57,0.380,0.460,20.07
0.540,-0.5289,317.3,0.4077,0.0,-0.3741,6.7402,0,6,0.00,48.57,0.390,0.440,20.09
0.560,-0.5289,317.3,0.4077,0.0,-0.3741,6.7406,0,3,0.00,48.57,0.390,0.440,20.08
0.580,-0.5289,317.3,0.4077,0.0,-0.3741,6.7406,214,2,0.00,48.57,0.650,0.450,20.07
0.600,-0.5493,329.6,0.3352,0.0,-0.3741,6.7406,218,1,2.86,48.57,0.660,0.450,20.14
0.620,-0.5493,329.6,0.3352,0.0,-0.3741,6.7406,283,1,5.71,48.57,0.370,0.460,20.08
0.640,-0.5602,336.1,0.3059,0.0,-0.3741,6.7406,239,0,5.71,48.57,0.320,0.440,20.08
0.660,-0.5602,336.1,0.3059,0.0,-0.3659,6.7349,251,0,5.71,48.57,0.340,0.440,20.08
0.680,-0.5602,336.1,0.3059,0.0,-0.3659,6.7349,270,0,8.57,48.57,0.330,0.440,20.09
0.700,-0.5115,306.9,0.3112,0.0,-0.3659,6.7349,284,0,8.57,48.57,0.470,0.450,20.07
0.720,-0.5115,306.9,0.3112,0.0,-0.3659,6.7349,301,0,11.43,48.57,0.560,0.440,20.09
0.740,-0.3765,-0.0,0.2974,0.0,-0.3659,6.7349,309,0,14.29,48.57,0.680,0.440,20.07
0.760,-0.3765,-0.0,0.2974,0.0,-0.3590,6.7361,291,0,14.29,48.57,0.880,0.440,20.09
0.780,-0.3765,-0.0,0.2974,0.0,-0.3590,6.7361,124,0,17.14,48.57,0.640,0.450,20.07
0.800,-0.1674,-0.0,0.2494,0.0,-0.3578,6.7291,108,0,17.14,48.57,0.540,0.440,20.09
0.820,-0.1674,-0.0,0.2494,0.0,-0.3578,6.7291,47,0,17.14,48.57,0.610,0.450,20.08
0.840,-0.0085,-0.0,0.2101,0.0,-0.3578,6.7291,40,0,17.14,48.57,0.600,0.450,20.07
0.860,-0.0085,-0.0,0.2101,0.0,-0.3358,6.7258,21,0,17.14,48.57,0.590,0.450,20.08
0.880,0.0509,-0.0,0.1813,0.0,-0.3358,6.7258,10,0,17.14,48.57,0.610,0.450,20.09
0.900,0.0509,-0.0,0.1813,0.0,-0.3285,6.7270,7,0,17.14,48.57,0.620,0.450,20.07
0.920,0.0509,-0.0,0.1813,0.0,-0.3285,6.7270,2,0,17.14,48.57,0.630,0.450,20.06
0.940,0.0223,-0.0,0.1853,0.0,-0.3285,6.7270,1,0,17.14,48.57,0.650,0.450,20.07
0.960,0.0223,-0.0,0.1853,0.0,-0.3358,6.7258,0,0,17.14,48.57,0.640,0.450,20.08
0.980,-0.0787,-0.0,0.2096,0.0,-0.3358,6.7258,0,0,17.14,48.57,0.630,0.440,20.07
1.000,-0.0787,-0.0,0.2096,0.0,-0.3566,6.7222,1,0,17.14,48.57,0.630,0.460,20.07
1.020,-0.0787,-0.0,0.2096,0.0,-0.3566,6.7222,-14,0,17.14,48.57,0.660,0.450,20.07
1.040,-0.2176,-0.0,0.2581,0.0,-0.3566,6.7222,-15,0,17.14,48.57,0.680,0.450,20.09
1.060,-0.2176,-0.0,0.2581,0.0,-0.3647,6.7279,-20,0,17.14,48.57,0.750,0.450,20.08
1.080,-0.2630,-0.0,0.2884,0.0,-0.3647,6.7279,-2,0,17.14,48.57,0.740,0.450,20.07
