t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms
0.0000,-0.0901,0.8855,0.2358,8.8008,0.000,0.000,0.090,0.000,0.0,-0.0,6.3,0.0,-6.3,398.5,0,0,0.000,0.000,0.04
0.0050,-0.0901,0.8855,0.2358,8.8008,0.000,0.000,0.143,0.000,0.0,-0.0,10.0,0.0,-10.0,398.5,0,0,0.000,0.000,44.70
0.0100,-0.0901,0.8855,0.2358,8.8008,0.000,0.000,0.175,0.000,0.0,-0.0,12.3,0.0,-12.3,398.5,-2,95,0.340,0.400,7.45
0.0150,-0.0901,0.8855,0.2358,8.8008,0.000,0.000,0.195,0.000,0.0,-0.0,13.6,0.0,-13.6,398.5,-1,259,0.370,0.050,5.07
0.0200,-0.0901,0.8855,0.2358,8.8008,0.000,0.000,0.206,0.000,0.0,-0.0,14.4,0.0,-14.4,398.5,-1,292,0.400,0.130,7.16
0.0250,-0.0901,0.8855,0.2358,8.8008,0.000,0.000,0.213,0.000,0.0,-0.0,14.9,0.0,-14.9,398.5,-1,243,0.380,0.080,7.29
0.0300,-0.0901,0.8855,0.2358,8.8008,0.000,0.000,0.128,0.000,0.0,-0.0,9.0,0.0,-9.0,398.5,-2,277,0.370,0.210,8.19
0.0350,-0.0901,0.8855,0.2358,8.8008,0.000,0.000,0.077,0.000,0.0,-0.0,5.4,0.0,-5.4,398.5,-2,340,0.360,0.140,10.26
0.0400,-0.0901,0.8855,0.2358,8.8008,0.000,0.000,0.046,0.000,0.0,-0.0,3.2,0.0,-3.2,398.5,-1,336,0.360,0.220,5.25
0.0450,-0.0901,0.8855,0.2358,8.8008,0.000,0.000,0.028,0.000,0.0,-0.0,1.9,0.0,-1.9,398.5,0,319,0.340,0.360,5.61
0.0500,-0.0970,0.8843,0.2358,8.8008,0.000,0.000,0.017,0.000,0.0,-0.0,1.2,0.0,-1.2,397.9,1,311,0.360,0.510,5.07
0.0550,-0.0970,0.8843,0.2358,8.8008,0.000,0.000,0.010,0.000,0.0,-0.0,0.7,0.0,-0.7,397.9,0,346,0.390,0.550,6.30
0.0600,-0.0970,0.8843,0.2358,8.8008,-0.017,-0.118,0.006,0.000,-0.3,2.4,0.4,0.0,-0.1,400.3,0,369,0.390,0.520,5.08
0.0650,-0.0970,0.8843,0.2341,8.8076,-0.031,-0.217,0.004,0.000,-0.6,4.3,0.3,0.0,0.4,402.3,0,376,0.360,0.570,10.63
0.0700,-0.0970,0.8843,0.2341,8.8076,-0.043,-0.302,0.002,0.000,-0.9,6.0,0.2,0.0,0.7,404.0,0,359,0.360,0.680,5.08
0.0750,-0.0970,0.8843,0.2341,8.8076,-0.053,-0.374,0.001,0.000,-1.1,7.5,0.1,0.0,1.0,405.4,0,364,0.370,0.750,7.49
0.0800,-0.0970,0.8843,0.2341,8.8076,-0.062,-0.436,0.001,0.000,-1.2,8.7,0.1,0.0,1.2,406.7,0,381,0.370,0.760,5.60
0.0850,-0.0970,0.8843,0.2341,8.8076,-0.070,-0.488,0.000,0.000,-1.4,9.8,0.0,0.0,1.4,407.7,0,395,0.380,0.710,5.07
0.0900,-0.0970,0.8418,0.2341,8.8076,-0.076,-0.532,0.000,0.000,-1.5,10.6,0.0,0.0,1.5,389.4,0,404,0.390,0.660,5.07
0.0950,-0.0970,0.8418,0.2341,8.8076,-0.081,-0.570,0.000,0.000,-1.6,11.4,0.0,0.0,1.6,390.2,0,385,0.370,0.620,6.19
0.1000,-0.0970,0.8418,0.2341,8.8076,-0.086,-0.669,0.000,0.000,-1.7,13.4,0.0,0.0,1.7,392.2,0,371,0.380,0.610,5.07
0.1050,-0.0970,0.8418,0.2341,8.8076,-0.090,-0.753,0.000,0.000,-1.8,15.1,0.0,0.0,1.8,393.9,0,358,0.370,0.590,5.43
0.1100,-0.0970,0.8418,0.2341,8.8076,-0.093,-0.825,0.000,0.000,-1.9,16.5,0.0,0.0,1.9,395.3,0,400,0.370,0.420,7.96
0.1150,-0.0970,0.8418,0.2341,8.8076,-0.096,-0.886,0.000,0.000,-1.9,17.7,0.0,0.0,1.9,396.5,0,409,0.370,0.150,9.82
0.1200,-0.0970,0.8418,0.2341,8.8076,-0.098,-0.938,0.000,0.000,-2.0,18.8,0.0,0.0,2.0,397.5,0,389,0.380,0.090,5.07
0.1250,-0.0970,0.8418,0.2341,8.8076,-0.100,-0.982,0.000,0.000,-2.0,19.6,0.0,0.0,2.0,398.4,0,372,0.370,0.100,5.80
0.1300,-0.1005,0.7774,0.2341,8.8076,-0.102,-1.019,0.000,0.000,-2.0,20.4,0.0,0.0,2.0,370.2,0,392,0.360,0.010,5.08
0.1350,-0.1005,0.7774,0.2341,8.8076,-0.104,-1.051,0.000,0.000,-2.1,21.0,0.0,0.0,2.1,370.8,1,404,0.390,0.080,6.30
0.1400,-0.1005,0.7774,0.2341,8.8076,-0.054,-1.078,0.000,0.000,-1.1,21.6,0.0,0.0,1.1,371.4,0,391,0.400,0.100,5.08
0.1450,-0.1005,0.7774,0.2341,8.8076,-0.013,-1.101,0.000,0.000,-0.3,22.0,0.0,0.0,0.3,371.8,0,338,0.380,0.040,10.25
0.1500,-0.1005,0.7774,0.2341,8.8076,0.023,-1.120,0.000,0.000,0.5,22.4,0.0,0.0,-0.5,372.2,0,349,0.390,0.090,5.08
0.1550,-0.1005,0.7774,0.2341,8.8076,0.053,-1.137,0.000,0.000,1.1,22.7,0.0,0.0,-1.1,372.6,0,369,0.390,0.090,7.21
0.1600,-0.1005,0.7774,0.2341,8.8076,0.079,-1.151,0.000,0.000,1.6,23.0,0.0,0.0,-1.6,372.8,0,382,0.360,0.090,5.07
0.1650,-0.1005,0.7774,0.2341,8.8076,0.100,-1.163,0.000,0.000,2.0,23.3,0.0,0.0,-2.0,373.1,0,382,0.410,0.150,5.65
0.1700,-0.0972,0.7141,0.2341,8.8076,0.119,-1.173,0.000,0.000,2.4,23.5,0.0,0.0,-2.4,344.8,0,369,0.370,0.260,5.07
0.1750,-0.0972,0.7141,0.2341,8.8076,0.135,-1.182,0.000,0.000,2.7,23.6,0.0,0.0,-2.7,345.0,0,358,0.380,0.400,6.26
0.1800,-0.0972,0.7141,0.2341,8.8076,0.131,-1.223,0.000,0.000,2.6,24.5,0.0,0.0,-2.6,345.8,0,362,0.390,0.430,5.07
0.1850,-0.0972,0.7141,0.2341,8.8076,0.128,-1.258,0.000,0.000,2.6,25.2,0.0,0.0,-2.6,346.5,0,383,0.370,0.440,11.42
0.1900,-0.0972,0.7141,0.2341,8.8076,0.126,-1.287,0.000,0.000,2.5,25.7,0.0,0.0,-2.5,347.1,0,357,0.370,0.550,7.27
0.1950,-0.0972,0.7141,0.2341,8.8076,0.124,-1.312,0.000,0.000,2.5,26.2,0.0,0.0,-2.5,347.6,0,335,0.380,0.690,5.06
0.2000,-0.0972,0.7141,0.2341,8.8076,0.122,-1.334,0.000,0.000,2.4,26.7,0.0,0.0,-2.4,348.0,0,320,0.390,0.760,5.07
0.2050,-0.0972,0.7141,0.2341,8.8076,0.120,-1.352,0.000,0.000,2.4,27.0,0.0,0.0,-2.4,348.4,-1,336,0.390,0.760,5.07
