t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,roll_rate_dps,pitch_rate_dps,d_roll_erpm,d_pitch_erpm,dt_ms
0.000,0.3232,-0.0,-0.8413,0.0,0.0031,8.1291,0,0,0.00,0.00,0.000,0.000,0.00,0.00,0.0,0.0,0.01
0.020,0.3232,-0.0,-0.8413,0.0,0.0031,8.1291,0,0,0.00,0.00,0.000,0.000,0.00,0.00,0.0,0.0,40.42
0.040,0.3327,-0.0,-0.8115,0.0,-0.4643,5.7123,0,1,0.00,0.00,0.000,0.250,0.00,0.00,0.0,0.0,20.07
0.060,0.3327,-0.0,-0.8115,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.010,0.390,0.00,0.00,0.0,0.0,20.08
0.080,0.3396,-0.0,-0.8104,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.020,0.380,0.00,0.00,0.0,0.0,20.07
0.100,0.3396,-0.0,-0.8104,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,0.00,0.00,0.0,0.0,20.07
0.120,0.3396,-0.0,-0.8104,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,0.00,0.00,0.0,0.0,20.07
0.140,0.3396,-0.0,-0.8104,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.390,0.00,0.00,0.0,0.0,20.07
0.160,0.3396,-0.0,-0.8104,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,0.00,0.00,0.0,0.0,20.07
0.180,0.3396,-0.0,-0.8104,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,0.00,0.00,0.0,0.0,20.09
0.200,0.3396,-0.0,-0.8104,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.370,0.00,0.00,0.0,0.0,20.07
0.220,0.3396,-0.0,-0.8104,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.040,0.370,0.00,0.00,0.0,0.0,20.09
0.240,0.3454,-0.0,-0.8024,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,0.00,0.00,0.0,0.0,20.08
0.260,0.3454,-0.0,-0.8024,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,0.00,0.00,0.0,0.0,20.07
0.280,0.3465,-0.0,-0.8093,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.040,0.370,0.00,0.00,0.0,0.0,20.07
0.300,0.3465,-0.0,-0.8093,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.370,0.00,0.00,0.0,0.0,20.06
0.320,0.3465,-0.0,-0.8093,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,0.00,0.00,0.0,0.0,20.09
0.340,0.3465,-0.0,-0.8093,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.370,0.00,0.00,0.0,0.0,20.08
0.360,0.3465,-0.0,-0.8093,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,0.00,0.00,0.0,0.0,20.07
0.380,0.3465,-0.0,-0.8093,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,0.00,0.00,0.0,0.0,20.09
0.400,0.3465,-0.0,-0.8093,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,0.00,0.00,0.0,0.0,20.07
0.420,0.3465,-0.0,-0.8093,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.370,0.00,0.00,0.0,0.0,20.08
0.440,0.3465,-0.0,-0.8093,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.370,0.00,0.00,0.0,0.0,20.06
0.460,0.3465,-0.0,-0.8093,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.370,0.00,0.00,0.0,0.0,20.07
0.480,0.3545,-0.0,-0.8152,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.390,0.00,0.00,0.0,0.0,20.07
0.500,0.3545,-0.0,-0.8152,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.370,0.00,0.00,0.0,0.0,20.06
0.520,0.3545,-0.0,-0.8152,0.0,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.370,0.00,0.00,0.0,0.0,20.07
0.540,0.3476,-0.0,-0.8162,0.3,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,0.00,0.03,0.0,0.3,20.06
0.560,0.3476,-0.0,-0.8162,0.5,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.370,0.00,0.06,0.0,0.5,20.07
0.580,0.3476,-0.0,-0.8162,0.9,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,0.00,0.11,0.0,0.9,20.07
0.600,0.3476,-0.0,-0.8162,1.1,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,0.00,0.14,0.0,1.1,20.06
0.620,0.3476,-0.0,-0.8162,1.3,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.370,0.00,0.17,0.0,1.3,20.07
0.640,0.3465,0.5,-0.8093,0.9,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.150,-0.03,0.12,-0.5,0.9,20.06
0.660,0.3465,0.9,-0.8093,0.7,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,-0.06,0.08,-0.9,0.7,20.07
0.680,0.3407,0.1,-0.8173,0.2,-0.4643,5.7123,0,0,0.00,0.00,0.040,0.370,-0.01,0.02,-0.1,0.2,20.09
0.700,0.3407,-0.4,-0.8173,-0.1,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.390,0.03,-0.02,0.4,-0.1,20.07
0.720,0.3407,-0.8,-0.8173,-0.4,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.370,0.05,-0.05,0.8,-0.4,20.04
0.740,0.3465,-0.1,-0.8093,-0.3,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,0.00,-0.03,0.1,-0.3,20.06
0.760,0.3465,0.5,-0.8093,-0.2,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,-0.03,-0.02,-0.5,-0.2,20.08
0.780,0.3465,0.3,-0.8093,-0.1,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,-0.02,-0.02,-0.3,-0.1,20.08
0.800,0.3465,0.2,-0.8093,-0.1,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,-0.02,-0.01,-0.2,-0.1,20.07
0.820,0.3465,0.2,-0.8093,-0.1,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,-0.01,-0.01,-0.2,-0.1,20.07
0.840,0.3466,0.1,-0.8093,-0.3,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.390,-0.01,-0.04,-0.1,-0.3,20.07
0.860,0.3466,0.1,-0.8093,-0.5,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,-0.01,-0.06,-0.1,-0.5,20.08
0.880,0.3466,0.1,-0.8093,-0.6,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,-0.00,-0.08,-0.1,-0.6,20.07
0.900,0.3466,0.0,-0.8093,-0.7,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,-0.00,-0.09,-0.0,-0.7,20.07
0.920,0.3466,0.0,-0.8093,-0.8,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,-0.00,-0.09,-0.0,-0.8,20.07
0.940,0.3466,-1.0,-0.8093,-0.5,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.370,0.07,-0.07,1.0,-0.5,20.07
0.960,0.3466,-1.7,-0.8093,-0.4,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,0.11,-0.05,1.7,-0.4,20.08
0.980,0.3476,-0.7,-0.8162,-0.5,-0.4643,5.7123,0,0,0.00,0.00,0.030,0.380,0.05,-0.07,0.7,-0.5,20.07
1.000,0.3476,0.0,-0.8162,-0.6,-0.4631,5.7054,0,0,0.00,0.00,0.030,0.380,-0.00,-0.08,-0.0,-0.6,20.07
1.020,0.3476,0.5,-0.8162,-0.7,-0.4631,5.7054,0,0,0.00,0.00,0.030,0.380,-0.03,-0.09,-0.5,-0.7,20.07
1.040,0.3476,0.9,-0.8162,-0.5,-0.4631,5.7054,0,0,0.00,0.00,0.040,0.380,-0.06,-0.06,-0.9,-0.5,20.07
1.060,0.3476,1.1,-0.8162,-0.4,-0.4631,5.7054,0,0,0.00,0.00,0.030,0.380,-0.07,-0.04,-1.1,-0.4,20.07
1.080,0.3466,1.3,-0.8093,-0.2,-0.4631,5.7054,0,0,0.00,0.00,0.030,0.360,-0.09,-0.03,-1.3,-0.2,20.07
1.100,0.3466,1.4,-0.8093,-0.2,-0.4631,5.7054,0,0,0.00,0.00,0.030,0.370,-0.09,-0.02,-1.4,-0.2,20.07
1.120,0.3476,1.5,-0.8162,-0.1,-0.4631,5.7054,0,0,0.00,0.00,0.030,0.380,-0.10,-0.02,-1.5,-0.1,20.07
1.140,0.3476,1.0,-0.8162,0.2,-0.4631,5.7054,0,0,0.00,0.00,0.030,0.380,-0.07,0.02,-1.0,0.2,20.07
1.160,0.3476,0.7,-0.8162,0.4,-0.4631,5.7054,0,0,0.00,0.00,0.030,0.390,-0.05,0.05,-0.7,0.4,20.07
1.180,0.3476,0.5,-0.8162,0.5,-0.4631,5.7054,0,0,0.00,0.00,0.030,0.380,-0.03,0.07,-0.5,0.5,20.07
1.200,0.3476,0.4,-0.8162,0.7,-0.4700,5.7042,0,0,0.00,0.00,0.030,0.370,-0.02,0.08,-0.4,0.7,20.07
1.220,0.3476,0.2,-0.8162,0.7,-0.4700,5.7042,0,0,0.00,0.00,0.040,0.370,-0.02,0.09,-0.2,0.7,20.07
1.240,0.3476,0.7,-0.8162,0.2,-0.4688,5.6973,0,0,0.00,0.00,0.040,0.370,-0.05,0.03,-0.7,0.2,20.07
1.260,0.3476,1.0,-0.8162,-0.1,-0.4688,5.6973,0,0,0.00,0.00,0.040,0.380,-0.07,-0.01,-1.0,-0.1,20.07
1.280,0.3546,0.7,-0.8151,-0.3,-0.4688,5.6973,0,0,0.00,0.00,0.040,0.380,-0.05,-0.04,-0.7,-0.3,20.07
1.300,0.3546,0.5,-0.8151,-0.5,-0.4688,5.6973,0,0,0.00,0.00,0.030,0.170,-0.03,-0.06,-0.5,-0.5,20.07
1.320,0.3546,0.3,-0.8151,-0.6,-0.4688,5.6973,0,0,0.00,0.00,0.030,0.390,-0.02,-0.08,-0.3,-0.6,20.08
1.340,0.3546,-1.3,-0.8151,-0.2,-0.4688,5.6973,0,0,0.00,0.00,0.030,0.390,0.09,-0.02,1.3,-0.2,20.07
1.360,0.3546,-2.4,-0.8151,0.2,-0.4688,5.6973,0,0,0.00,0.00,0.040,0.400,0.16,0.02,2.4,0.2,20.07
1.380,0.3614,-2.2,-0.8141,0.1,-0.4688,5.6973,0,0,0.00,0.00,0.030,0.390,0.15,0.01,2.2,0.1,20.08
1.400,0.3614,-2.0,-0.8141,0.1,-0.4688,5.6973,0,0,0.00,0.00,0.030,0.400,0.14,0.01,2.0,0.1,20.07
1.420,0.3694,-1.9,-0.8199,0.1,-0.4688,5.6973,0,0,0.00,0.00,0.040,0.410,0.13,0.01,1.9,0.1,20.08
1.440,0.3694,-1.3,-0.8199,-0.2,-0.4688,5.6973,0,0,0.00,0.00,0.040,0.400,0.09,-0.03,1.3,-0.2,20.07
1.460,0.3694,-0.9,-0.8199,-0.4,-0.4688,5.6973,0,0,0.00,0.00,0.030,0.380,0.06,-0.05,0.9,-0.4,20.07
1.480,0.3694,-1.2,-0.8199,-0.0,-0.4688,5.6973,0,0,0.00,0.00,0.050,0.390,0.08,-0.00,1.2,-0.0,20.07
1.500,0.3694,-1.3,-0.8199,0.2,-0.4688,5.6973,0,0,0.00,0.00,0.030,0.390,0.09,0.03,1.3,0.2,20.07
1.520,0.3683,-1.4,-0.8130,0.4,-0.4688,5.6973,0,0,0.00,0.00,0.040,0.380,0.10,0.06,1.4,0.4,20.07
1.540,0.3683,-1.0,-0.8130,0.3,-0.4700,5.7042,0,0,0.00,0.00,0.050,0.400,0.07,0.04,1.0,0.3,20.08
1.560,0.3683,-0.7,-0.8130,0.2,-0.4700,5.7042,0,0,0.00,0.00,0.040,0.400,0.05,0.03,0.7,0.2,20.07
1.580,0.3683,-0.5,-0.8130,0.2,-0.4700,5.7042,0,0,0.00,0.00,0.050,0.390,0.03,0.02,0.5,0.2,20.07
1.600,0.3683,-0.3,-0.8130,0.1,-0.4700,5.7042,0,0,0.00,0.00,0.050,0.390,0.02,0.01,0.3,0.1,20.07
1.620,0.3683,-0.2,-0.8130,0.1,-0.4700,5.7042,0,0,0.00,0.00,0.050,0.400,0.02,0.01,0.2,0.1,20.07
1.640,0.3683,-0.2,-0.8130,0.1,-0.4631,5.7054,0,0,0.00,0.00,0.040,0.400,0.01,0.01,0.2,0.1,20.09
1.660,0.3683,-0.1,-0.8130,0.0,-0.4631,5.7054,0,0,0.00,0.00,0.050,0.390,0.01,0.00,0.1,0.0,20.07
1.680,0.3683,-0.1,-0.8130,0.0,-0.4631,5.7054,0,0,0.00,0.00,0.050,0.380,0.01,0.00,0.1,0.0,20.07
