t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,roll_rate_dps,pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,dt_ms
0.000,-0.5254,412.4,-0.1829,-1.5,-0.7016,7.3043,0,0,0.00,0.00,0.000,0.000,0.00,0.00,0.0,0.0,7.9,-1.5,0.01
0.020,-0.8092,639.4,-0.2817,-1.5,-0.7016,7.3043,0,0,0.00,0.00,0.000,0.000,0.00,0.00,0.0,0.0,7.9,-1.5,20.07
0.040,-0.9697,767.9,-0.3260,-1.5,-0.7016,7.3043,285,0,0.00,0.00,0.260,0.290,0.00,0.00,0.0,0.0,7.9,-1.5,20.07
0.060,-1.0564,837.0,-0.3500,2.1,-0.6993,7.3484,463,0,2.86,0.00,0.160,0.300,0.00,0.03,0.0,0.3,8.2,1.8,20.23
0.080,-1.1033,874.5,-0.3629,2.2,-0.6993,7.3484,564,0,8.57,0.00,1.190,0.310,0.00,0.06,0.0,0.5,8.1,1.8,20.09
0.100,-1.1151,884.9,-0.3750,0.4,-0.7541,7.3515,660,0,11.43,0.00,1.800,0.280,0.91,-0.20,7.3,-1.6,-0.1,2.0,20.07
0.120,-1.1215,885.0,-0.3816,-1.0,-0.7541,7.3515,767,0,17.14,0.00,1.630,0.280,1.54,-0.37,12.3,-3.0,-0.1,2.0,20.08
0.140,-1.0080,790.6,-0.4256,-2.0,-0.7541,7.3515,803,0,20.00,0.00,1.560,0.300,1.99,-0.50,15.9,-4.0,-0.1,2.0,20.08
0.160,-0.9467,724.5,-0.4494,-12.5,-0.7503,7.3023,820,0,22.86,0.00,1.920,0.300,4.04,-1.35,32.3,-10.8,0.5,-1.7,20.09
0.180,-0.9136,686.5,-0.4623,-17.3,-0.7503,7.3023,794,0,28.57,0.00,1.830,0.300,5.48,-1.95,43.9,-15.6,0.5,-1.7,20.07
0.200,-0.6570,464.1,-0.5628,-24.5,-0.7397,7.3046,773,-1,34.29,0.00,1.080,0.340,7.43,-2.88,59.4,-23.0,2.0,-1.5,20.07
0.220,-0.5184,342.3,-0.6171,-29.7,-0.7397,7.3046,772,-1,37.14,0.00,0.560,0.370,8.79,-3.53,70.3,-28.2,2.0,-1.5,20.09
0.240,-0.1802,-80.0,-0.7599,-33.3,-0.7397,7.3046,594,-8,40.00,0.00,0.500,0.420,9.75,-3.98,78.0,-31.8,2.0,-1.5,20.09
0.260,0.0025,-78.4,-0.8370,-33.3,-0.7342,7.3062,427,-13,42.86,0.00,0.570,0.430,9.44,-3.99,75.5,-32.0,2.8,-1.4,20.07
0.280,0.1011,-76.7,-0.8787,-33.4,-0.7342,7.3062,74,-21,42.86,0.00,0.340,0.420,9.23,-4.00,73.8,-32.0,2.8,-1.4,20.07
0.300,0.3237,-68.3,-0.9783,-27.7,-0.6919,7.3076,81,-23,45.71,0.00,0.010,0.130,7.40,-3.31,59.2,-26.5,9.1,-1.3,20.07
0.320,0.4439,-58.0,-1.0321,-436.7,-0.6919,7.3076,28,-24,45.71,0.00,0.140,0.390,6.12,-2.82,49.0,-22.5,9.1,-1.2,20.08
0.340,0.5295,-474.5,-1.0753,-451.2,-0.6919,7.3076,-12,-19,45.71,0.00,0.160,0.370,5.22,-2.48,41.8,-19.8,9.0,-1.2,20.07
0.360,0.5758,-489.5,-1.0987,-451.4,-0.7009,7.3027,-29,-399,45.71,-2.86,0.230,0.600,2.65,-1.30,21.2,-10.4,7.6,-1.6,20.08
0.380,0.6008,-495.0,-1.1113,-449.9,-0.7009,7.3027,-393,-419,42.86,-5.71,0.050,0.030,0.85,-0.47,6.8,-3.8,7.6,-1.6,20.07
0.400,0.5025,-396.6,-1.0676,-423.2,-0.7062,7.3031,-356,-400,40.00,-5.71,0.070,0.180,-1.52,0.68,-12.2,5.4,6.8,-1.6,20.08
0.420,0.4494,18.7,-1.0441,-407.3,-0.7062,7.3031,-445,-389,37.14,-8.57,0.300,0.050,-3.18,1.48,-25.4,11.8,6.8,-1.6,20.07
0.440,0.2341,28.0,-0.9428,14.8,-0.7062,7.3031,-402,-417,34.29,-11.43,0.490,0.340,-4.34,2.04,-34.7,16.4,6.7,-1.5,20.08
0.460,0.1179,40.8,-0.8881,21.6,-0.7140,7.3089,-123,-402,34.29,-14.29,0.220,0.660,-5.79,2.84,-46.3,22.7,5.5,-1.1,20.07
0.480,0.0551,49.0,-0.8586,26.1,-0.7140,7.3089,-187,-68,34.29,-14.29,0.370,0.340,-6.81,3.40,-54.5,27.2,5.5,-1.1,20.07
0.500,-0.1697,50.8,-0.7415,24.4,-0.7669,7.3052,-99,-27,31.43,-14.29,0.780,0.530,-6.04,3.22,-48.3,25.7,-2.4,-1.4,20.08
0.520,-0.2911,46.5,-0.6782,23.4,-0.7669,7.3052,-34,-6,31.43,-14.29,0.700,0.570,-5.50,3.09,-44.0,24.7,-2.4,-1.4,20.09
0.540,-0.4123,43.4,-0.6041,22.7,-0.7669,7.3052,-5,0,31.43,-14.29,0.700,0.540,-5.13,3.00,-41.0,24.0,-2.4,-1.4,20.07
0.560,-0.4778,30.7,-0.5640,14.8,-0.7968,7.3064,5,1,31.43,-14.29,0.720,0.550,-2.99,2.00,-23.9,16.0,-6.9,-1.3,20.07
0.580,-0.5131,429.2,-0.5424,9.2,-0.7968,7.3064,32,2,31.43,-14.29,0.670,0.510,-1.49,1.30,-11.9,10.4,-6.8,-1.2,20.07
0.600,-0.4591,0.1,-0.5497,0.2,-0.7917,7.3075,47,0,31.43,-14.29,0.480,0.500,0.74,0.17,5.9,1.4,-6.0,-1.2,20.08
0.620,-0.4299,-12.4,-0.5537,-6.1,-0.7917,7.3075,338,0,34.29,-14.29,0.570,0.490,2.30,-0.62,18.4,-4.9,-6.0,-1.2,20.09
