t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,i_roll_erpm,i_pitch_erpm,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,0.4353,0.5638,0.0024,0.2392,0.000,0.017,0.000,0.000,0.0,0.0,0.0,0.2,0.0,0.0,-0.0,0.2,0,0,0.000,0.000,0.01,
0.0050,0.4353,0.5638,0.0024,0.2392,0.000,0.014,0.000,0.000,0.0,0.0,0.0,0.1,0.0,0.0,-0.0,0.1,0,0,0.000,0.000,43.10,
0.0100,0.4353,0.5638,0.0024,0.2392,0.000,0.012,0.000,0.000,0.0,0.0,0.0,0.1,0.0,0.0,-0.0,0.1,0,0,0.370,0.000,6.37,
0.0150,0.4303,0.5687,0.0024,0.2392,0.000,0.010,0.000,0.000,0.0,0.0,0.0,0.1,0.0,0.0,-0.0,0.1,0,0,0.230,0.000,5.07,
0.0200,0.4303,0.5687,0.0024,0.2392,0.000,0.009,0.000,0.000,0.0,0.0,0.0,0.1,0.0,0.0,-0.0,0.1,0,0,0.410,0.000,6.20,
0.0250,0.4303,0.5687,0.0024,0.2392,0.000,0.007,0.000,0.000,0.0,0.0,0.0,0.1,0.0,0.0,-0.0,0.1,0,0,0.400,0.000,5.07,
0.0300,0.4303,0.5687,0.0024,0.2392,0.000,0.006,0.000,0.000,0.0,0.0,0.0,0.1,0.0,0.0,-0.0,0.1,0,0,0.420,0.000,5.90,
0.0350,0.4303,0.5687,0.0024,0.2392,0.000,0.005,0.000,0.000,0.0,0.0,0.0,0.1,0.0,0.0,-0.0,0.1,0,0,0.420,0.000,8.09,
0.0400,0.4303,0.5687,0.0024,0.2392,0.000,0.005,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.400,0.000,7.55,
0.0450,0.4303,0.5687,0.0024,0.2392,0.000,0.004,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.420,0.000,5.07,
0.0500,0.4303,0.5687,0.0024,0.2392,0.000,0.003,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.410,0.000,5.06,
0.0550,0.4303,0.5687,0.0024,0.2392,0.000,0.003,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.410,0.000,5.06,
0.0600,0.4303,0.5687,0.0024,0.2392,0.000,0.002,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.430,0.000,5.07,
0.0650,0.4303,0.5687,0.0024,0.2392,0.000,0.002,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.430,0.000,7.14,
0.0700,0.4303,0.5687,0.0024,0.2392,0.000,0.002,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.420,0.000,5.40,
0.0750,0.4303,0.5687,0.0024,0.2392,0.000,0.001,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.420,0.000,7.76,
0.0800,0.4303,0.5687,0.0024,0.2392,0.000,0.001,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.410,0.000,5.07,
0.0850,0.4303,0.5687,0.0024,0.2392,0.000,0.001,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.420,0.000,7.07,
0.0900,0.4303,0.5687,0.0024,0.2392,0.000,0.001,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.420,0.000,5.06,
0.0950,0.4303,0.5687,0.0024,0.2392,0.000,0.001,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.430,0.000,5.06,
0.1000,0.4303,0.5687,0.0024,0.2392,0.000,0.001,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.430,0.000,5.08,
0.1050,0.4303,0.5687,0.0024,0.2392,0.000,0.001,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.420,0.000,5.26,
0.1100,0.4303,0.5687,0.0024,0.2392,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.430,0.000,5.07,
0.1150,0.4303,0.5687,0.0024,0.2392,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.420,0.000,5.07,
0.1200,0.4303,0.5687,0.0024,0.2392,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.430,0.000,7.62,
0.1250,0.4303,0.5687,0.0024,0.2392,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.420,0.000,7.83,
0.1300,0.4303,0.5687,0.0024,0.2392,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.420,0.000,5.08,
0.1350,0.4303,0.5687,0.0024,0.2392,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.410,0.000,5.08,
0.1400,0.4303,0.5687,0.0024,0.2392,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.440,0.000,5.07,
0.1450,0.4303,0.5687,0.0024,0.2392,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.410,0.000,5.08,
0.1500,0.4303,0.5687,0.0024,0.2392,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.420,0.000,5.94,
0.1550,0.4303,0.5687,0.0024,0.2392,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.400,0.000,5.08,
0.1600,0.4303,0.5687,0.0024,0.2392,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.420,0.000,10.33,
0.1650,0.4303,0.5687,0.0024,0.2392,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0,0,0.410,0.000,5.07,
