t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,1.0506,0.4894,0.1184,8.7022,0.000,0.000,0.045,0.000,0.0,0.0,0.0,0.0,-630.3,0.0,0,0,0.000,0.000,0.01,
0.0050,1.0513,0.4824,0.1184,8.7022,0.000,0.000,0.072,0.000,0.0,0.0,0.0,0.0,-630.8,0.0,0,0,0.000,0.000,40.11,
0.0100,1.0513,0.4824,0.1184,8.7022,0.000,0.000,0.088,0.000,0.0,0.0,0.0,0.0,-630.8,0.0,-156,0,0.880,0.360,7.68,
0.0150,1.0513,0.4824,0.1184,8.7022,0.000,0.000,0.097,0.000,0.0,0.0,0.0,0.0,-630.8,0.0,-429,0,0.350,0.400,5.07,
0.0200,1.0513,0.4824,0.1184,8.7022,0.000,0.000,0.103,0.000,0.0,0.0,0.0,0.0,-630.8,0.0,-552,0,0.180,0.400,5.63,
0.0250,1.0506,0.4894,0.1184,8.7022,0.000,0.000,0.107,0.000,0.0,0.0,0.0,0.0,-630.3,0.0,-512,0,0.050,0.410,5.08,
0.0300,1.0506,0.4894,0.1179,8.7020,0.000,0.000,0.109,0.000,0.0,0.0,0.0,0.0,-630.3,0.0,-445,0,0.430,0.400,6.11,
0.0350,1.0506,0.4894,0.1179,8.7020,0.000,0.000,0.065,0.000,0.0,0.0,0.0,0.0,-630.3,0.0,-430,0,0.840,0.380,9.92,
0.0400,1.0506,0.4894,0.1179,8.7020,0.000,0.000,0.039,0.000,0.0,0.0,0.0,0.0,-630.3,0.0,-453,0,1.180,0.400,10.58,
0.0450,1.0506,0.4894,0.1179,8.7020,0.000,0.000,0.023,0.000,0.0,0.0,0.0,0.0,-630.3,0.0,-444,0,1.400,0.410,5.08,
0.0500,1.0506,0.4894,0.1179,8.7020,0.000,0.000,0.014,0.000,0.0,0.0,0.0,0.0,-630.3,0.0,-440,0,1.550,0.390,5.07,
0.0550,1.0506,0.4894,0.1179,8.7020,0.000,0.000,0.008,0.000,0.0,0.0,0.0,0.0,-630.3,0.0,-461,0,1.700,0.390,5.07,
0.0600,1.0506,0.4894,0.1179,8.7020,0.000,0.000,0.005,0.000,0.0,0.0,0.0,0.0,-630.3,0.0,-490,0,1.630,0.380,5.08,
0.0650,1.0444,0.4817,0.1179,8.7020,0.000,0.000,0.003,0.000,0.0,0.0,0.0,0.0,-626.6,0.0,-472,0,1.630,0.400,5.07,
0.0700,1.0444,0.4817,0.1335,8.7029,-0.336,-0.118,0.181,0.000,-3.4,-0.0,0.0,0.0,-623.3,0.0,-523,0,1.820,0.030,11.42,
0.0750,1.0444,0.4817,0.1335,8.7029,-0.621,-0.217,0.288,0.000,-6.2,-0.0,0.0,0.0,-620.4,0.0,-508,0,1.300,0.380,10.18,
0.0800,1.0444,0.4817,0.1335,8.7029,-0.864,-0.302,0.352,0.000,-8.6,-0.0,0.0,0.0,-618.0,0.0,-520,0,1.430,0.380,5.08,
0.0850,1.0444,0.4817,0.1335,8.7029,-1.070,-0.374,0.390,0.000,-10.7,-0.0,0.0,0.0,-615.9,0.0,-556,1,1.180,0.400,5.69,
0.0900,1.0444,0.4817,0.1335,8.7029,-1.245,-0.436,0.413,0.000,-12.5,-0.0,0.0,0.0,-614.2,0.0,-552,0,0.970,0.360,5.08,
0.0950,1.0444,0.4817,0.1335,8.7029,-1.394,-0.488,0.427,0.000,-13.9,-0.0,0.0,0.0,-612.7,0.0,-549,0,1.010,0.390,5.63,
0.1000,0.8397,0.4238,0.1335,8.7029,-1.521,-0.532,0.435,0.000,-15.2,-0.0,0.0,0.0,-488.6,0.0,-553,0,1.060,0.370,5.08,
0.1050,0.8397,0.4238,0.1492,8.7032,-1.628,-0.570,0.440,0.000,-16.3,-0.0,0.0,0.0,-487.5,0.0,-574,0,1.090,0.400,6.68,
0.1100,0.8397,0.4238,0.1492,8.7032,-2.475,-0.669,0.130,0.000,-24.8,-0.0,0.0,0.0,-479.1,0.0,-461,1,0.930,0.410,9.52,
0.1150,0.8397,0.4238,0.1492,8.7032,-3.195,-0.753,-0.056,0.000,-31.9,-0.0,0.0,0.0,-471.9,0.0,-513,1,1.300,0.390,10.39,
0.1200,0.8397,0.4238,0.1492,8.7032,-3.807,-0.825,-0.168,0.000,-38.1,-0.0,0.0,0.0,-465.8,0.0,-507,0,1.200,0.390,5.07,
0.1250,0.8397,0.4238,0.1492,8.7032,-4.327,-0.886,-0.235,0.000,-43.3,-0.0,0.0,0.0,-460.6,0.0,-503,0,1.280,0.410,5.08,
0.1300,0.8397,0.4238,0.1492,8.7032,-4.769,-0.938,-0.275,0.000,-47.7,-0.0,0.0,0.0,-456.1,0.0,-515,0,1.310,0.390,5.06,
0.1350,0.8397,0.4238,0.1492,8.7032,-5.145,-0.982,-0.300,0.000,-51.4,-0.0,0.0,0.0,-452.4,0.0,-517,0,1.240,0.400,5.07,
0.1400,0.4205,0.3982,0.1492,8.7032,-5.464,-1.019,-0.314,0.000,-54.6,-0.0,0.0,0.0,54.6,0.0,-513,0,1.220,0.390,5.06,
0.1450,0.4205,0.3982,0.1271,8.7059,-6.054,-0.749,-0.233,0.045,-60.5,-0.0,0.0,0.0,60.5,0.0,-520,0,1.050,0.400,10.68,
0.1500,0.4205,0.3982,0.1271,8.7059,-6.556,-0.519,-0.185,0.072,-65.6,-0.0,0.0,0.0,65.6,0.0,-220,0,0.190,0.400,9.51,
0.1550,0.4205,0.3982,0.1271,8.7059,-6.983,-0.324,-0.156,0.088,-69.8,-0.0,0.0,0.0,69.8,0.0,-95,-1,0.700,0.100,5.08,
0.1600,0.4205,0.3982,0.1271,8.7059,-7.345,-0.158,-0.138,0.097,-73.5,-0.0,0.0,0.0,73.5,0.0,-79,0,0.770,0.380,5.07,
