t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,roll_rate_dps,pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,dt_ms
0.000,-0.3284,-1.0,-0.2461,-0.3,-0.9301,6.5830,0,0,0.00,0.00,0.000,0.000,0.00,0.00,0.0,0.0,1.0,-0.3,0.01
0.020,-0.3284,-1.0,-0.2461,-0.3,-0.9301,6.5830,0,0,0.00,0.00,0.000,0.000,0.00,0.00,0.0,0.0,1.0,-0.3,20.11
0.040,-0.3284,-1.0,-0.2461,-0.3,-0.9301,6.5830,0,0,0.00,0.00,0.360,0.300,0.00,0.00,0.0,0.0,1.0,-0.3,20.09
0.060,-0.3319,-1.8,-0.2183,0.3,-0.9248,6.5910,0,0,0.00,0.00,0.120,0.320,0.00,0.00,0.0,0.0,1.8,0.3,20.08
0.080,-0.3319,-1.8,-0.2183,0.3,-0.9248,6.5910,0,0,0.00,0.00,0.350,0.320,0.00,0.00,0.0,0.0,1.8,0.3,20.07
0.100,-0.3328,-1.8,-0.2113,0.3,-0.9248,6.5910,0,0,0.00,0.00,0.350,0.320,0.00,0.00,0.0,0.0,1.8,0.3,20.07
0.120,-0.3328,-1.8,-0.2113,0.3,-0.9248,6.5910,0,0,0.00,0.00,0.340,0.340,0.00,0.00,0.0,0.0,1.8,0.3,20.08
0.140,-0.3328,-1.8,-0.2113,0.3,-0.9248,6.5910,0,0,0.00,0.00,0.350,0.310,0.00,0.00,0.0,0.0,1.8,0.3,20.06
0.160,-0.3259,-1.5,-0.2105,0.2,-0.9321,6.5895,0,0,0.00,0.00,0.340,0.300,0.03,0.00,0.8,0.0,0.7,0.2,20.08
0.180,-0.3259,-2.1,-0.2105,0.2,-0.9321,6.5895,0,0,0.00,0.00,0.320,0.320,0.06,0.00,1.4,0.0,0.7,0.2,20.07
0.200,-0.3259,-2.5,-0.2104,0.2,-0.9321,6.5895,0,0,0.00,0.00,0.330,0.330,0.07,0.00,1.8,0.0,0.7,0.2,20.07
0.220,-0.3259,-3.0,-0.2104,0.6,-0.9252,6.5910,0,0,0.00,0.00,0.350,0.320,0.05,0.03,1.3,0.3,1.7,0.3,20.07
0.240,-0.3259,-2.6,-0.2104,0.8,-0.9252,6.5910,0,0,0.00,0.00,0.330,0.320,0.04,0.06,0.9,0.5,1.7,0.3,20.07
0.260,-0.3259,-1.3,-0.2104,1.4,-0.9268,6.5979,0,0,0.00,0.00,0.340,0.330,-0.01,0.07,-0.2,0.6,1.5,0.8,20.07
0.280,-0.3259,-0.5,-0.2104,1.5,-0.9268,6.5979,0,0,0.00,0.00,0.340,0.330,-0.04,0.09,-1.0,0.7,1.5,0.8,20.08
0.300,-0.3259,0.0,-0.2104,1.6,-0.9268,6.5979,0,0,0.00,0.00,0.350,0.320,-0.06,0.09,-1.5,0.7,1.5,0.8,20.08
