t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,roll_rate_dps,pitch_rate_dps,d_roll_erpm,d_pitch_erpm,dt_ms
0.000,1.0560,-633.6,6.2291,1869.3,-0.3531,6.2473,0,0,0.00,0.00,0.000,0.000,0.00,0.07,0.0,0.5,0.01
0.020,1.0560,-634.4,6.2291,1869.4,-0.3531,6.2473,0,0,0.00,0.00,0.000,0.000,0.03,0.08,0.8,0.6,41.42
0.040,1.0560,-637.5,6.2291,1868.9,-0.7200,6.1369,-1,5,0.00,0.00,0.390,0.700,0.16,0.02,3.9,0.2,20.07
0.060,1.0560,-639.7,6.2291,1868.6,-0.7200,6.1369,-458,1441,-5.71,11.43,0.630,1.410,0.24,-0.02,6.1,-0.1,20.07
0.080,1.0560,-641.2,6.2291,1868.4,-0.7200,6.1369,-430,1651,-8.57,20.00,0.990,1.190,0.31,-0.05,7.6,-0.4,20.13
0.100,1.0464,-619.8,6.1631,1841.2,-0.7200,6.1369,-464,1724,-8.57,25.71,1.260,0.690,-0.32,-0.97,-8.1,-7.8,20.07
0.120,1.0464,-608.8,6.1631,1836.0,-0.7200,6.1369,-558,1796,-14.29,42.86,1.090,0.590,-0.76,-1.62,-19.1,-13.0,20.08
0.140,0.8708,-461.3,5.9824,1773.0,-0.7120,6.1311,-554,1782,-17.14,45.71,0.890,0.110,-2.45,-2.71,-61.2,-21.7,20.07
0.160,0.8708,-431.8,5.9824,1766.9,-0.7120,6.1311,-557,1793,-20.00,60.00,1.190,0.480,-3.63,-3.48,-90.7,-27.8,20.07
0.180,0.8708,-411.2,5.9824,1762.6,-0.7120,6.1311,-483,1764,-22.86,68.57,1.350,0.450,-4.45,-4.01,-111.3,-32.1,20.09
0.200,0.4994,145.1,5.6797,1663.2,-0.7189,6.1300,-476,1767,-25.71,77.14,1.370,0.420,-5.80,-5.09,-145.1,-40.7,20.07
0.220,0.4994,168.7,5.6797,1657.1,-0.7189,6.1300,-477,1746,-28.57,94.29,0.750,0.520,-6.75,-5.85,-168.7,-46.8,20.07
0.240,0.0587,176.8,5.2441,1514.2,-0.7408,6.1335,-231,1703,-28.57,97.14,0.580,0.000,-7.07,-7.38,-176.8,-59.1,20.22
0.260,0.0587,182.5,5.2441,1505.6,-0.7408,6.1335,15,1664,-28.57,111.43,0.120,0.730,-7.30,-8.46,-182.5,-67.7,20.07
0.280,0.0587,186.5,5.2441,1499.5,-0.7408,6.1335,16,1514,-28.57,117.14,0.060,0.410,-7.46,-9.21,-186.5,-73.7,20.08
0.300,-0.2684,159.9,4.6514,1310.8,-0.7832,6.1335,13,1505,-28.57,125.71,0.570,1.140,-6.40,-10.58,-159.9,-84.6,20.07
