t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,roll_rate_dps,pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,dt_ms
0.000,0.1527,0.3,0.3391,0.3,0.0000,0.0000,0,0,0.00,0.00,0.000,0.000,-0.03,0.03,-0.3,0.3,0.0,0.0,0.02
0.020,0.2352,0.5,0.5223,0.5,0.0000,0.0000,0,0,0.00,0.00,0.000,0.000,-0.06,0.06,-0.5,0.5,0.0,0.0,20.10
0.040,0.2708,0.3,0.6138,0.1,0.0000,0.0000,0,0,0.00,0.00,0.390,0.390,-0.04,0.01,-0.3,0.1,0.0,0.0,20.08
0.060,0.2900,0.2,0.6632,-0.2,0.0000,0.0000,0,0,0.00,0.00,0.400,0.400,-0.03,-0.03,-0.2,-0.2,0.0,0.0,20.08
0.080,0.3004,-0.1,0.6898,-0.2,0.0000,0.0000,0,0,0.00,0.00,0.400,0.380,0.01,-0.02,0.1,-0.2,0.0,0.0,20.08
0.100,0.3060,-0.3,0.7043,-0.1,0.0000,0.0000,0,0,0.00,0.00,0.420,0.380,0.04,-0.01,0.3,-0.1,0.0,0.0,20.08
0.120,0.3091,-0.5,0.7120,-0.1,0.0000,0.0000,0,0,0.00,0.00,0.410,0.400,0.06,-0.01,0.5,-0.1,0.0,0.0,20.08
0.140,0.3107,-0.1,0.7162,-0.1,0.0000,0.0000,0,0,0.00,0.00,0.410,0.390,0.01,-0.01,0.1,-0.1,0.0,0.0,20.08
0.160,0.3116,0.2,0.7185,-0.0,0.0000,0.0000,0,0,0.00,0.00,0.410,0.400,-0.03,-0.00,-0.2,-0.0,0.0,0.0,20.08
0.180,0.3121,0.1,0.7197,-0.3,0.0000,0.0000,0,0,0.00,0.00,0.420,0.390,-0.02,-0.04,-0.1,-0.3,0.0,0.0,20.08
0.200,0.3123,0.1,0.7204,-0.5,0.0000,0.0000,0,0,0.00,0.00,0.420,0.380,-0.01,-0.06,-0.1,-0.5,0.0,0.0,20.08
0.220,0.3128,0.1,0.7176,-0.6,0.0000,0.0000,0,0,0.00,0.00,0.420,0.400,-0.01,-0.08,-0.1,-0.6,0.0,0.0,20.08
0.240,0.3130,0.3,0.7160,0.1,0.0000,0.0000,0,0,0.00,0.00,0.420,0.370,-0.04,0.01,-0.3,0.1,0.0,0.0,20.08
0.260,0.3131,0.5,0.7152,0.6,0.0000,0.0000,0,0,0.00,0.00,0.420,0.380,-0.06,0.08,-0.5,0.6,0.0,0.0,20.08
0.280,0.3129,0.6,0.7180,0.4,0.0000,0.0000,0,0,0.00,0.00,0.420,0.390,-0.08,0.05,-0.6,0.4,0.0,0.0,20.07
0.300,0.3127,0.7,0.7194,0.3,0.0000,0.0000,0,0,0.00,0.00,0.420,0.390,-0.09,0.04,-0.7,0.3,0.0,0.0,20.08
0.320,0.3127,0.8,0.7202,0.2,0.0000,0.0000,0,0,0.00,0.00,0.410,0.410,-0.09,0.03,-0.8,0.2,0.0,0.0,20.08
0.340,0.3126,0.5,0.7207,-0.1,0.0000,0.0000,0,0,0.00,0.00,0.420,0.390,-0.07,-0.02,-0.5,-0.1,0.0,0.0,20.08
0.360,0.3126,0.4,0.7209,-0.4,0.0000,0.0000,0,0,0.00,0.00,0.430,0.380,-0.05,-0.04,-0.4,-0.4,0.0,0.0,20.08
0.380,0.3126,-0.0,0.7210,-0.2,0.0000,0.0000,0,0,0.00,0.00,0.410,0.390,0.00,-0.03,0.0,-0.2,0.0,0.0,20.08
0.400,0.3126,-0.3,0.7211,-0.2,0.0000,0.0000,0,0,0.00,0.00,0.420,0.390,0.03,-0.02,0.3,-0.2,0.0,0.0,20.07
0.420,0.3126,-0.5,0.7211,-0.1,0.0000,0.0000,0,0,0.00,0.00,0.420,0.380,0.06,-0.02,0.5,-0.1,0.0,0.0,20.08
