t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms
0.0000,3.0701,-1.1858,0.0005,8.3089,-0.134,-0.067,0.045,-0.045,-1.3,0.3,3.1,-1.8,-1843.9,-297.9,0,0,0.000,0.000,0.02
0.0050,3.0701,-1.1858,0.0005,8.3089,-0.081,-0.141,0.072,-0.072,-0.8,0.7,5.0,-2.9,-1846.3,-298.6,0,0,0.000,0.000,41.04
0.0100,3.0701,-1.1858,0.0005,8.3089,-0.035,-0.204,0.088,-0.088,-0.3,1.0,6.1,-3.5,-1847.9,-298.9,-38,-30,1.040,0.790,5.06
0.0150,3.0701,-1.1858,0.0005,8.3089,0.004,-0.257,0.097,-0.097,0.0,1.3,6.8,-3.9,-1848.9,-299.1,-429,-132,3.320,0.870,5.06
0.0200,3.0624,-1.1714,0.0005,8.3089,0.037,-0.303,0.103,-0.103,0.4,1.5,7.2,-4.1,-1845.0,-295.5,-1259,-218,2.650,0.570,5.06
0.0250,3.0624,-1.1714,0.0005,8.3089,0.132,-0.207,0.107,-0.107,1.3,1.0,7.5,-4.3,-1846.2,-296.1,-1381,-208,0.240,0.530,7.35
0.0300,3.0624,-1.1714,0.0068,8.3057,0.213,-0.125,0.109,-0.109,2.1,0.6,7.6,-4.4,-1847.2,-296.6,-1245,-190,2.130,0.600,5.40
0.0350,3.0624,-1.1714,0.0068,8.3057,0.282,-0.056,0.423,-0.065,2.8,0.3,29.6,-2.6,-1869.9,-295.2,-1391,-221,1.880,0.560,9.46
0.0400,3.0624,-1.1714,0.0068,8.3057,0.340,0.003,0.612,-0.039,3.4,-0.0,42.8,-1.6,-1883.7,-294.4,-1434,-242,2.660,0.440,7.94
0.0450,3.0624,-1.1714,0.0068,8.3057,0.390,0.053,0.725,-0.023,3.9,-0.3,50.8,-0.9,-1892.1,-294.1,-1474,-235,3.100,0.420,5.07
0.0500,3.0624,-1.1714,0.0068,8.3057,0.432,0.095,0.793,-0.014,4.3,-0.5,55.5,-0.6,-1897.3,-293.9,-1536,-221,3.190,0.430,5.07
0.0550,3.0624,-1.1714,0.0068,8.3057,0.468,0.131,0.834,-0.008,4.7,-0.7,58.4,-0.3,-1900.5,-293.9,-1569,-215,2.960,0.430,5.07
0.0600,3.1251,-1.1655,0.0068,8.3057,0.499,0.162,0.859,-0.005,5.0,-0.8,60.1,-0.2,-1940.1,-292.4,-1599,-218,2.540,0.410,5.07
0.0650,3.1251,-1.1655,0.0068,8.3057,0.474,0.188,0.873,-0.003,4.7,-0.9,61.1,-0.1,-1940.9,-292.4,-1650,-243,2.350,0.320,7.79
0.0700,3.1251,-1.1655,0.0663,8.2996,0.453,0.210,0.882,-0.002,4.5,-1.1,61.7,-0.1,-1941.3,-292.5,-1707,-277,2.720,0.160,6.48
0.0750,3.1251,-1.1655,0.0663,8.2996,0.436,0.229,0.708,-0.135,4.4,-1.1,49.6,-5.4,-1929.0,-297.9,-1761,-295,2.970,0.000,7.96
0.0800,3.1251,-1.1655,0.0663,8.2996,0.421,0.245,0.604,-0.216,4.2,-1.2,42.3,-8.6,-1921.5,-301.2,-1791,-272,2.920,0.030,9.18
0.0850,3.1251,-1.1655,0.0663,8.2996,0.408,0.259,0.541,-0.264,4.1,-1.3,37.9,-10.5,-1917.0,-303.2,-1808,-262,2.350,0.000,5.06
0.0900,3.1251,-1.1655,0.0663,8.2996,0.397,0.270,0.504,-0.292,4.0,-1.4,35.3,-11.7,-1914.3,-304.4,-1800,-257,2.400,0.020,5.07
0.0950,3.1140,-1.1939,0.0663,8.2996,0.388,0.280,0.481,-0.310,3.9,-1.4,33.7,-12.4,-1906.0,-312.3,-1810,-268,2.680,0.000,5.07
0.1000,3.1140,-1.1939,0.0663,8.2996,0.380,0.288,0.468,-0.320,3.8,-1.4,32.8,-12.8,-1905.0,-312.7,-1823,-293,2.960,0.040,7.00
0.1050,3.1140,-1.1939,0.0663,8.2996,0.306,0.027,0.460,-0.326,3.1,-0.1,32.2,-13.1,-1903.7,-311.7,-1832,-300,3.100,0.050,5.08
0.1100,3.1140,-1.1939,0.0663,8.2996,0.244,-0.195,0.455,-0.330,2.4,1.0,31.8,-13.2,-1902.7,-310.7,-1847,-310,2.690,0.070,6.53
0.1150,3.1140,-1.1939,0.0663,8.2996,0.190,-0.384,-0.085,-0.153,1.9,1.9,-6.0,-6.1,-1864.4,-302.7,-1868,-302,2.220,0.050,9.38
0.1200,3.1140,-1.1939,0.0663,8.2996,0.145,-0.545,-0.409,-0.047,1.4,2.7,-28.6,-1.9,-1841.2,-297.6,-1881,-281,2.490,0.100,8.78
0.1250,3.1140,-1.1939,0.0663,8.2996,0.106,-0.681,-0.604,0.016,1.1,3.4,-42.3,0.7,-1827.2,-294.4,-1882,-281,2.640,0.180,5.08
0.1300,3.1140,-1.1939,0.0663,8.2996,0.074,-0.797,-0.720,0.055,0.7,4.0,-50.4,2.2,-1818.7,-292.3,-1866,-286,2.490,0.220,5.07
0.1350,3.1003,-1.1948,0.0663,8.2996,0.046,-0.896,-0.790,0.078,0.5,4.5,-55.3,3.1,-1805.3,-291.1,-1875,-301,1.910,0.240,5.07
0.1400,3.1003,-1.1948,0.0663,8.2996,0.022,-0.594,-0.832,0.091,0.2,3.0,-58.3,3.7,-1802.1,-292.1,-1878,-323,1.380,0.260,6.32
0.1450,3.1003,-1.1948,0.0663,8.2996,0.002,-0.337,-0.857,0.100,0.0,1.7,-60.0,4.0,-1800.2,-293.0,-1873,-304,1.420,0.350,5.77
0.1500,3.1003,-1.1948,0.0446,8.3028,-0.015,-0.118,-0.873,0.104,-0.2,0.6,-61.1,4.2,-1798.9,-293.9,-1874,-289,1.570,0.480,5.07
0.1550,3.1003,-1.1948,0.0446,8.3028,-0.030,0.067,-0.658,0.063,-0.3,-0.3,-46.0,2.5,-1813.8,-296.5,-1888,-272,1.610,0.600,7.78
0.1600,3.1003,-1.1948,0.0446,8.3028,-0.042,0.225,-0.529,0.038,-0.4,-1.1,-37.0,1.5,-1822.7,-298.3,-1917,-294,0.850,0.670,9.57
0.1650,3.1003,-1.1948,0.0446,8.3028,-0.052,0.359,-0.452,0.023,-0.5,-1.8,-31.6,0.9,-1828.0,-299.6,-1905,-314,0.600,0.640,5.08
0.1700,3.1003,-1.1948,0.0446,8.3028,-0.061,0.473,-0.405,0.014,-0.6,-2.4,-28.4,0.5,-1831.2,-300.5,-1914,-325,0.930,0.630,5.13
