t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu2_roll_rate_dps,imu2_pitch_rate_dps,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms
0.0000,0.3801,4.8837,-0.2117,8.0049,0.045,0.000,3.1,0.0,-3.1,1465.1,0,0,0.000,0.000,0.01
0.0050,0.3801,4.8837,-0.2117,8.0049,0.072,0.000,5.0,0.0,-5.0,1465.1,0,0,0.000,0.000,43.89
0.0100,0.3801,4.8837,-0.2117,8.0049,0.088,0.000,6.1,0.0,-6.1,1465.1,-7,141,0.000,1.060,7.25
0.0150,0.3801,4.8837,-0.2117,8.0049,0.097,0.000,6.8,0.0,-6.8,1465.1,-4,748,0.320,3.080,5.09
0.0200,0.3801,4.8837,-0.2117,8.0049,0.103,0.000,7.2,0.0,-7.2,1465.1,0,1408,0.420,0.300,6.01
0.0250,0.3801,4.8837,-0.2117,8.0049,0.107,0.000,7.5,0.0,-7.5,1465.1,0,1239,0.420,0.080,5.02
0.0300,0.3801,4.8837,-0.2182,8.0076,0.109,0.000,7.6,0.0,-7.6,1465.1,-1,1140,0.410,0.720,5.08
0.0350,0.3801,4.8837,-0.2182,8.0076,0.065,0.000,4.6,0.0,-4.6,1465.1,0,1143,0.430,1.250,9.29
0.0400,0.3801,4.8837,-0.2182,8.0076,0.039,0.000,2.7,0.0,-2.7,1465.1,-1,1236,0.450,0.710,7.10
0.0450,0.3801,4.8837,-0.2182,8.0076,0.023,0.000,1.6,0.0,-1.6,1465.1,0,1243,0.450,0.400,5.08
0.0500,0.3801,4.8837,-0.2182,8.0076,0.014,0.000,1.0,0.0,-1.0,1465.1,0,1246,0.450,0.340,5.08
0.0550,0.3892,4.7507,-0.2182,8.0076,0.008,0.000,0.6,0.0,-0.6,1425.2,0,1254,0.420,0.360,5.07
0.0600,0.3892,4.7507,-0.2182,8.0076,0.005,0.000,0.4,0.0,-0.4,1425.2,0,1290,0.450,0.630,5.61
0.0650,0.3892,4.7507,-0.2182,8.0076,0.003,0.000,0.2,0.0,-0.2,1425.2,0,1305,0.460,0.770,5.08
0.0700,0.3892,4.7507,-0.2182,8.0076,0.002,0.000,0.1,0.0,-0.1,1425.2,0,1290,0.440,1.050,6.40
0.0750,0.3892,4.7507,-0.2182,8.0076,0.001,0.000,0.1,0.0,-0.1,1425.2,0,1313,0.440,1.310,9.51
0.0800,0.3892,4.7507,-0.2182,8.0076,0.001,0.000,0.0,0.0,-0.0,1425.2,0,1368,0.440,0.770,9.56
0.0850,0.3892,4.7507,-0.2182,8.0076,0.000,0.000,0.0,0.0,-0.0,1425.2,0,1362,0.430,0.470,5.07
0.0900,0.3892,4.7507,-0.2182,8.0076,0.000,0.000,0.0,0.0,-0.0,1425.2,0,1340,0.430,0.660,5.07
0.0950,0.4326,4.1145,-0.2182,8.0076,0.000,0.000,0.0,0.0,-0.0,1234.4,0,1363,0.430,0.940,5.07
0.1000,0.4326,4.1145,-0.2182,8.0076,0.000,0.000,0.0,0.0,-0.0,1234.4,0,1405,0.460,1.020,5.70
