t_s,imu1_roll_deg,cmd_roll_erpm,imu1_pitch_deg,cmd_pitch_erpm,imu2_roll_deg,imu2_pitch_deg,motor_roll_erpm,motor_pitch_erpm,motor_roll_pos_deg,motor_pitch_pos_deg,motor_roll_amps,motor_pitch_amps,roll_rate_dps,pitch_rate_dps,dt_ms
0.000,0.1368,-0.0,0.5642,0.0,0.0069,8.1290,0,0,0.00,0.00,0.000,0.000,0.00,0.00,0.02
0.020,0.1368,-0.0,0.5642,0.0,0.0069,8.1290,0,0,0.00,0.00,0.000,0.000,0.00,0.00,40.33
0.040,0.1368,-0.0,0.5642,0.0,-0.2945,5.4888,0,0,0.00,0.00,0.320,0.270,0.00,0.00,20.09
0.060,0.1368,-0.0,0.5642,0.0,-0.2945,5.4888,0,0,0.00,0.00,0.450,0.450,0.00,0.00,20.06
0.080,0.1368,-0.0,0.5642,0.0,-0.2945,5.4888,0,0,0.00,0.00,0.470,0.450,0.00,0.00,20.07
0.100,0.1368,-0.0,0.5642,0.0,-0.2933,5.4819,0,0,0.00,0.00,0.450,0.440,0.00,0.00,20.07
0.120,0.1368,-0.0,0.5642,0.0,-0.2933,5.4819,0,0,0.00,0.00,0.460,0.440,0.00,0.00,20.07
0.140,0.1368,-0.0,0.5642,0.0,-0.2933,5.4819,0,0,0.00,0.00,0.460,0.440,0.00,0.00,20.10
0.160,0.1368,-0.0,0.5642,0.0,-0.2933,5.4819,0,0,0.00,0.00,0.460,0.450,0.00,0.00,20.07
0.180,0.1368,-0.0,0.5642,0.0,-0.2933,5.4819,0,0,0.00,0.00,0.460,0.440,0.00,0.00,20.08
0.200,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.450,0.00,0.00,20.08
0.220,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.470,0.440,0.00,0.00,20.07
0.240,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.450,0.00,0.00,20.09
0.260,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.450,0.00,0.00,20.07
0.280,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.450,0.00,0.00,20.07
0.300,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.450,0.430,0.00,0.00,20.09
0.320,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.460,0.00,0.00,20.07
0.340,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.470,0.440,0.00,0.00,20.09
0.360,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.440,0.00,0.00,20.08
0.380,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.470,0.460,0.00,0.00,20.08
0.400,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.450,0.470,0.00,0.00,20.08
0.420,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.450,0.00,0.00,20.07
0.440,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.450,0.00,0.00,20.07
0.460,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.450,0.00,0.00,20.07
0.480,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.440,0.00,0.00,20.07
0.500,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.450,0.00,0.00,20.08
0.520,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.450,0.440,0.00,0.00,20.07
0.540,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.470,0.420,0.00,0.00,20.08
0.560,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.470,0.460,0.00,0.00,20.08
0.580,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.470,0.440,0.00,0.00,20.07
0.600,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.450,0.00,0.00,20.07
0.620,0.1368,-0.0,0.5642,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.470,0.440,0.00,0.00,20.07
0.640,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.450,0.00,0.00,20.07
0.660,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.450,0.450,0.00,0.00,20.07
0.680,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.450,0.440,0.00,0.00,20.04
0.700,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.440,0.00,0.00,20.08
0.720,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.440,0.00,0.00,20.07
0.740,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.470,0.440,0.00,0.00,20.07
0.760,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.450,0.450,0.00,0.00,20.07
0.780,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.450,0.430,0.00,0.00,20.07
0.800,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.440,0.00,0.00,20.08
0.820,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.470,0.440,0.00,0.00,20.07
0.840,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.440,0.00,0.00,20.08
0.860,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.450,0.440,0.00,0.00,20.07
0.880,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.440,0.00,0.00,20.07
0.900,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.080,0.00,0.00,20.08
0.920,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.470,0.420,0.00,0.00,20.07
0.940,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.450,0.420,0.00,0.00,20.07
0.960,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.450,0.420,0.00,0.00,20.06
0.980,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.430,0.00,0.00,20.07
1.000,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.420,0.00,0.00,20.07
1.020,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.420,0.00,0.00,20.08
1.040,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.460,0.410,0.00,0.00,20.07
1.060,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.440,0.400,0.00,0.00,20.06
1.080,0.1378,-0.0,0.5573,0.0,-0.2864,5.4830,0,0,0.00,0.00,0.470,0.410,0.00,0.00,20.07
1.100,0.1378,-0.0,0.5573,0.0,-0.2933,5.4819,0,0,0.00,0.00,0.450,0.420,0.00,0.00,20.09
1.120,0.1378,-0.0,0.5573,0.0,-0.2933,5.4819,0,0,0.00,0.00,0.450,0.430,0.00,0.00,20.07
1.140,0.1378,-0.0,0.5573,0.0,-0.2933,5.4819,0,0,0.00,0.00,0.450,0.430,0.00,0.00,20.08
1.160,0.1378,-0.0,0.5573,0.0,-0.2933,5.4819,0,0,0.00,0.00,0.460,0.430,0.00,0.00,20.08
1.180,0.1378,-0.0,0.5573,0.0,-0.2933,5.4819,0,0,0.00,0.00,0.450,0.420,0.00,0.00,20.07
