t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms
0.0000,-0.2802,2.1386,-0.4817,8.4693,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,641.6,0,0,0.000,0.000,0.01
0.0050,-0.2802,2.1386,-0.4817,8.4693,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,641.6,0,0,0.000,0.000,42.53
0.0100,-0.2802,2.1386,-0.4817,8.4693,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,641.6,-7,37,0.040,1.140,5.08
0.0150,-0.2802,2.1386,-0.4817,8.4693,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,641.6,-4,319,0.120,2.120,5.07
0.0200,-0.2721,2.1330,-0.4817,8.4693,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,639.9,2,560,0.050,0.510,5.07
0.0250,-0.2721,2.1330,-0.4817,8.4693,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,639.9,0,549,0.090,0.220,6.92
0.0300,-0.2721,2.1330,-0.4817,8.4693,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,639.9,0,442,0.100,0.560,6.54
0.0350,-0.2721,2.1330,-0.4817,8.4693,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,639.9,0,499,0.100,0.530,8.69
0.0400,-0.2721,2.1330,-0.4817,8.4693,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,639.9,0,551,0.100,0.150,8.62
0.0450,-0.2721,2.1330,-0.4817,8.4693,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,639.9,0,554,0.110,0.010,5.08
0.0500,-0.2721,2.1330,-0.4817,8.4693,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,639.9,0,565,0.100,0.050,5.07
0.0550,-0.2721,2.1330,-0.4817,8.4693,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,639.9,0,583,0.100,0.090,5.07
0.0600,-0.2777,2.1249,-0.4817,8.4693,0.000,0.000,0.000,0.000,0.0,-0.0,0.0,0.0,-0.0,637.5,0,588,0.100,0.140,5.07
0.0650,-0.2777,2.1249,-0.4817,8.4693,-0.017,-0.101,0.000,0.000,-0.3,2.0,0.0,0.0,0.3,639.5,0,561,0.100,0.030,6.71
0.0700,-0.2777,2.1249,-0.5178,8.4679,-0.031,-0.186,0.000,0.000,-0.6,3.7,0.0,0.0,0.6,641.2,0,577,0.100,0.150,7.21
0.0750,-0.2777,2.1249,-0.5178,8.4679,-0.043,-0.259,0.045,0.000,-0.9,5.2,3.1,0.0,-2.3,642.6,0,594,0.110,0.250,9.71
0.0800,-0.2777,2.1249,-0.5178,8.4679,-0.053,-0.321,0.072,0.000,-1.1,6.4,5.0,0.0,-3.9,643.9,0,609,0.100,0.460,9.02
0.0850,-0.2777,2.1249,-0.5178,8.4679,-0.062,-0.374,0.088,0.000,-1.2,7.5,6.1,0.0,-4.9,644.9,0,620,0.100,0.520,5.08
0.0900,-0.2777,2.1249,-0.5178,8.4679,-0.070,-0.418,0.097,0.000,-1.4,8.4,6.8,0.0,-5.4,645.8,0,616,0.100,0.590,5.05
0.0950,-0.2772,2.0823,-0.5178,8.4679,-0.076,-0.456,0.103,0.000,-1.5,9.1,7.2,0.0,-5.7,633.8,0,616,0.090,0.690,5.07
0.1000,-0.2772,2.0823,-0.5178,8.4679,-0.031,-0.572,0.107,0.000,-0.6,11.4,7.5,0.0,-6.8,636.1,-1,635,0.090,0.640,6.95
0.1050,-0.2772,2.0823,-0.5178,8.4679,0.007,-0.671,0.109,0.000,0.1,13.4,7.6,0.0,-7.8,638.1,0,631,0.080,0.520,5.07
0.1100,-0.2772,2.0823,-0.5141,8.5123,0.040,-0.755,0.110,0.000,0.8,15.1,7.7,0.0,-8.5,639.8,0,614,0.090,0.480,5.07
0.1150,-0.2772,2.0823,-0.5141,8.5123,0.067,-0.827,0.066,0.045,1.3,16.5,4.6,1.8,-6.0,643.0,-1,639,0.080,0.320,7.86
0.1200,-0.2772,2.0823,-0.5141,8.5123,0.091,-0.887,0.040,0.072,1.8,17.7,2.8,2.9,-4.6,645.3,0,637,0.070,0.040,9.31
0.1250,-0.2772,2.0823,-0.5141,8.5123,0.111,-0.939,0.024,0.088,2.2,18.8,1.7,3.5,-3.9,647.0,0,635,0.080,0.050,5.07
0.1300,-0.2772,2.0823,-0.5141,8.5123,0.128,-0.983,0.014,0.097,2.6,19.7,1.0,3.9,-3.6,648.2,0,635,0.080,0.090,5.07
0.1350,-0.2729,2.0191,-0.5141,8.5123,0.142,-1.020,0.009,0.103,2.8,20.4,0.6,4.1,-3.4,630.3,0,617,0.080,0.080,5.07
0.1400,-0.2729,2.0191,-0.5141,8.5123,0.154,-1.052,0.005,0.107,3.1,21.0,0.4,4.3,-3.4,631.0,0,610,0.070,0.090,6.31
0.1450,-0.2729,2.0191,-0.5141,8.5123,0.148,-1.112,0.003,0.109,3.0,22.2,0.2,4.4,-3.2,632.3,0,622,0.080,0.100,5.06
0.1500,-0.2729,2.0191,-0.4691,8.5084,0.143,-1.163,0.002,0.110,2.9,23.3,0.1,4.4,-3.0,633.4,0,614,0.070,0.230,11.43
0.1550,-0.2729,2.0191,-0.4691,8.5084,0.138,-1.207,0.001,0.111,2.8,24.1,0.1,4.4,-2.8,634.3,0,621,0.070,0.420,5.08
0.1600,-0.2729,2.0191,-0.4691,8.5084,0.134,-1.244,0.001,0.111,2.7,24.9,0.0,4.4,-2.7,635.1,0,654,0.070,0.440,7.59
0.1650,-0.2729,2.0191,-0.4691,8.5084,0.131,-1.276,0.000,0.111,2.6,25.5,0.0,4.5,-2.6,635.7,0,637,0.070,0.560,5.07
0.1700,-0.2729,2.0191,-0.4691,8.5084,0.128,-1.303,0.000,0.112,2.6,26.1,0.0,4.5,-2.6,636.2,0,623,0.060,0.650,5.07
0.1750,-0.2730,1.9409,-0.4691,8.5084,0.126,-1.325,0.000,0.112,2.5,26.5,0.0,4.5,-2.5,613.2,0,616,0.070,0.670,5.07
0.1800,-0.2730,1.9409,-0.4691,8.5084,0.123,-1.345,0.000,0.112,2.5,26.9,0.0,4.5,-2.5,613.6,0,600,0.070,0.700,5.99
0.1850,-0.2730,1.9409,-0.4691,8.5084,0.105,-1.429,0.000,0.112,2.1,28.6,0.0,4.5,-2.1,615.3,0,604,0.070,0.590,5.06
0.1900,-0.2730,1.9409,-0.4195,8.5132,0.089,-1.500,0.000,0.112,1.8,30.0,0.0,4.5,-1.8,616.7,0,625,0.060,0.410,5.38
0.1950,-0.2730,1.9409,-0.4195,8.5132,0.076,-1.560,0.045,0.067,1.5,31.2,3.1,2.7,-4.7,616.1,0,637,0.070,0.160,9.40
0.2000,-0.2730,1.9409,-0.4195,8.5132,0.064,-1.611,0.072,0.040,1.3,32.2,5.0,1.6,-6.3,616.1,0,635,0.070,0.000,8.99
0.2050,-0.2730,1.9409,-0.4195,8.5132,0.055,-1.655,0.088,0.024,1.1,33.1,6.1,1.0,-7.2,616.3,0,638,0.050,0.090,5.08
0.2100,-0.2730,1.9409,-0.4195,8.5132,0.047,-1.692,0.097,0.014,0.9,33.8,6.8,0.6,-7.7,616.7,-1,603,0.050,0.050,5.07
0.2150,-0.2762,1.8407,-0.4195,8.5132,0.040,-1.724,0.103,0.009,0.8,34.5,7.2,0.3,-8.0,587.0,-1,582,0.040,0.120,5.07
0.2200,-0.2762,1.8407,-0.4195,8.5132,0.034,-1.750,0.107,0.005,0.7,35.0,7.5,0.2,-8.1,587.4,0,590,0.040,0.180,6.04
0.2250,-0.2762,1.8407,-0.4195,8.5132,0.029,-1.857,0.109,0.003,0.6,37.1,7.6,0.1,-8.2,589.5,-2,582,0.030,0.220,5.07
0.2300,-0.2762,1.8407,-0.4195,8.5132,0.024,-1.948,0.110,0.002,0.5,39.0,7.7,0.1,-8.2,591.3,-1,584,0.030,0.390,11.41
0.2350,-0.2762,1.8407,-0.4195,8.5132,0.021,-2.025,0.066,0.046,0.4,40.5,4.6,1.8,-5.0,594.6,-1,610,0.020,0.410,5.06
0.2400,-0.2762,1.8407,-0.4195,8.5132,0.018,-2.091,0.040,0.072,0.4,41.8,2.8,2.9,-3.1,596.9,0,606,0.020,0.480,7.54
0.2450,-0.2762,1.8407,-0.4195,8.5132,0.015,-2.146,0.024,0.088,0.3,42.9,1.7,3.5,-2.0,598.7,-1,598,0.020,0.600,5.07
0.2500,-0.2762,1.8407,-0.4195,8.5132,0.013,-2.194,0.014,0.098,0.3,43.9,1.0,3.9,-1.3,600.0,0,604,0.030,0.610,5.06
0.2550,-0.2732,1.7062,-0.4195,8.5132,0.011,-2.234,0.009,0.103,0.2,44.7,0.6,4.1,-0.8,560.7,0,593,0.020,0.650,5.08
0.2600,-0.2732,1.7062,-0.4195,8.5132,-0.008,-2.386,0.005,0.107,-0.2,47.7,0.4,4.3,-0.2,563.8,0,566,0.030,0.730,6.58
0.2650,-0.2732,1.7062,-0.4195,8.5132,-0.023,-2.515,0.003,0.109,-0.5,50.3,0.2,4.4,0.2,566.5,0,570,0.030,0.550,5.06
0.2700,-0.2732,1.7062,-0.4263,8.5115,-0.037,-2.624,0.002,0.110,-0.7,52.5,0.1,4.4,0.6,568.7,0,564,0.030,0.440,5.08
0.2750,-0.2732,1.7062,-0.4263,8.5115,-0.048,-2.717,0.046,0.111,-1.0,54.3,3.2,4.4,-2.3,570.6,0,558,0.020,0.350,7.92
0.2800,-0.2732,1.7062,-0.4263,8.5115,-0.057,-2.796,0.072,0.111,-1.1,55.9,5.1,4.4,-3.9,572.2,0,595,0.020,0.080,8.34
0.2850,-0.2732,1.7062,-0.4263,8.5115,-0.066,-2.864,0.088,0.112,-1.3,57.3,6.2,4.5,-4.9,573.6,0,602,0.020,0.110,5.07
0.2900,-0.2732,1.7062,-0.4263,8.5115,-0.073,-2.921,0.098,0.112,-1.5,58.4,6.8,4.5,-5.4,574.7,0,576,0.030,0.070,5.57
0.2950,-0.2778,1.5348,-0.4263,8.5115,-0.078,-2.970,0.103,0.112,-1.6,59.4,7.2,4.5,-5.7,524.3,0,557,0.010,0.000,5.07
0.3000,-0.2778,1.5348,-0.4263,8.5115,-0.083,-3.011,0.107,0.112,-1.7,60.2,7.5,4.5,-5.8,525.1,0,571,0.010,0.070,6.83
0.3050,-0.2778,1.5348,-0.4263,8.5115,-0.054,-3.130,0.109,0.112,-1.1,62.6,7.6,4.5,-6.5,527.5,-1,559,0.010,0.060,5.08
0.3100,-0.2778,1.5348,-0.4195,8.5132,-0.029,-3.231,0.110,0.112,-0.6,64.6,7.7,4.5,-7.1,529.6,0,509,0.010,0.340,11.35
0.3150,-0.2778,1.5348,-0.4195,8.5132,-0.008,-3.317,0.066,0.067,-0.2,66.3,4.6,2.7,-4.5,529.5,0,531,0.000,0.480,5.07
