t_s,imu1_roll_deg,imu1_pitch_deg,imu2_roll_deg,imu2_pitch_deg,imu1_roll_rate_dps,imu1_pitch_rate_dps,imu2_roll_rate_dps,imu2_pitch_rate_dps,i_roll_erpm,i_pitch_erpm,d_roll_erpm,d_pitch_erpm,ff_roll_erpm,ff_pitch_erpm,cmd_roll_erpm,cmd_pitch_erpm,motor_roll_erpm,motor_pitch_erpm,motor_roll_amps,motor_pitch_amps,dt_ms,gain_event
0.0000,-0.7038,0.3328,-0.2341,0.0219,0.000,0.000,0.090,0.045,-0.0,0.0,0.0,0.0,0.0,0.0,422.3,0.0,0,0,0.000,0.000,0.01,
0.0050,-0.6960,0.3267,-0.2341,0.0219,0.000,0.000,0.143,0.072,-0.1,0.0,0.0,0.0,0.0,0.0,417.7,0.0,0,0,0.000,0.000,47.80,
0.0100,-0.6960,0.3267,-0.2341,0.0219,0.000,0.000,0.175,0.088,-0.1,0.0,0.0,0.0,0.0,0.0,417.7,0.0,137,0,0.960,0.250,6.87,
0.0150,-0.6960,0.3267,-0.2341,0.0219,0.000,0.000,0.195,0.097,-0.1,0.0,0.0,0.0,0.0,0.0,417.7,0.0,256,0,0.570,0.270,5.08,
0.0200,-0.6960,0.3267,-0.2341,0.0219,0.000,0.000,0.206,0.103,-0.1,0.0,0.0,0.0,0.0,0.0,417.8,0.0,323,0,0.300,0.270,5.08,
0.0250,-0.6960,0.3267,-0.2341,0.0219,0.000,0.000,0.213,0.107,-0.1,0.0,0.0,0.0,0.0,0.0,417.8,0.0,332,0,0.200,0.240,5.08,
0.0300,-0.6960,0.3267,-0.2341,0.0219,0.000,0.000,0.218,0.109,-0.2,0.0,0.0,0.0,0.0,0.0,417.8,0.0,331,0,0.160,0.250,6.55,
0.0350,-0.6960,0.3267,-0.2274,0.0240,0.000,0.000,0.220,0.110,-0.2,0.0,0.0,0.0,0.0,0.0,417.8,0.0,332,0,0.120,0.260,6.15,
0.0400,-0.6960,0.3267,-0.2274,0.0240,0.000,0.000,0.043,0.066,-0.2,0.0,0.0,0.0,0.0,0.0,417.8,0.0,322,0,0.090,0.260,8.17,
0.0450,-0.6960,0.3267,-0.2274,0.0240,0.000,0.000,-0.064,0.040,-0.2,0.0,0.0,0.0,0.0,0.0,417.8,0.0,355,0,0.020,0.250,9.62,
0.0500,-0.6960,0.3267,-0.2274,0.0240,0.000,0.000,-0.128,0.024,-0.2,0.0,0.0,0.0,0.0,0.0,417.8,0.0,368,0,0.090,0.260,5.08,
0.0550,-0.6960,0.3267,-0.2274,0.0240,0.000,0.000,-0.166,0.014,-0.2,0.0,0.0,0.0,0.0,0.0,417.9,0.0,362,0,0.110,0.260,5.33,
0.0600,-0.6960,0.3267,-0.2274,0.0240,0.000,0.000,-0.189,0.009,-0.2,0.0,0.0,0.0,0.0,0.0,417.9,0.0,341,0,0.030,0.250,5.08,
0.0650,-0.6960,0.3267,-0.2274,0.0240,0.000,0.000,-0.203,0.005,-0.3,0.0,0.0,0.0,0.0,0.0,417.9,0.0,294,0,0.170,0.250,5.92,
0.0700,-0.6960,0.3267,-0.2274,0.0240,0.050,0.000,-0.211,0.003,-0.3,0.0,0.5,0.0,0.0,0.0,417.4,0.0,289,0,0.320,0.260,5.08,
0.0750,-0.6960,0.3267,-0.2274,0.0240,0.093,0.000,-0.216,0.002,-0.3,0.0,0.9,0.0,0.0,0.0,417.0,0.0,302,0,0.380,0.250,6.48,
0.0800,-0.6960,0.3267,-0.2274,0.0240,0.130,0.000,-0.219,0.001,-0.3,0.0,1.3,0.0,0.0,0.0,416.6,0.0,322,0,0.450,0.260,9.38,
0.0850,-0.6960,0.3267,-0.2274,0.0240,0.160,0.000,-0.221,0.001,-0.3,0.0,1.6,0.0,0.0,0.0,416.3,0.0,323,0,0.580,0.260,9.74,
0.0900,-0.6960,0.3267,-0.2274,0.0240,0.187,0.000,-0.222,0.000,-0.3,0.0,1.9,0.0,0.0,0.0,416.1,0.0,316,0,0.810,0.260,5.08,
0.0950,-0.6960,0.3267,-0.2274,0.0240,0.209,0.000,-0.223,0.000,-0.3,0.0,2.1,0.0,0.0,0.0,415.9,0.0,324,0,0.960,0.260,5.01,
0.1000,-0.6411,0.3396,-0.2274,0.0240,0.228,0.000,-0.223,0.000,-0.3,0.0,2.3,0.0,0.0,0.0,382.7,0.0,329,0,1.090,0.240,5.08,
0.1050,-0.6411,0.3396,-0.2274,0.0240,0.244,0.000,-0.223,0.000,-0.4,0.0,2.4,0.0,0.0,0.0,382.6,0.0,347,0,1.140,0.260,5.87,
0.1100,-0.6411,0.3396,-0.2341,0.0219,0.678,0.118,-0.224,0.000,-0.4,0.0,6.8,1.2,0.0,0.0,378.3,1.2,355,0,0.990,0.260,5.08,
0.1150,-0.6411,0.3396,-0.2341,0.0219,1.046,0.217,-0.224,0.000,-0.4,0.0,10.5,2.2,0.0,0.0,374.6,2.2,350,0,1.110,0.250,10.46,
0.1200,-0.6411,0.3396,-0.2341,0.0219,1.359,0.302,-0.045,0.000,-0.4,0.0,13.6,3.0,0.0,0.0,371.5,3.0,352,0,1.190,0.220,5.08,
0.1250,-0.6411,0.3396,-0.2341,0.0219,1.625,0.374,0.063,0.000,-0.4,0.0,16.3,3.7,0.0,0.0,368.8,3.7,346,0,1.270,0.250,9.06,
0.1300,-0.6411,0.3396,-0.2341,0.0219,1.851,0.436,0.127,0.000,-0.4,0.0,18.5,4.4,0.0,0.0,366.6,4.4,362,0,1.160,0.240,5.08,
